source_path,model,task,precision,forward_probes_for_G,forward_probes_for_L_loc,backward_passes,runtime_sec_if_logged,radius_value_logged,radius_kind
analysis/int4_sst5_calibrated_hstar_20260521_202225/hstar_components.csv,roberta-large,sst-5,int4,16.0,9.0,0,,0.004028758312635,legacy_hstar_or_component_radius
analysis/int8_sst5_calibrated_hstar_20260521_newmethod/hstar_components.csv,roberta-large,sst-5,int8,16.0,9.0,0,,0.0005878782325753,legacy_hstar_or_component_radius
outputs/rtnclip_int4_roberta_full_dataset_formula_hstar_20260521/formula_hstar_summary.csv,roberta-large,SST-2,int4,8.0,9.0,0,3.030826568603516,0.0562750683889417,legacy_hstar_or_component_radius
outputs/rtnclip_int4_roberta_full_dataset_formula_hstar_20260521/formula_hstar_summary.csv,roberta-large,RTE,int4,8.0,9.0,0,2.5563337802886963,0.0508038046485087,legacy_hstar_or_component_radius
outputs/rtnclip_int4_roberta_full_dataset_formula_hstar_20260521/formula_hstar_summary.csv,roberta-large,MNLI,int4,8.0,9.0,0,5.818265199661255,0.0589422065553909,legacy_hstar_or_component_radius
outputs/rtnclip_int4_roberta_full_dataset_formula_hstar_20260521/formula_hstar_summary.csv,roberta-large,TREC,int4,8.0,9.0,0,2.088973999023437,0.0619404354490004,legacy_hstar_or_component_radius
outputs/int4_full_data_hstar_dense_sparse_20260522_113710/hstar/hstar_full_data_summary.csv,roberta-large,sst-2,int4,,,0,24.387237548828125,0.0014831360079805,legacy_hstar_or_component_radius
outputs/int4_full_data_hstar_dense_sparse_20260522_113710/hstar/hstar_full_data_summary.csv,roberta-large,sst-2,int4,,,0,23.92725610733032,0.0019403883896951,legacy_hstar_or_component_radius
outputs/int4_full_data_hstar_dense_sparse_20260522_113710/hstar/hstar_full_data_summary.csv,roberta-large,sst-5,int4,,,0,19.62834095954895,0.0015509397815746,legacy_hstar_or_component_radius
outputs/int4_full_data_hstar_dense_sparse_20260522_113710/hstar/hstar_full_data_summary.csv,roberta-large,sst-5,int4,,,0,22.49966549873352,0.0023055353516053,legacy_hstar_or_component_radius
outputs/int4_full_data_hstar_dense_sparse_20260522_113710/hstar/hstar_full_data_summary.csv,roberta-large,rte,int4,,,0,50.05380630493164,0.0017056253106509,legacy_hstar_or_component_radius
outputs/int4_full_data_hstar_dense_sparse_20260522_113710/hstar/hstar_full_data_summary.csv,roberta-large,rte,int4,,,0,53.181840896606445,0.0012314751799571,legacy_hstar_or_component_radius
outputs/int4_full_data_hstar_dense_sparse_20260522_113710/hstar/hstar_full_data_summary.csv,roberta-large,mnli,int4,,,0,40.653355836868286,0.0013127067362835,legacy_hstar_or_component_radius
outputs/int4_full_data_hstar_dense_sparse_20260522_113710/hstar/hstar_full_data_summary.csv,roberta-large,mnli,int4,,,0,43.24077892303467,0.0016522298376337,legacy_hstar_or_component_radius
outputs/int4_full_data_hstar_dense_sparse_20260522_113710/hstar/hstar_full_data_summary.csv,roberta-large,trec,int4,,,0,18.013534784317017,0.0006975900432871,legacy_hstar_or_component_radius
outputs/int4_full_data_hstar_dense_sparse_20260522_113710/hstar/hstar_full_data_summary.csv,roberta-large,trec,int4,,,0,20.92320561408997,0.0095261917556973,legacy_hstar_or_component_radius
outputs/int4_full_data_hstar_dense_sparse_20260522_113710/hstar_sparse_p0p1_taskgrad_lowbitG_20260522_162254/hstar_full_data_summary.csv,roberta-large,sst-2,int4,,,0,41.36926460266113,0.0014044817337847,legacy_hstar_or_component_radius
outputs/int4_full_data_hstar_dense_sparse_20260522_113710/hstar_sparse_p0p1_taskgrad_lowbitG_20260522_162254/hstar_full_data_summary.csv,roberta-large,sst-5,int4,,,0,36.8118736743927,0.0028127515046377,legacy_hstar_or_component_radius
outputs/int4_full_data_hstar_dense_sparse_20260522_113710/hstar_sparse_p0p1_taskgrad_lowbitG_20260522_162254/hstar_full_data_summary.csv,roberta-large,rte,int4,,,0,73.14168453216553,0.001178016160561,legacy_hstar_or_component_radius
outputs/int4_full_data_hstar_dense_sparse_20260522_113710/hstar_sparse_p0p1_taskgrad_lowbitG_20260522_162254/hstar_full_data_summary.csv,roberta-large,mnli,int4,,,0,56.20924687385559,0.0010257183450845,legacy_hstar_or_component_radius
outputs/int4_full_data_hstar_dense_sparse_20260522_113710/hstar_sparse_p0p1_taskgrad_lowbitG_20260522_162254/hstar_full_data_summary.csv,roberta-large,trec,int4,,,0,34.98036479949951,0.0017340692408006,legacy_hstar_or_component_radius
