model,task,precision,mode,quantizer,checkpoint,batch_source,h,h_policy,true_directional_nmse,corr_dq_dstar,sign_agreement,active_frac,norm_ratio,visible_direction_cos,d_Q_mean,d_Q_std,d_star_mean,d_star_std,n_directions,direction_seed,source_path,notes
roberta-large,sst-5,fp16,dense,none_or_native,existing_seed16_high_precision_checkpoint,existing_checkpoint_probe,1e-05,fixed-small,,,,1.0,1.0000002589327206,0.999999997848377,,,,,existing,existing,experiments/main_latest/mezo/roberta-large/sst5/fp32_fp16_h_sweep_11h_seed16_bs64_ckpt1k_20260517/plots/plot_probe_vs_h.csv,High-precision dense checkpoint probe; true nMSE/corr unavailable in this summary.
roberta-large,sst-5,fp16,dense,none_or_native,existing_seed16_high_precision_checkpoint,existing_checkpoint_probe,0.0001,grid,,,,1.0,0.9999999975279894,1.000000009594676,,,,,existing,existing,experiments/main_latest/mezo/roberta-large/sst5/fp32_fp16_h_sweep_11h_seed16_bs64_ckpt1k_20260517/plots/plot_probe_vs_h.csv,High-precision dense checkpoint probe; true nMSE/corr unavailable in this summary.
roberta-large,sst-5,fp16,dense,none_or_native,existing_seed16_high_precision_checkpoint,existing_checkpoint_probe,0.001,default,,,,1.0,0.9999999926652628,0.9999999918085412,,,,,existing,existing,experiments/main_latest/mezo/roberta-large/sst5/fp32_fp16_h_sweep_11h_seed16_bs64_ckpt1k_20260517/plots/plot_probe_vs_h.csv,High-precision dense checkpoint probe; true nMSE/corr unavailable in this summary.
roberta-large,sst-5,fp16,dense,none_or_native,existing_seed16_high_precision_checkpoint,existing_checkpoint_probe,0.003,grid,,,,1.0,0.9999999970737988,0.9999999988965108,,,,,existing,existing,experiments/main_latest/mezo/roberta-large/sst5/fp32_fp16_h_sweep_11h_seed16_bs64_ckpt1k_20260517/plots/plot_probe_vs_h.csv,High-precision dense checkpoint probe; true nMSE/corr unavailable in this summary.
roberta-large,sst-5,fp16,dense,none_or_native,existing_seed16_high_precision_checkpoint,existing_checkpoint_probe,0.01,grid,,,,1.0,0.999999999911601,1.0000000011263248,,,,,existing,existing,experiments/main_latest/mezo/roberta-large/sst5/fp32_fp16_h_sweep_11h_seed16_bs64_ckpt1k_20260517/plots/plot_probe_vs_h.csv,High-precision dense checkpoint probe; true nMSE/corr unavailable in this summary.
roberta-large,sst-5,fp32,dense,none_or_native,existing_seed16_high_precision_checkpoint,existing_checkpoint_probe,1e-05,fixed-small,,,,1.0,1.0000000525835189,1.0000000025583198,,,,,existing,existing,experiments/main_latest/mezo/roberta-large/sst5/fp32_fp16_h_sweep_11h_seed16_bs64_ckpt1k_20260517/plots/plot_probe_vs_h.csv,High-precision dense checkpoint probe; true nMSE/corr unavailable in this summary.
roberta-large,sst-5,fp32,dense,none_or_native,existing_seed16_high_precision_checkpoint,existing_checkpoint_probe,0.0001,grid,,,,1.0,1.000000010362745,1.0000000004483165,,,,,existing,existing,experiments/main_latest/mezo/roberta-large/sst5/fp32_fp16_h_sweep_11h_seed16_bs64_ckpt1k_20260517/plots/plot_probe_vs_h.csv,High-precision dense checkpoint probe; true nMSE/corr unavailable in this summary.
roberta-large,sst-5,fp32,dense,none_or_native,existing_seed16_high_precision_checkpoint,existing_checkpoint_probe,0.001,default,,,,1.0,1.0000000008910417,0.999999999127056,,,,,existing,existing,experiments/main_latest/mezo/roberta-large/sst5/fp32_fp16_h_sweep_11h_seed16_bs64_ckpt1k_20260517/plots/plot_probe_vs_h.csv,High-precision dense checkpoint probe; true nMSE/corr unavailable in this summary.
roberta-large,sst-5,fp32,dense,none_or_native,existing_seed16_high_precision_checkpoint,existing_checkpoint_probe,0.003,grid,,,,1.0,0.9999999997441888,1.0000000098702937,,,,,existing,existing,experiments/main_latest/mezo/roberta-large/sst5/fp32_fp16_h_sweep_11h_seed16_bs64_ckpt1k_20260517/plots/plot_probe_vs_h.csv,High-precision dense checkpoint probe; true nMSE/corr unavailable in this summary.
roberta-large,sst-5,fp32,dense,none_or_native,existing_seed16_high_precision_checkpoint,existing_checkpoint_probe,0.01,grid,,,,1.0,1.0000000016828197,1.0000000028073217,,,,,existing,existing,experiments/main_latest/mezo/roberta-large/sst5/fp32_fp16_h_sweep_11h_seed16_bs64_ckpt1k_20260517/plots/plot_probe_vs_h.csv,High-precision dense checkpoint probe; true nMSE/corr unavailable in this summary.
