job_kind,lane_id,gpu_type,precision_mode,h,h_label,run_name,result_root,max_steps,eval_steps,checkpoint_steps,seed,data_seed,batch_size,lr,dataset,task_name,bitwidth,h_policy,hstar_cont,hstar_nearest_grid,Delta_mode,Delta_value,G_mode,G_value,L_mode,L_hat,d_trainable,direction_mode,sparse_ratio,sparse_mask_strategy,sparse_mask_source,sparse_mask_hash,sparse_mask_restored_from_checkpoint,sparse_rescale,active_params_all,mask_active_frac_all,active_params_quantized_linear,mask_active_frac_quantized_linear,scale_refresh_k,status,steps_completed,gpu_name,gpu_type_requested,fallback_used,best_eval_acc,best_eval_step,last_eval_acc,last_eval_step,best_eval_loss,best_eval_loss_step,last_eval_loss,last_eval_loss_step,final_train_loss,update_scalar_source,d_h_last,d_g_last,fd_true_error_last,update_variant,perturbed_parameter_scope,quantized_forward_scope,active_frac,alignment,norm_ratio,delta_q_norm,ideal_displacement_norm,code_change_frac,delta_visibility_mse,delta_visibility_nmse,delta_visibility_rel_l2,lowbit_true_nmse,lowbit_true_corr,nMSE_metric_version,true_dir_lowbit,true_dir_lowbit_field_name,legacy_nMSE_fd_true,legacy_nMSE_computed,legacy_nMSE_excluded_from_main_selection,saturation_frac_w,saturation_frac_w_plus,saturation_frac_w_minus,weight_recon_mse,weight_recon_rel_mse,weight_recon_sqnr_db,corr_fd_true,nMSE_fd_true,fd_true_available,fd_true_mse,fd_true_nmse,fd_true_rmse,fd_true_bias,run_dir,resume_command,warnings,phase,dataset_mode,data_dir,num_k,eval_batch_size,eval_batches,eval_every,diag_every,quant_log_every,log_every,update_backend,master_dtype,quantizer,pair_shared_grid,fresh_round_codes,grid_source,seed_mask_fix_applied,seed_reset_before_model_load_required,source_seed16_run_name,source_seed16_summary,prefix_precision,prefix_init_strategy,prefix_quantize,prefix_num,excluded_methods,notes,sparse_p,mask_strategy,sparse_mask_batches,sparse_mask_scope,sparse_scaled_by_inv_sqrt_p,sparse_mask_saved_in_checkpoint_required
high_precision,0,H100,fp32,1e-05,1e-5,fp32_h1e-5_seed32_bs64_ckpt1k,v10_medium_supplement_results_20260627/raw_runs/high_precision_sst5_fp32_multiseed/fp32/multiseed_plateau/results,20000,1000,1000,32,32,64,1e-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high_precision,0,H100,fp32,0.0001,1e-4,fp32_h1e-4_seed32_bs64_ckpt1k,v10_medium_supplement_results_20260627/raw_runs/high_precision_sst5_fp32_multiseed/fp32/multiseed_plateau/results,20000,1000,1000,32,32,64,1e-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high_precision,0,H100,fp32,0.001,1e-3,fp32_h1e-3_seed32_bs64_ckpt1k,v10_medium_supplement_results_20260627/raw_runs/high_precision_sst5_fp32_multiseed/fp32/multiseed_plateau/results,20000,1000,1000,32,32,64,1e-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high_precision,0,H100,fp32,0.003,3e-3,fp32_h3e-3_seed32_bs64_ckpt1k,v10_medium_supplement_results_20260627/raw_runs/high_precision_sst5_fp32_multiseed/fp32/multiseed_plateau/results,20000,1000,1000,32,32,64,1e-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high_precision,0,H100,fp32,1e-05,1e-5,fp32_h1e-5_seed64_bs64_ckpt1k,v10_medium_supplement_results_20260627/raw_runs/high_precision_sst5_fp32_multiseed/fp32/multiseed_plateau/results,20000,1000,1000,64,64,64,1e-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high_precision,0,H100,fp32,0.0001,1e-4,fp32_h1e-4_seed64_bs64_ckpt1k,v10_medium_supplement_results_20260627/raw_runs/high_precision_sst5_fp32_multiseed/fp32/multiseed_plateau/results,20000,1000,1000,64,64,64,1e-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high_precision,0,H100,fp32,0.001,1e-3,fp32_h1e-3_seed64_bs64_ckpt1k,v10_medium_supplement_results_20260627/raw_runs/high_precision_sst5_fp32_multiseed/fp32/multiseed_plateau/results,20000,1000,1000,64,64,64,1e-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high_precision,0,H100,fp32,0.003,3e-3,fp32_h3e-3_seed64_bs64_ckpt1k,v10_medium_supplement_results_20260627/raw_runs/high_precision_sst5_fp32_multiseed/fp32/multiseed_plateau/results,20000,1000,1000,64,64,64,1e-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high_precision,0,H100,fp32,1e-05,1e-5,fp32_h1e-5_seed128_bs64_ckpt1k,v10_medium_supplement_results_20260627/raw_runs/high_precision_sst5_fp32_multiseed/fp32/multiseed_plateau/results,20000,1000,1000,128,128,64,1e-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high_precision,0,H100,fp32,0.0001,1e-4,fp32_h1e-4_seed128_bs64_ckpt1k,v10_medium_supplement_results_20260627/raw_runs/high_precision_sst5_fp32_multiseed/fp32/multiseed_plateau/results,20000,1000,1000,128,128,64,1e-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
