h2,lambda_q50,lambda_q90,lambda_q95,median_abs_K,MAD_K,SNR2,finite_rate,stability_q90_next,stability_q90_prev,low_h2_noise_suspected
1e-05,1.1690182732000014e-05,1.1690182732000014e-05,1.1690182732000014e-05,4768.371582031249,0.0,4768371582031249.0,1.0,0.41666663102422724,nan,False
3e-05,1.6561092203666688e-05,1.6561092203666688e-05,1.6561092203666688e-05,6755.1930745442705,0.0,6755193074544271.0,1.0,,,
0.0001,1.5314139378920023e-05,1.5314139378920023e-05,1.5314139378920023e-05,6246.5667724609375,0.0,6246566772460938.0,1.0,,,
0.0003,1.5411557568353357e-05,1.5411557568353357e-05,1.5411557568353357e-05,6286.303202311199,0.0,6286303202311199.0,1.0,,,
0.001,9.805725275601614e-06,9.805725275601614e-06,9.805725275601614e-06,3999.7100830078125,0.0,3999710083007812.5,1.0,,,
0.0015,4.7303674970441836e-06,4.7303674970441836e-06,4.7303674970441836e-06,1929.4950697157117,0.0,1929495069715711.8,1.0,,,
0.002,5.440318788904508e-06,5.440318788904508e-06,5.440318788904508e-06,2219.080924987793,0.0,2219080924987793.0,1.0,,,
0.003,8.769552940058868e-06,8.769552940058868e-06,8.769552940058868e-06,3577.0601696438257,0.0,3577060169643826.0,1.0,,,
0.004,1.8405882191055207e-05,1.8405882191055207e-05,1.8405882191055207e-05,7507.674396038055,0.0,7507674396038056.0,1.0,,,
0.005,1.4920156840486156e-05,1.4920156840486156e-05,1.4920156840486156e-05,6085.86311340332,0.0,6085863113403320.0,1.0,,,
0.01,2.9257955537995e-06,2.9257955537995e-06,2.9257955537995e-06,1193.4185028076172,0.0,1193418502807617.2,1.0,,,
