step,loss_plus,loss_minus,train_loss,d_h,d_h_finite,update_norm,seconds,scale_refreshed,eval_loss,eval_acc,nan_flag
1,1.7080078125,1.6220703125,1.6650390625,10.7421875,True,0.21696310606537247,3.897249698638916,True,,,False
2,1.6513671875,1.7041015625,1.677734375,-6.591796875,True,0.13313716284950072,1.3969833850860596,True,,,False
3,1.6220703125,1.6533203125,1.6376953125,-3.90625,True,0.07889584082881991,1.3836467266082764,True,,,False
4,1.5869140625,1.6455078125,1.6162109375,-7.32421875,True,0.14792556618867048,1.398127555847168,True,,,False
5,1.58203125,1.640625,1.611328125,-7.32421875,True,0.1479283004086932,1.4089765548706055,True,,,False
6,1.6201171875,1.623046875,1.62158203125,-0.3662109375,True,0.007396688155425432,1.394275188446045,True,,,False
7,1.7822265625,1.56640625,1.67431640625,26.9775390625,True,0.5448569217478823,1.4011008739471436,True,,,False
8,1.5390625,1.787109375,1.6630859375,-31.005859375,True,0.6262680226012798,1.4311392307281494,True,,,False
9,1.6181640625,1.619140625,1.61865234375,-0.1220703125,True,0.002465470457242083,1.428225040435791,True,,,False
10,1.5517578125,1.55859375,1.55517578125,-0.8544921875,True,0.01725909837959043,1.4150986671447754,True,,,False
11,1.5595703125,1.64453125,1.60205078125,-10.6201171875,True,0.21449062947467837,1.4283897876739502,True,,,False
12,1.55078125,1.611328125,1.5810546875,-7.568359375,True,0.15286668309319945,1.4044067859649658,True,,,False
13,1.74609375,1.7470703125,1.74658203125,-0.1220703125,True,0.002465574065240514,1.4005663394927979,True,,,False
14,1.75,1.5234375,1.63671875,28.3203125,True,0.5720087063095122,1.4233405590057373,True,,,False
15,1.5751953125,1.4833984375,1.529296875,11.474609375,True,0.23176050351127697,1.40047287940979,True,,,False
16,1.638671875,1.5830078125,1.61083984375,6.9580078125,True,0.14053852090278665,1.4017436504364014,True,,,False
17,1.599609375,1.6435546875,1.62158203125,-5.4931640625,True,0.11095050425872008,1.401219129562378,True,,,False
18,1.623046875,1.5673828125,1.59521484375,6.9580078125,True,0.14052662249669584,1.433244228363037,True,,,False
19,1.5986328125,1.6279296875,1.61328125,-3.662109375,True,0.07396576304223759,1.4026079177856445,True,,,False
20,1.626953125,1.6025390625,1.61474609375,3.0517578125,True,0.061638161552964234,1.4147136211395264,True,,,False
21,1.62890625,1.5634765625,1.59619140625,8.1787109375,True,0.1651930462663772,1.4004924297332764,True,,,False
22,1.5771484375,1.6728515625,1.625,-11.962890625,True,0.24163257896897566,1.4466347694396973,True,,,False
23,1.4677734375,1.6142578125,1.541015625,-18.310546875,True,0.36981312685489837,1.415611743927002,True,,,False
24,1.591796875,1.7822265625,1.68701171875,-23.8037109375,True,0.48078439875025225,1.4135384559631348,True,,,False
25,1.6298828125,1.865234375,1.74755859375,-29.4189453125,True,0.5941754705619373,1.4314451217651367,True,,,False
26,1.662109375,1.6162109375,1.63916015625,5.7373046875,True,0.11587719998638536,1.4535813331604004,True,,,False
