h,status,eval_loss,mse,corr,sign_acc
1e-8,skipped_nan_guard,,,,
3e-8,skipped_nan_guard,,,,
1e-7,skipped_nan_guard,,,,
3e-7,skipped_nan_guard,,,,
1e-6,skipped_nan_guard,,,,
3e-6,completed,1.2685546875,4440.656536789282,0.22046098984715803,0.625
1e-5,completed,1.0869140625,3057.310025573711,-0.49230846454870003,0.25
3e-5,completed,1.0615234375,1597.7031567144804,0.09464139389186206,0.4375
1e-4,completed,1.0625,2765.7266443320855,0.2645750846348467,0.5625
3e-4,completed,1.0732421875,1347.5972055976204,0.11786435191420215,0.5625
1e-3,completed,1.1015625,2428.1518371355733,0.06521713488495745,0.4375
3e-3,completed,1.08984375,1759.1615982025369,-0.42373947924078287,0.3125
1e-2,completed,1.6494140625,253.78974560944215,-0.005445619998109659,0.5
3e-2,completed,1.62890625,81.57703185249586,0.3844466418984848,0.75
