group,model,dataset,seed,h3,m_T3,S3_sq,S3_rms,T3_abs_mean,T3_abs_median,rho3_q50,rho3_q90,rho3_q95,finite_rate,zero_T3_frac,sign_negative_frac,S3_sq_stability_2x,S3_sq_stability_next,rho3_q90_stability_2x,rho3_q90_stability_next,log_slope_S3_next,log_slope_rho_next,low_h3_noise_suspected,large_h3_nonlocal_suspected
A_seed,roberta-large,sst-5,16,1e-05,1,8.881784197001248e+16,298023223.87695307,298023223.87695307,298023223.87695307,3.616765243190109e-05,3.616765243190109e-05,3.616765243190109e-05,1.0,0.0,0.0,nan,0.9907270233196159,nan,0.9037036787171862,4.2605120024902705,2.1302557650605034,True,False
A_seed,roberta-large,sst-5,16,3e-05,1,823605777389965.1,28698532.66963252,28698532.66963252,28698532.66963252,3.482810974923809e-06,3.482810974923809e-06,3.482810974923809e-06,1.0,0.0,0.0,nan,0.7638040000000001,nan,0.5139998524181025,1.1986095574403128,0.5993045264998337,True,False
A_seed,roberta-large,sst-5,16,0.0001,1,194532390196400.2,13947486.877441404,13947486.877441404,13947486.877441404,1.692646133812971e-06,1.692646133812971e-06,1.692646133812971e-06,1.0,0.0,0.0,nan,0.9888880772071655,nan,0.8945863660733747,4.095836782509042,2.0479138275664512,True,False
A_seed,roberta-large,sst-5,16,0.0003,1,2161628900567.9502,1470247.9044596357,1470247.9044596357,1470247.9044596357,1.7842708533071213e-07,1.7842708533071213e-07,1.7842708533071213e-07,1.0,0.0,0.0,nan,1.3520781775018254,nan,0.5336456578154077,0.7103974983028039,0.35519712939364295,False,False
A_seed,roberta-large,sst-5,16,0.001,1,5084320164883.139,2254843.7118530273,2254843.7118530273,2254843.7118530273,2.736444582997637e-07,2.736444582997637e-07,2.736444582997637e-07,1.0,0.0,1.0,0.2415975104602454,0.7926376920411546,0.12913645645044325,0.5446274924996597,3.8802049898155557,1.94009171553335,False,False
A_seed,roberta-large,sst-5,16,0.0015,1,1054296363791.8647,1026789.3473307291,1026789.3473307291,1026789.3473307291,1.2460961851204324e-07,1.2460961851204324e-07,1.2460961851204324e-07,1.0,0.0,1.0,4.5694254571638515,2.657378705923126,1.3599521065949307,0.9124201158518683,4.507568647570226,2.2537710147567154,False,False
A_seed,roberta-large,sst-5,16,0.002,1,3855961070664.548,1963660.12096405,1963660.12096405,1963660.12096405,2.383068534911747e-07,2.383068534911747e-07,2.383068534911747e-07,1.0,0.0,1.0,0.5890183193933822,0.5227915687659486,0.3589199646705713,0.23401342991192803,1.0371921046614596,0.5185940897356583,False,False
A_seed,roberta-large,sst-5,16,0.003,1,5871825007897.693,2423184.8893342195,2423184.8893342195,2423184.8893342195,2.940740916615937e-07,2.940740916615937e-07,2.940740916615937e-07,1.0,0.0,1.0,nan,0.7301129786661006,nan,0.480491848962144,4.552775346394254,2.2763767405638893,True,False
A_seed,roberta-large,sst-5,16,0.004,1,1584729361175.409,1258860.3422045708,1258860.3422045708,1258860.3422045708,1.527734071354026e-07,1.527734071354026e-07,1.527734071354026e-07,1.0,0.0,1.0,nan,0.39181965345411285,nan,0.22013937525375762,2.2285377079580635,1.1142605736225804,False,False
A_seed,roberta-large,sst-5,16,0.005,1,963801252061.1025,981733.7989807128,981733.7989807128,981733.7989807128,1.1914174459385185e-07,1.1914174459385185e-07,1.1914174459385185e-07,1.0,0.0,1.0,0.9981961453000157,0.9981961453000157,0.9575201525339458,0.9575201525339458,9.114701150090031,4.557077603961339,True,True
A_seed,roberta-large,sst-5,16,0.01,1,1738557418.3812473,41696.01202011108,41696.01202011108,41696.01202011108,5.060165617033877e-09,5.060165617033877e-09,5.060165617033877e-09,1.0,0.0,0.0,nan,nan,nan,nan,nan,nan,False,False
