name,shape,numel,quantization_algorithm,bits,group_size,block_size,scale_shape,scale_min,scale_median,scale_max,zero_point_mode,num_groups,saturation_frac,error_norm,relative_error_norm,max_abs_error,roundtrip_max_abs_error,roundtrip_dequant_equal
roberta.embeddings.word_embeddings.weight,50265x1024,51471360,groupwise_int8_block256,8,256,256,[201060],0.00042460282566025853,0.002253014361485839,0.005301888566464186,none_symmetric,201060,0.0043292619429523525,4.803427696228027,0.004886075860266778,0.0026495009660720825,2.9802322387695312e-08,False
roberta.encoder.layer.0.attention.self.query.weight,1024x1024,1048576,groupwise_int8_block256,8,256,256,[4096],0.00048563798191025853,0.000909279624465853,0.002393346978351474,none_symmetric,4096,0.004036903381347656,0.2800123691558838,0.007371604481396641,0.0011954735964536667,1.4901161193847656e-08,False
roberta.encoder.layer.0.attention.self.value.weight,1024x1024,1048576,groupwise_int8_block256,8,256,256,[4096],0.00042724609375,0.0007723110029473901,0.0020050290040671825,none_symmetric,4096,0.0040283203125,0.2367883175611496,0.007194849591926671,0.0010011941194534302,1.4901161193847656e-08,False
roberta.encoder.layer.0.attention.output.dense.weight,1024x1024,1048576,groupwise_int8_block256,8,256,256,[4096],0.00036260648630559444,0.0006872462690807879,0.005509504117071629,none_symmetric,4096,0.0040264129638671875,0.22796374559402466,0.007147425089035839,0.0027393698692321777,1.4901161193847656e-08,False
roberta.encoder.layer.0.intermediate.dense.weight,4096x1024,4194304,groupwise_int8_block256,8,256,256,[16384],0.0005454716738313437,0.0012706846464425325,0.004371462855488062,none_symmetric,16384,0.00403141975402832,0.7734037637710571,0.007462357759531344,0.0021820068359375,2.9802322387695312e-08,False
roberta.encoder.layer.0.output.dense.weight,1024x4096,4194304,groupwise_int8_block256,8,256,256,[16384],0.000682920916005969,0.0012360820546746254,0.007874015718698502,none_symmetric,16384,0.0040471553802490234,0.7759015560150146,0.007294871879016659,0.003931224346160889,5.960464477539063e-08,False
roberta.encoder.layer.1.attention.self.query.weight,1024x1024,1048576,groupwise_int8_block256,8,256,256,[4096],0.0006680225487798452,0.0012879859423264861,0.0037255475763231516,none_symmetric,4096,0.004019737243652344,0.4211852252483368,0.007827916407416823,0.0018622949719429016,2.9802322387695312e-08,False
roberta.encoder.layer.1.attention.self.value.weight,1024x1024,1048576,groupwise_int8_block256,8,256,256,[4096],0.0003152682038489729,0.0007824033964425325,0.0020896131172776222,none_symmetric,4096,0.0040283203125,0.23308873176574707,0.007147316908439949,0.0010442733764648438,1.4901161193847656e-08,False
roberta.encoder.layer.1.attention.output.dense.weight,1024x1024,1048576,groupwise_int8_block256,8,256,256,[4096],0.00045415922068059444,0.0006728284643031657,0.005990095902234316,none_symmetric,4096,0.0040264129638671875,0.22401925921440125,0.0075011540269204775,0.0029921680688858032,1.4901161193847656e-08,False
roberta.encoder.layer.1.intermediate.dense.weight,4096x1024,4194304,groupwise_int8_block256,8,256,256,[16384],0.0005190391093492508,0.0013437345623970032,0.004386841785162687,none_symmetric,16384,0.0040454864501953125,0.8153818845748901,0.007104627650281855,0.002181766554713249,2.9802322387695312e-08,False
roberta.encoder.layer.1.output.dense.weight,1024x4096,4194304,groupwise_int8_block256,8,256,256,[16384],0.0007578932563774288,0.0011736050946637988,0.007874015718698502,none_symmetric,16384,0.004032135009765625,0.7398542165756226,0.007754277453095317,0.0039370059967041016,5.960464477539063e-08,False
roberta.encoder.layer.2.attention.self.query.weight,1024x1024,1048576,groupwise_int8_block256,8,256,256,[4096],0.0006420706049539149,0.0012399267870932817,0.0035871369764208794,none_symmetric,4096,0.004031181335449219,0.39455410838127136,0.007470671648138056,0.0017932076007127762,2.9802322387695312e-08,False
