config_id,kappa,h_min,h_max,window_width_log10,default_h_in_window
combined_clean_d1e4_int4_D1e-3_a8,1.05,0.01,0.01,0.0,False
combined_clean_d1e4_int4_D1e-3_a8,1.1,0.01,0.01,0.0,False
combined_clean_d1e4_int4_D1e-3_a8,1.25,0.01,0.01,0.0,False
combined_clean_d1e4_int4_D1e-3_a8,1.5,0.01,0.01,0.0,False
combined_clean_d1e4_int8_D1e-4_a8,1.05,0.003,0.01,0.5228787452803376,False
combined_clean_d1e4_int8_D1e-4_a8,1.1,0.003,0.01,0.5228787452803376,False
combined_clean_d1e4_int8_D1e-4_a8,1.25,0.001,0.01,1.0,True
combined_clean_d1e4_int8_D1e-4_a8,1.5,0.001,0.01,1.0,True
combined_clip_appendix_d1e4_int4,1.05,0.003,0.003,0.0,False
combined_clip_appendix_d1e4_int4,1.1,0.003,0.003,0.0,False
combined_clip_appendix_d1e4_int4,1.25,0.003,0.003,0.0,False
combined_clip_appendix_d1e4_int4,1.5,0.003,0.003,0.0,False
linear_visibility_d1e4_int4,1.05,1.0,1.0,0.0,False
linear_visibility_d1e4_int4,1.1,1.0,1.0,0.0,False
linear_visibility_d1e4_int4,1.25,1.0,1.0,0.0,False
linear_visibility_d1e4_int4,1.5,1.0,1.0,0.0,False
locality_fp_d1e4_a4,1.05,0.003,0.003,0.0,False
locality_fp_d1e4_a4,1.1,0.003,0.003,0.0,False
locality_fp_d1e4_a4,1.25,0.003,0.003,0.0,False
locality_fp_d1e4_a4,1.5,0.001,0.003,0.47712125471966244,True
locality_fp_norm_d1e4_a12,1.05,0.1,0.1,0.0,False
locality_fp_norm_d1e4_a12,1.1,0.1,0.1,0.0,False
locality_fp_norm_d1e4_a12,1.25,0.1,0.1,0.0,False
locality_fp_norm_d1e4_a12,1.5,0.1,0.1,0.0,False
scaling_d1000000_p0.01_int4_D0.0001,1.05,0.001,0.001,0.0,True
scaling_d1000000_p0.01_int4_D0.0001,1.1,0.001,0.001,0.0,True
scaling_d1000000_p0.01_int4_D0.0001,1.25,0.001,0.001,0.0,True
scaling_d1000000_p0.01_int4_D0.0001,1.5,0.001,0.001,0.0,True
scaling_d1000000_p0.01_int4_D0.001,1.05,0.01,0.01,0.0,False
scaling_d1000000_p0.01_int4_D0.001,1.1,0.01,0.01,0.0,False
scaling_d1000000_p0.01_int4_D0.001,1.25,0.01,0.03,0.47712125471966244,False
scaling_d1000000_p0.01_int4_D0.001,1.5,0.01,0.03,0.47712125471966244,False
scaling_d1000000_p0.01_int4_D1e-05,1.05,0.0003,0.01,1.5228787452803376,False
scaling_d1000000_p0.01_int4_D1e-05,1.1,0.0003,0.01,1.5228787452803376,False
scaling_d1000000_p0.01_int4_D1e-05,1.25,0.0003,0.01,1.5228787452803376,False
scaling_d1000000_p0.01_int4_D1e-05,1.5,0.0003,0.01,1.5228787452803376,False
scaling_d1000000_p0.01_int8_D0.0001,1.05,0.003,0.003,0.0,False
scaling_d1000000_p0.01_int8_D0.0001,1.1,0.003,0.003,0.0,False
scaling_d1000000_p0.01_int8_D0.0001,1.25,0.0003,0.01,1.5228787452803376,True
scaling_d1000000_p0.01_int8_D0.0001,1.5,0.0003,0.01,1.5228787452803376,True
scaling_d1000000_p0.01_int8_D0.001,1.05,0.01,0.01,0.0,False
scaling_d1000000_p0.01_int8_D0.001,1.1,0.01,0.01,0.0,False
scaling_d1000000_p0.01_int8_D0.001,1.25,0.01,0.01,0.0,False
scaling_d1000000_p0.01_int8_D0.001,1.5,0.01,0.01,0.0,False
scaling_d1000000_p0.01_int8_D1e-05,1.05,0.003,0.003,0.0,False
scaling_d1000000_p0.01_int8_D1e-05,1.1,0.003,0.003,0.0,False
scaling_d1000000_p0.01_int8_D1e-05,1.25,0.003,0.003,0.0,False
scaling_d1000000_p0.01_int8_D1e-05,1.5,0.003,0.003,0.0,False
scaling_d1000000_p0.1_int4_D0.0001,1.05,0.001,0.001,0.0,True
scaling_d1000000_p0.1_int4_D0.0001,1.1,0.001,0.001,0.0,True
scaling_d1000000_p0.1_int4_D0.0001,1.25,0.001,0.001,0.0,True
scaling_d1000000_p0.1_int4_D0.0001,1.5,0.001,0.001,0.0,True
scaling_d1000000_p0.1_int4_D0.001,1.05,0.01,0.01,0.0,False
scaling_d1000000_p0.1_int4_D0.001,1.1,0.01,0.01,0.0,False
scaling_d1000000_p0.1_int4_D0.001,1.25,0.01,0.01,0.0,False
scaling_d1000000_p0.1_int4_D0.001,1.5,0.01,0.01,0.0,False
scaling_d1000000_p0.1_int4_D1e-05,1.05,0.01,0.01,0.0,False
scaling_d1000000_p0.1_int4_D1e-05,1.1,0.01,0.01,0.0,False
scaling_d1000000_p0.1_int4_D1e-05,1.25,0.01,0.01,0.0,False
scaling_d1000000_p0.1_int4_D1e-05,1.5,0.01,0.01,0.0,False
