config_id,family,d,direction,qmode,qbits,Delta,clip_enabled,groupwise,scale_sigma,nonlinear_a,active_p,fit_model,fit_space,p,R2_linear,R2_log,RMSE_log,clean_points,h_fit_min,h_fit_max,status,alpha,beta,gamma,h_star,h_star_interior,left_tail_visible,right_tail_visible,c_vis,c_loc,selection_reason,active_dimension
scaling_d1000000_p0.01_int4_D0.0001,scaling,1000000,coordinate,rtn,4,0.0001,False,False,0.0,8.0,0.01,MIA_loc,log,,0.9125272292119203,0.9983413624520961,0.19739205649537758,19,1e-09,1.0,ok,,,0.0,0.001,True,True,True,103.31423147217588,1.0012869831636086,interval_aware_model_best,10000.0
scaling_d1000000_p0.01_int4_D0.001,scaling,1000000,coordinate,rtn,4,0.001,False,False,0.0,8.0,0.01,MIA_loc,log,,0.8348982372934227,0.9948011873221991,0.24962511393271528,19,1e-09,1.0,ok,,,0.002748921160620532,0.01,True,True,True,90.48625240000291,0.9853377045801128,interval_aware_model_best,10000.0
scaling_d1000000_p0.01_int4_D1e-05,scaling,1000000,coordinate,rtn,4,1e-05,False,False,0.0,8.0,0.01,MIA_loc,log,,0.952668459643591,0.9995020288594415,0.11207072520856154,19,1e-09,1.0,ok,,,0.0,0.01,True,True,True,103.27508527230619,1.019390850061224,interval_aware_model_best,10000.0
scaling_d1000000_p0.01_int8_D0.0001,scaling,1000000,coordinate,rtn,8,0.0001,False,False,0.0,8.0,0.01,MIA_loc,log,,0.8873476912847001,0.9986902043778354,0.17079065731650953,19,1e-09,1.0,ok,,,0.00016382615299881387,0.003,True,True,True,78.27575446569209,0.9983390139867065,interval_aware_model_best,10000.0
scaling_d1000000_p0.01_int8_D0.001,scaling,1000000,coordinate,rtn,8,0.001,False,False,0.0,8.0,0.01,MIA_loc,log,,0.9552020839634978,0.9976450891256269,0.276768402798283,19,1e-09,1.0,ok,,,0.0007548558313021925,0.01,True,True,True,93.58823301652077,1.0037758542084834,interval_aware_model_best,10000.0
scaling_d1000000_p0.01_int8_D1e-05,scaling,1000000,coordinate,rtn,8,1e-05,False,False,0.0,8.0,0.01,MIA_loc,log,,0.9860269330123491,0.9998058710287576,0.07131174756854461,19,1e-09,1.0,ok,,,0.0004243075250374151,0.003,True,True,True,207.1103452016439,0.947826101093898,interval_aware_model_best,10000.0
scaling_d1000000_p0.1_int4_D0.0001,scaling,1000000,coordinate,rtn,4,0.0001,False,False,0.0,8.0,0.1,MIA_loc,log,,0.9851848855762636,0.9984978118823682,0.2023066615238734,19,1e-09,1.0,ok,,,0.0,0.001,True,True,True,9.495437732109743,0.9944331147744409,interval_aware_model_best,100000.0
scaling_d1000000_p0.1_int4_D0.001,scaling,1000000,coordinate,rtn,4,0.001,False,False,0.0,8.0,0.1,MIA_loc,log,,0.8559409093939678,0.9960748173146546,0.34405928990047197,19,1e-09,1.0,ok,,,0.0,0.01,True,True,True,7.231990913601105,1.000729382310801,interval_aware_model_best,100000.0
scaling_d1000000_p0.1_int4_D1e-05,scaling,1000000,coordinate,rtn,4,1e-05,False,False,0.0,8.0,0.1,MIA_loc,log,,0.962637883357594,0.9997601872952753,0.07791548636544429,19,1e-09,1.0,ok,,,0.0,0.01,True,True,True,11.575051209831022,1.0149428213483531,interval_aware_model_best,100000.0
scaling_d1000000_p0.1_int8_D0.0001,scaling,1000000,coordinate,rtn,8,0.0001,False,False,0.0,8.0,0.1,MIA_loc,log,,0.8236096570750233,0.9931643449084303,0.38825078051550904,19,1e-09,1.0,ok,,,0.0,0.0003,True,True,True,7.392073765698686,0.9998627191310714,interval_aware_model_best,100000.0
scaling_d1000000_p0.1_int8_D0.001,scaling,1000000,coordinate,rtn,8,0.001,False,False,0.0,8.0,0.1,MIA_loc,log,,0.8481635230882328,0.9954334081935656,0.3788721412192266,19,1e-09,1.0,ok,,,0.0015378341191971678,0.01,True,True,True,7.738140073639392,1.0035575221765516,interval_aware_model_best,100000.0
scaling_d1000000_p0.1_int8_D1e-05,scaling,1000000,coordinate,rtn,8,1e-05,False,False,0.0,8.0,0.1,MIA_loc,log,,0.938064614693717,0.9991776606471046,0.1388444590831402,19,1e-09,1.0,ok,,,0.0007289406052022329,0.01,True,True,True,15.063184520844132,0.9422199713241589,interval_aware_model_best,100000.0
scaling_d1000000_p1_int4_D0.0001,scaling,1000000,coordinate,rtn,4,0.0001,False,False,0.0,8.0,1.0,MIA_loc,log,,0.8582666994336222,0.9975886983309169,0.2534368397031096,19,1e-09,1.0,ok,,,0.0,0.003,True,True,True,0.9045830752424501,0.9979455261967081,interval_aware_model_best,1000000.0
scaling_d1000000_p1_int4_D0.001,scaling,1000000,coordinate,rtn,4,0.001,False,False,0.0,8.0,1.0,MIA_loc,log,,0.9921436299171608,0.9959104619732654,0.3472169675073175,19,1e-09,1.0,ok,,,0.0,0.003,True,True,True,0.8775807699604075,1.005376466227677,interval_aware_model_best,1000000.0
