config_id,family,d,direction,qmode,qbits,Delta,clip_enabled,groupwise,scale_sigma,nonlinear_a,active_p,fit_model,fit_space,p,R2_linear,R2_log,RMSE_log,clean_points,h_fit_min,h_fit_max,status,alpha,beta,gamma,h_star,h_star_interior,left_tail_visible,right_tail_visible,c_vis,c_loc,strict_M2_success
combined_clean_d1e4_int4_D1e-3_a8,combined,10000,coordinate,rtn,4,0.001,False,False,0.0,8.0,1.0,M2,log,2.0,-0.0968292363658203,-1.6157669833576025,7.3952693994108305,19,1e-09,1.0,left_tail_missing;boundary_solution,0.0,0.9568442827568424,0.013850866538595,1e-09,False,True,True,,,False
combined_clean_d1e4_int8_D1e-4_a8,combined,10000,coordinate,rtn,8,0.0001,False,False,0.0,8.0,1.0,M2,log,2.0,0.2643751604626744,0.3387146688231026,3.888692056562187,19,1e-09,1.0,ok,7.312909595183038e-15,0.9763955821064138,0.0090852215433685,0.0002941820023824,True,True,True,,,False
combined_clip_appendix_d1e4_int4,combined,10000,coordinate,rtn,4,0.001,True,False,0.0,8.0,1.0,M2,log,2.0,-0.2136133749048616,-6.7776224706022585,13.786764342848,14,1e-09,0.003,right_tail_missing,1.0975611706153246e-18,0.0,0.0,3e-07,True,True,False,,,False
linear_visibility_d1e4_int4,linear,10000,coordinate,rtn,4,0.001,False,False,0.0,1.0,1.0,M2,log,2.0,-0.1507423678348372,-1.5724529357952286,13.189243651938533,19,1e-09,1.0,right_tail_missing;boundary_solution,1.00000624889536e-18,0.0,4.421130866829318e-07,1.0,False,True,False,,,False
locality_fp_d1e4_a4,locality,10000,coordinate,identity,32,1.0,False,False,0.0,4.0,1.0,M2,log,2.0,0.9256666031574136,0.9081794229408782,2.4924252536672293,19,1e-09,1.0,ok,3.1054484624739396e-14,0.0042966943516573,0.0,0.0016396360798317,True,True,True,,,True
locality_fp_norm_d1e4_a12,locality,10000,normalized,identity,32,1.0,False,False,0.0,12.0,1.0,M2,log,2.0,-0.2264365849285725,-1.1981293379939806,9.19068036935168,19,1e-09,1.0,ok,1.1085356500119885e-18,1.5493267520798009e-06,2.3126546220583505e-07,0.0009197115936649,True,True,True,,,False
scaling_d1000000_p0.01_int4_D0.0001,scaling,1000000,coordinate,rtn,4,0.0001,False,False,0.0,8.0,0.01,M2,log,2.0,-0.1213468305805747,-1.2607762254912471,7.287569576177396,19,1e-09,1.0,left_tail_missing;boundary_solution,0.0,1.005789262138979,0.0084823000235725,1e-09,False,True,True,,,False
scaling_d1000000_p0.01_int4_D0.001,scaling,1000000,coordinate,rtn,4,0.001,False,False,0.0,8.0,0.01,M2,log,2.0,-0.1386901560238582,-1.5850528890100737,5.566355095704169,19,1e-09,1.0,left_tail_missing;boundary_solution,0.0,0.9297619538676288,0.0225140237690169,1e-09,False,True,True,,,False
scaling_d1000000_p0.01_int4_D1e-05,scaling,1000000,coordinate,rtn,4,1e-05,False,False,0.0,8.0,0.01,M2,log,2.0,-0.0296207379220097,0.3829202485153983,3.945124771135343,19,1e-09,1.0,ok,5.068978069361082e-15,0.9861032770050582,0.009491807249695,0.000267762344841,True,True,True,,,False
scaling_d1000000_p0.01_int8_D0.0001,scaling,1000000,coordinate,rtn,8,0.0001,False,False,0.0,8.0,0.01,M2,log,2.0,-0.1599640801006883,-1.2383763723709893,7.060393381727748,19,1e-09,1.0,left_tail_missing;boundary_solution,0.0,0.9352383613497416,0.0093186899935712,1e-09,False,True,True,,,False
