config_id,family,d,direction,qmode,qbits,Delta,clip_enabled,groupwise,scale_sigma,nonlinear_a,active_p,fit_model,fit_space,p,R2_linear,R2_log,RMSE_log,clean_points,h_fit_min,h_fit_max,status,alpha,beta,gamma,h_star,h_star_interior,left_tail_visible,right_tail_visible,c_vis,c_loc
combined_clean_d1e4_int4_D1e-3_a8,combined,10000,coordinate,rtn,4,0.001,False,False,0.0,8.0,1.0,M2,linear,2.0,1.1102230246251565e-16,-2.085226988758583,8.031525330246609,19,1e-09,1.0,right_tail_missing;boundary_solution,0.0,0.0,3899.046946074878,1e-09,False,True,True,,
combined_clean_d1e4_int4_D1e-3_a8,combined,10000,coordinate,rtn,4,0.001,False,False,0.0,8.0,1.0,M2,log,2.0,-0.0968292363658203,-1.6157669833576023,7.3952693994108305,19,1e-09,1.0,left_tail_missing;boundary_solution,0.0,0.9568442827568423,0.013850866538595063,1e-09,False,True,True,,
combined_clean_d1e4_int4_D1e-3_a8,combined,10000,coordinate,rtn,4,0.001,False,False,0.0,8.0,1.0,M4,linear,4.0,1.1102230246251565e-16,-2.085226988758583,8.031525330246609,19,1e-09,1.0,right_tail_missing;boundary_solution,0.0,0.0,3899.046946074878,1e-09,False,True,True,,
combined_clean_d1e4_int4_D1e-3_a8,combined,10000,coordinate,rtn,4,0.001,False,False,0.0,8.0,1.0,M4,log,4.0,-0.0968292179323953,-1.6267906016508258,7.410835946034678,19,1e-09,1.0,left_tail_missing;boundary_solution,0.0,0.835584988209887,0.01422240804066052,1e-09,False,True,True,,
combined_clean_d1e4_int4_D1e-3_a8,combined,10000,coordinate,rtn,4,0.001,False,False,0.0,8.0,1.0,MIA2,linear,2.0,0.9995694712798332,0.2613910263486692,3.9297214043814273,19,1e-09,1.0,right_tail_missing;boundary_solution,,0.0,21.231021166299758,1.0,False,True,True,1.0566157956310063,
combined_clean_d1e4_int4_D1e-3_a8,combined,10000,coordinate,rtn,4,0.001,False,False,0.0,8.0,1.0,MIA2,log,2.0,0.9817248498616957,0.9806338907575203,0.6363201282409836,19,1e-09,1.0,ok,,0.9689501312968172,0.011071387523188592,0.01,True,True,True,0.9222676617070318,
combined_clean_d1e4_int4_D1e-3_a8,combined,10000,coordinate,rtn,4,0.001,False,False,0.0,8.0,1.0,MIA_loc,linear,,0.9995694712798332,0.2613910263486692,3.9297214043814273,19,1e-09,1.0,ok;boundary_solution,,,21.231021166299758,1.0,False,True,True,1.0566157956310063,0.0
combined_clean_d1e4_int4_D1e-3_a8,combined,10000,coordinate,rtn,4,0.001,False,False,0.0,8.0,1.0,MIA_loc,log,,0.9831298781262445,0.999596356271533,0.09186573985669017,19,1e-09,1.0,ok,,,0.000463387101092283,0.01,True,True,True,0.9276864465838548,0.9944128818421688
combined_clean_d1e4_int4_D1e-3_a8,combined,10000,coordinate,rtn,4,0.001,False,False,0.0,8.0,1.0,Mp,linear,1.0,1.1102230246251565e-16,-2.085226988758583,8.031525330246609,19,1e-09,1.0,right_tail_missing;boundary_solution,0.0,0.0,3899.046946074878,1e-09,False,True,True,,
combined_clean_d1e4_int4_D1e-3_a8,combined,10000,coordinate,rtn,4,0.001,False,False,0.0,8.0,1.0,Mp,log,1.0,-0.0968296087615459,-2.029219656882446,7.958291738673302,19,1e-09,1.0,left_tail_missing;boundary_solution,0.0,0.5519360787128217,0.006353016858149037,1e-09,False,True,True,,
