attempt,family,config_id,failure_reason,action_taken,result_status,best_model,R2_log,h_star
0,combined,combined_clean_d1e4_int4_D1e-3_a8,boundary_solution;low_R2_log,compare_M4_Mp_MIA_and_clean_clip_range,diagnosed,MIA_loc,0.999596356271533,0.01
0,combined,combined_clean_d1e4_int8_D1e-4_a8,low_R2_log,compare_M4_Mp_MIA_and_clean_clip_range,diagnosed,MIA_loc,0.9997912252586062,0.003
0,combined,combined_clip_appendix_d1e4_int4,right_tail_missing;low_R2_log,compare_M4_Mp_MIA_and_clean_clip_range,diagnosed,MIAp,0.9997988266667535,0.003
0,linear,linear_visibility_d1e4_int4,right_tail_missing;boundary_solution;low_R2_log,compare_M4_Mp_MIA_and_clean_clip_range,diagnosed,MIA2,0.9991285368384636,1.0
0,locality,locality_fp_d1e4_a4,none,compare_M4_Mp_MIA_and_clean_clip_range,ok,MIA_loc,0.9999999643312231,0.003
0,locality,locality_fp_norm_d1e4_a12,low_R2_log,compare_M4_Mp_MIA_and_clean_clip_range,diagnosed,MIA_loc,0.9998300321912861,0.1
0,scaling,scaling_d1000000_p0.01_int4_D0.0001,boundary_solution;low_R2_log,compare_M4_Mp_MIA_and_clean_clip_range,diagnosed,MIA_loc,0.9983413624520961,0.001
0,scaling,scaling_d1000000_p0.01_int4_D0.001,boundary_solution;low_R2_log,compare_M4_Mp_MIA_and_clean_clip_range,diagnosed,MIA_loc,0.9948011873221991,0.01
0,scaling,scaling_d1000000_p0.01_int4_D1e-05,low_R2_log,compare_M4_Mp_MIA_and_clean_clip_range,diagnosed,MIA_loc,0.9995020288594415,0.01
0,scaling,scaling_d1000000_p0.01_int8_D0.0001,boundary_solution;low_R2_log,compare_M4_Mp_MIA_and_clean_clip_range,diagnosed,MIA_loc,0.9986902043778354,0.003
0,scaling,scaling_d1000000_p0.01_int8_D0.001,boundary_solution;low_R2_log,compare_M4_Mp_MIA_and_clean_clip_range,diagnosed,MIA_loc,0.9976450891256269,0.01
0,scaling,scaling_d1000000_p0.01_int8_D1e-05,low_R2_log,compare_M4_Mp_MIA_and_clean_clip_range,diagnosed,MIA_loc,0.9998058710287576,0.003
0,scaling,scaling_d1000000_p0.1_int4_D0.0001,low_R2_log,compare_M4_Mp_MIA_and_clean_clip_range,diagnosed,MIA_loc,0.9984978118823682,0.001
0,scaling,scaling_d1000000_p0.1_int4_D0.001,low_R2_log,compare_M4_Mp_MIA_and_clean_clip_range,diagnosed,MIA_loc,0.9960748173146546,0.01
0,scaling,scaling_d1000000_p0.1_int4_D1e-05,low_R2_log,compare_M4_Mp_MIA_and_clean_clip_range,diagnosed,MIA_loc,0.9997601872952753,0.01
0,scaling,scaling_d1000000_p0.1_int8_D0.0001,low_R2_log,compare_M4_Mp_MIA_and_clean_clip_range,diagnosed,MIA_loc,0.9931643449084303,0.0003
0,scaling,scaling_d1000000_p0.1_int8_D0.001,low_R2_log,compare_M4_Mp_MIA_and_clean_clip_range,diagnosed,MIA_loc,0.9954334081935656,0.01
