dir,csv,eps,eps_exponent,best_eval_loss,best_train_loss
sst-5-roberta-large-prompt-standard-k16-roberta-large-mezo-ftseed16-bs8-lr1e-6-eps1.291550e-06-wd0-step50000-evalstep5000,metrics_adaptiveH-0_cscale-0_layerwiseH-0.csv,1.29155e-06,-6,1.2382972240447998,0.7789317965507507
sst-5-roberta-large-prompt-standard-k16-roberta-large-mezo-ftseed16-bs8-lr1e-6-eps1.668101e-06-wd0-step50000-evalstep5000,metrics_adaptiveH-0_cscale-0_layerwiseH-0.csv,1.668101e-06,-6,1.2014713287353516,0.7865673899650574
sst-5-roberta-large-prompt-standard-k16-roberta-large-mezo-ftseed16-bs8-lr1e-6-eps2.154435e-06-wd0-step50000-evalstep5000,metrics_adaptiveH-0_cscale-0_layerwiseH-0.csv,2.154435e-06,-6,1.1840404272079468,0.771422266960144
sst-5-roberta-large-prompt-standard-k16-roberta-large-mezo-ftseed16-bs8-lr1e-6-eps2.782559e-06-wd0-step50000-evalstep5000,metrics_adaptiveH-0_cscale-0_layerwiseH-0.csv,2.782559e-06,-6,1.1776899099349976,0.7758917808532715
sst-5-roberta-large-prompt-standard-k16-roberta-large-mezo-ftseed16-bs8-lr1e-6-eps3.593814e-06-wd0-step50000-evalstep5000,metrics_adaptiveH-0_cscale-0_layerwiseH-0.csv,3.593814e-06,-5,1.1697784662246704,0.7135272026062012
sst-5-roberta-large-prompt-standard-k16-roberta-large-mezo-ftseed16-bs8-lr1e-6-eps4.641589e-06-wd0-step50000-evalstep5000,metrics_adaptiveH-0_cscale-0_layerwiseH-0.csv,4.641589e-06,-5,1.1730823516845703,0.7334075570106506
sst-5-roberta-large-prompt-standard-k16-roberta-large-mezo-ftseed16-bs8-lr1e-6-eps5.994843e-06-wd0-step50000-evalstep5000,metrics_adaptiveH-0_cscale-0_layerwiseH-0.csv,5.994843e-06,-5,1.161266803741455,0.7268141508102417
sst-5-roberta-large-prompt-standard-k16-roberta-large-mezo-ftseed16-bs8-lr1e-6-eps7.742637e-06-wd0-step50000-evalstep5000,metrics_adaptiveH-0_cscale-0_layerwiseH-0.csv,7.742637e-06,-5,1.1653027534484863,0.734850287437439
sst-5-roberta-large-prompt-standard-k16-roberta-large-mezo-ftseed16-bs8-lr1e-6-eps1.000000e-05-wd0-step50000-evalstep5000,metrics_adaptiveH-0_cscale-0_layerwiseH-0.csv,1e-05,-5,1.168386936187744,0.7306245565414429
sst-5-roberta-large-prompt-standard-k16-roberta-large-mezo-ftseed16-bs8-lr1e-6-eps1.291550e-05-wd0-step50000-evalstep5000,metrics_adaptiveH-0_cscale-0_layerwiseH-0.csv,1.29155e-05,-5,1.1780447959899902,0.7207067012786865
sst-5-roberta-large-prompt-standard-k16-roberta-large-mezo-ftseed16-bs8-lr1e-6-eps1.668101e-05-wd0-step50000-evalstep5000,metrics_adaptiveH-0_cscale-0_layerwiseH-0.csv,1.668101e-05,-5,1.1765103340148926,0.6839154362678528
sst-5-roberta-large-prompt-standard-k16-roberta-large-mezo-ftseed16-bs8-lr1e-6-eps2.154435e-05-wd0-step50000-evalstep5000,metrics_adaptiveH-0_cscale-0_layerwiseH-0.csv,2.154435e-05,-5,1.1593801975250244,0.7136307954788208
sst-5-roberta-large-prompt-standard-k16-roberta-large-mezo-ftseed16-bs8-lr1e-6-eps2.782559e-05-wd0-step50000-evalstep5000,metrics_adaptiveH-0_cscale-0_layerwiseH-0.csv,2.782559e-05,-5,1.153874754905701,0.7092240452766418
sst-5-roberta-large-prompt-standard-k16-roberta-large-mezo-ftseed16-bs8-lr1e-6-eps3.593814e-05-wd0-step50000-evalstep5000,metrics_adaptiveH-0_cscale-0_layerwiseH-0.csv,3.593814e-05,-4,1.1693288087844849,0.6749748587608337
sst-5-roberta-large-prompt-standard-k16-roberta-large-mezo-ftseed16-bs8-lr1e-6-eps4.641589e-05-wd0-step50000-evalstep5000,metrics_adaptiveH-0_cscale-0_layerwiseH-0.csv,4.641589e-05,-4,1.166193604469299,0.6786760687828064
sst-5-roberta-large-prompt-standard-k16-roberta-large-mezo-ftseed16-bs8-lr1e-6-eps5.994843e-05-wd0-step50000-evalstep5000,metrics_adaptiveH-0_cscale-0_layerwiseH-0.csv,5.994843e-05,-4,1.1653348207473757,0.7037600874900818
sst-5-roberta-large-prompt-standard-k16-roberta-large-mezo-ftseed16-bs8-lr1e-6-eps7.742637e-05-wd0-step50000-evalstep5000,metrics_adaptiveH-0_cscale-0_layerwiseH-0.csv,7.742637e-05,-4,1.170029878616333,0.7217159867286682
sst-5-roberta-large-prompt-standard-k16-roberta-large-mezo-ftseed16-bs8-lr1e-6-eps1.000000e-04-wd0-step50000-evalstep5000,metrics_adaptiveH-0_cscale-0_layerwiseH-0.csv,0.0001,-4,1.1672694683074951,0.7121423482894897
