model,task,precision,quantizer,mode,h_policy,h_value,hstar_cont,seed,run_type,steps,best_dev_acc,final_dev_acc,best_eval_step,source_path
roberta-large,sst-2,int4,G128_RTNClip,sparse_p0p1,fixed_small,1e-05,0.000458314754972,16,full,20000,0.5648106904231626,0.5578322197475872,4000.0,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv
roberta-large,sst-5,int4,G128_RTNClip,sparse_p0p1,fixed_small,1e-05,0.0013388576857165,16,full,20000,0.2728337236533958,0.2728337236533958,20000.0,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv
roberta-large,rte,int4,G128_RTNClip,sparse_p0p1,fixed_small,1e-05,0.0004352528589334,16,full,20000,0.5100401606425703,0.4979919678714859,8000.0,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv
roberta-large,mnli,int4,G128_RTNClip,sparse_p0p1,fixed_small,1e-05,0.0008531355897454,16,full,20000,0.33475935828877,0.3333333333333333,2000.0,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv
roberta-large,trec,int4,G128_RTNClip,sparse_p0p1,fixed_small,1e-05,0.0012135533363166,16,medium,18434,0.2307692307692307,0.2307692307692307,18000.0,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv
roberta-large,sst-2,int4,G128_RTNClip,sparse_p0p1,mezo_default,0.001,0.000458314754972,16,full,20000,0.9042316258351892,0.9042316258351892,20000.0,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv
roberta-large,sst-5,int4,G128_RTNClip,sparse_p0p1,mezo_default,0.001,0.0013388576857165,16,full,20000,0.4812646370023419,0.4812646370023419,20000.0,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv
roberta-large,rte,int4,G128_RTNClip,sparse_p0p1,mezo_default,0.001,0.0004352528589334,16,full,20000,0.6265060240963856,0.6265060240963856,20000.0,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv
roberta-large,mnli,int4,G128_RTNClip,sparse_p0p1,mezo_default,0.001,0.0008531355897454,16,full,20000,0.4708174178762414,0.4478482302011713,17000.0,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv
roberta-large,trec,int4,G128_RTNClip,sparse_p0p1,mezo_default,0.001,0.0012135533363166,16,full,20000,0.7875457875457875,0.7875457875457875,20000.0,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv
roberta-large,sst-2,int4,G128_RTNClip,sparse_p0p1,hstar_cleanGL,0.000458314754972,0.000458314754972,16,full,20000,0.9020044543429844,0.8942835931700074,18000.0,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv
