source_path,model,task,precision,forward_evals_delta,forward_evals_G,forward_evals_L_loc,backward_passes,runtime_sec,peak_memory,h_ref_or_hstar,log10_h_ref
analysis/int4_sst5_calibrated_hstar_20260521_202225/hstar_components.csv,roberta-large,sst-5,int4,0,16.0,9.0,0,,,0.004028758312635,-2.394828785388319
analysis/int8_sst5_calibrated_hstar_20260521_newmethod/hstar_components.csv,roberta-large,sst-5,int8,0,16.0,9.0,0,,,0.0005878782325753,-3.230712620177388
outputs/rtnclip_int4_roberta_full_dataset_formula_hstar_20260521/formula_hstar_summary.csv,roberta-large,SST-2,int4,0,8.0,9.0,0,3.030826568603516,,0.0562750683889417,-1.2496839685456218
outputs/rtnclip_int4_roberta_full_dataset_formula_hstar_20260521/formula_hstar_summary.csv,roberta-large,RTE,int4,0,8.0,9.0,0,2.5563337802886963,,0.0508038046485087,-1.2941037625983571
outputs/rtnclip_int4_roberta_full_dataset_formula_hstar_20260521/formula_hstar_summary.csv,roberta-large,MNLI,int4,0,8.0,9.0,0,5.818265199661255,,0.0589422065553909,-1.2295736099707775
outputs/rtnclip_int4_roberta_full_dataset_formula_hstar_20260521/formula_hstar_summary.csv,roberta-large,TREC,int4,0,8.0,9.0,0,2.088973999023437,,0.0619404354490004,-1.2080257458240289
outputs/int4_full_data_hstar_dense_sparse_20260522_113710/hstar/hstar_full_data_summary.csv,roberta-large,sst-2,int4,0,,,0,24.387237548828125,,0.0014831360079805,-2.8288190210505055
outputs/int4_full_data_hstar_dense_sparse_20260522_113710/hstar/hstar_full_data_summary.csv,roberta-large,sst-2,int4,0,,,0,23.92725610733032,,0.0019403883896951,-2.7121113326372113
outputs/int4_full_data_hstar_dense_sparse_20260522_113710/hstar/hstar_full_data_summary.csv,roberta-large,sst-5,int4,0,,,0,19.62834095954895,,0.0015509397815746,-2.8094050642351163
outputs/int4_full_data_hstar_dense_sparse_20260522_113710/hstar/hstar_full_data_summary.csv,roberta-large,sst-5,int4,0,,,0,22.49966549873352,,0.0023055353516053,-2.6372282141995504
outputs/int4_full_data_hstar_dense_sparse_20260522_113710/hstar/hstar_full_data_summary.csv,roberta-large,rte,int4,0,,,0,50.05380630493164,,0.0017056253106509,-2.7681163678866016
outputs/int4_full_data_hstar_dense_sparse_20260522_113710/hstar/hstar_full_data_summary.csv,roberta-large,rte,int4,0,,,0,53.181840896606445,,0.0012314751799571,-2.9095743368222773
outputs/int4_full_data_hstar_dense_sparse_20260522_113710/hstar/hstar_full_data_summary.csv,roberta-large,mnli,int4,0,,,0,40.653355836868286,,0.0013127067362835,-2.8818322861263845
outputs/int4_full_data_hstar_dense_sparse_20260522_113710/hstar/hstar_full_data_summary.csv,roberta-large,mnli,int4,0,,,0,43.24077892303467,,0.0016522298376337,-2.781929539174799
outputs/int4_full_data_hstar_dense_sparse_20260522_113710/hstar/hstar_full_data_summary.csv,roberta-large,trec,int4,0,,,0,18.013534784317017,,0.0006975900432871,-3.1563997267227504
outputs/int4_full_data_hstar_dense_sparse_20260522_113710/hstar/hstar_full_data_summary.csv,roberta-large,trec,int4,0,,,0,20.92320561408997,,0.0095261917556973,-2.021080680686801
outputs/int4_full_data_hstar_dense_sparse_20260522_113710/hstar_sparse_p0p1_taskgrad_lowbitG_20260522_162254/hstar_full_data_summary.csv,roberta-large,sst-2,int4,0,,,0,41.36926460266113,,0.0014044817337847,-2.8524839047130945
outputs/int4_full_data_hstar_dense_sparse_20260522_113710/hstar_sparse_p0p1_taskgrad_lowbitG_20260522_162254/hstar_full_data_summary.csv,roberta-large,sst-5,int4,0,,,0,36.8118736743927,,0.0028127515046377,-2.5508686343231184
outputs/int4_full_data_hstar_dense_sparse_20260522_113710/hstar_sparse_p0p1_taskgrad_lowbitG_20260522_162254/hstar_full_data_summary.csv,roberta-large,rte,int4,0,,,0,73.14168453216553,,0.001178016160561,-2.9288487516589976
outputs/int4_full_data_hstar_dense_sparse_20260522_113710/hstar_sparse_p0p1_taskgrad_lowbitG_20260522_162254/hstar_full_data_summary.csv,roberta-large,mnli,int4,0,,,0,56.20924687385559,,0.0010257183450845,-2.9889718770100946
outputs/int4_full_data_hstar_dense_sparse_20260522_113710/hstar_sparse_p0p1_taskgrad_lowbitG_20260522_162254/hstar_full_data_summary.csv,roberta-large,trec,int4,0,,,0,34.98036479949951,,0.0017340692408006,-2.7609335652812304
