model,task,precision,mode,h_policy,h_value,seed,run_type,steps,best_dev_acc,final_dev_acc,source_path,is_default,default_best_acc,delta_vs_default,within_1pt_default
facebook/opt-1.3b,sst-2,int4,dense,small_1e-5,1e-05,16,full,20000,0.5607798165137615,0.5034403669724771,outputs/opt13b_int4_roberta_matched_seed16_20260613_182816/full/summary_mezo_option.csv,False,0.8967889908256881,-0.33600917431192656,False
facebook/opt-1.3b,sst-2,int4,dense,hstar_cont,0.0005056172823939,16,full,20000,0.8761467889908257,0.5951834862385321,outputs/opt13b_int4_roberta_matched_seed16_20260613_182816/full/summary_mezo_option.csv,False,0.8967889908256881,-0.020642201834862428,False
facebook/opt-1.3b,sst-2,int4,dense,standard_1e-3,0.001,16,full,20000,0.8967889908256881,0.8887614678899083,outputs/opt13b_int4_roberta_matched_seed16_20260613_182816/full/summary_mezo_option.csv,True,0.8967889908256881,0.0,True
facebook/opt-1.3b,sst-5,int4,dense,small_1e-5,1e-05,16,full,20000,0.2524977293369664,0.1907356948228883,outputs/opt13b_int4_roberta_matched_seed16_20260613_182816/full/summary_mezo_option.csv,False,0.4623069936421435,-0.2098092643051771,False
facebook/opt-1.3b,sst-5,int4,dense,hstar_cont,0.0006543479591531,16,full,20000,0.44141689373297,0.3251589464123524,outputs/opt13b_int4_roberta_matched_seed16_20260613_182816/full/summary_mezo_option.csv,False,0.4623069936421435,-0.02089009990917351,False
facebook/opt-1.3b,sst-5,int4,dense,standard_1e-3,0.001,16,full,20000,0.4623069936421435,0.44141689373297,outputs/opt13b_int4_roberta_matched_seed16_20260613_182816/full/summary_mezo_option.csv,True,0.4623069936421435,0.0,True
facebook/opt-1.3b,rte,int4,dense,small_1e-5,1e-05,16,full,20000,0.5595667870036101,0.4332129963898917,outputs/opt13b_int4_roberta_matched_seed16_20260613_182816/full/summary_mezo_option.csv,False,0.5992779783393501,-0.03971119133574008,False
facebook/opt-1.3b,rte,int4,dense,hstar_cont,0.0002940821846582,16,full,20000,0.555956678700361,0.5090252707581228,outputs/opt13b_int4_roberta_matched_seed16_20260613_182816/full/summary_mezo_option.csv,False,0.5992779783393501,-0.04332129963898912,False
facebook/opt-1.3b,rte,int4,dense,standard_1e-3,0.001,16,full,20000,0.5992779783393501,0.5848375451263538,outputs/opt13b_int4_roberta_matched_seed16_20260613_182816/full/summary_mezo_option.csv,True,0.5992779783393501,0.0,True
facebook/opt-1.3b,trec,int4,dense,small_1e-5,1e-05,16,full,20000,0.292,0.148,outputs/opt13b_int4_roberta_matched_seed16_20260613_182816/full/summary_mezo_option.csv,False,0.66,-0.36800000000000005,False
facebook/opt-1.3b,trec,int4,dense,hstar_cont,0.0003443971570045,16,full,20000,0.334,0.192,outputs/opt13b_int4_roberta_matched_seed16_20260613_182816/full/summary_mezo_option.csv,False,0.66,-0.326,False
facebook/opt-1.3b,trec,int4,dense,standard_1e-3,0.001,16,full,20000,0.66,0.518,outputs/opt13b_int4_roberta_matched_seed16_20260613_182816/full/summary_mezo_option.csv,True,0.66,0.0,True
facebook/opt-1.3b,mnli,int4,dense,small_1e-5,1e-05,16,full,20000,0.3578196637799287,0.3291900152827305,outputs/opt13b_int4_roberta_matched_seed16_20260613_182816/full/summary_mezo_option.csv,False,0.3904228222109017,-0.032603158430973,False
facebook/opt-1.3b,mnli,int4,dense,hstar_cont,0.0001731491820902,16,full,20000,0.378604177279674,0.346001018848701,outputs/opt13b_int4_roberta_matched_seed16_20260613_182816/full/summary_mezo_option.csv,False,0.3904228222109017,-0.011818644931227695,False
facebook/opt-1.3b,mnli,int4,dense,standard_1e-3,0.001,16,full,20000,0.3904228222109017,0.3904228222109017,outputs/opt13b_int4_roberta_matched_seed16_20260613_182816/full/summary_mezo_option.csv,True,0.3904228222109017,0.0,True
