d,Delta,G,L,n_dirs,alpha,beta,gamma,h_ref,h_q,h_loc,rho_min,W1_low,W1_high,W01_low,W01_high,empirical_min_h,empirical_min_A,rho_emp_W1_low,rho_emp_W1_high,bound_coverage_frac,center_error_log10,endpoint_error_low_log10,endpoint_error_high_log10,W1_exists,W01_exists
1000,1e-05,1.0,0.1,256,2.5000000000000004e-11,40080.00000000001,0.0020019990009987523,0.00015803492474010034,5e-06,0.004995007487521835,0.0020079989980047426,5.007489425950745e-06,0.004987536730131597,1.583586220408286e-05,0.001577118891017563,0.0003,0.0002967620573395884,3e-06,0.01,1.0,0.03980755340661911,0.22249878617034655,0.30211389298244146,True,True
1000,1e-05,1.0,1.0,256,2.5000000000000004e-11,4008000.0,0.02001999000998752,4.997503120320104e-05,5e-06,0.0004995007487521836,0.02007998998004742,5.007739327747257e-06,0.0004987287836494369,1.5916316134022282e-05,0.00015691468570558977,0.0001,0.0035391239469134113,3e-06,0.001,1.0,0.03980755340661916,0.22252045935903436,0.30213556617228643,True,True
1000,1e-05,10.0,0.1,256,2.500000000000001e-09,40080.00000000001,0.020019990009987523,0.0004997503120320105,5e-06,0.049950074875218346,0.00020079989980047424,5.007486930992974e-06,0.04987539218754364,1.5835071945322756e-05,0.0157719759809644,0.001,0.0034246822847309134,3e-06,0.1,1.0,0.03980755340661911,0.2224985697851342,0.3021136762833125,True,True
1000,1e-05,10.0,1.0,256,2.500000000000001e-09,4008000.0,0.2001999000998752,0.00015803492474010034,5e-06,0.0049950074875218355,0.002007998998004742,5.007489425950746e-06,0.004987536730131599,1.5835862204082863e-05,0.0015771188910175633,0.0003,0.029676205733958853,3e-06,0.01,1.0,0.03980755340661911,0.22249878617034657,0.3021138929824413,True,True
1000,0.0001,1.0,0.1,256,2.5e-09,40080.00000000001,0.02001999000998752,0.0004997503120320105,5e-05,0.004995007487521835,0.020079989980047425,5.007739327747256e-05,0.004987287836494368,0.00015916316134022276,0.0015691468570558974,0.001,0.0035391244688340734,3e-05,0.01,1.0,0.03980755340661911,0.2225204593590343,0.3021355661722866,True,True
1000,0.0001,1.0,1.0,256,2.5e-09,4008000.0,0.2001999000998752,0.00015803492474010034,5e-05,0.0004995007487521836,0.20079989980047422,5.0331810942796275e-05,0.0004962078051591291,,,0.0003,0.031768532806340954,3e-05,0.001,1.0,0.03980755340661911,0.22472130191062703,0.3043364087238654,True,False
1000,0.0001,10.0,0.1,256,2.5e-07,40080.00000000001,0.2001999000998752,0.0015803492474010033,5e-05,0.049950074875218346,0.0020079989980047426,5.007489425950746e-05,0.04987536730131598,0.00015835862204082859,0.01577118891017563,0.003,0.029676211081343246,3e-05,0.1,1.0,0.03980755340661916,0.22249878617034657,0.3021138929824414,True,True
1000,0.0001,10.0,1.0,256,2.5e-07,4008000.0,2.001999000998752,0.0004997503120320105,5e-05,0.0049950074875218355,0.02007998998004742,5.0077393277472574e-05,0.004987287836494369,0.0001591631613402228,0.0015691468570558976,0.001,0.35391244688340734,3e-05,0.01,1.0,0.03980755340661911,0.22252045935903442,0.30213556617228643,True,True
1000,0.001,1.0,0.1,256,2.5e-07,40080.00000000001,0.2001999000998752,0.0015803492474010033,0.0005,0.004995007487521835,0.20079989980047427,0.0005033181094279627,0.0049620780515912885,,,0.003,0.031768544201859594,0.0003,0.01,1.0,0.03980755340661911,0.22472130191062703,0.30433640872386564,True,False
1000,0.001,1.0,1.0,256,2.5e-07,4008000.0,2.001999000998752,0.0004997503120320105,0.0005,0.0004995007487521836,2.007998998004742,,,,,0.001,0.3725100181339285,0.0003,0.001,1.0,0.03980755340661911,,,False,False
1000,0.001,10.0,0.1,256,2.4999999999999998e-05,40080.00000000001,2.001999000998752,0.004997503120320104,0.0005,0.049950074875218346,0.020079989980047425,0.0005007739327747257,0.04987287836494368,0.001591631613402228,0.01569146857055897,0.01,0.35391258867836184,0.0003,0.1,1.0,0.03980755340661916,0.22252045935903436,0.3021355661722866,True,True
1000,0.001,10.0,1.0,256,2.4999999999999998e-05,4008000.0,20.01999000998752,0.0015803492474010033,0.0005,0.0049950074875218355,0.20079989980047422,0.0005033181094279627,0.004962078051591289,,,0.003,3.1768544201859585,0.0003,0.01,1.0,0.03980755340661911,0.22472130191062703,0.3043364087238655,True,False
1000,0.01,1.0,0.1,256,2.5e-05,40080.00000000001,2.001999000998752,0.004997503120320104,0.005,0.004995007487521835,2.0079989980047426,,,,,0.01,0.3725099174727601,0.003,0.01,1.0,0.03980755340661916,,,False,False
1000,0.01,1.0,1.0,256,2.5e-05,4008000.0,20.01999000998752,0.0015803492474010033,0.005,0.0004995007487521836,20.07998998004742,,,,,1e-08,1.1181129428434984,,,1.0,5.198753073953212,,,False,False
1000,0.01,10.0,0.1,256,0.0025,40080.00000000001,20.01999000998752,0.015803492474010035,0.005,0.049950074875218346,0.20079989980047427,0.005033181094279627,0.04962078051591289,,,0.03,3.176853473905088,0.003,0.1,1.0,0.03980755340661911,0.22472130191062697,0.3043364087238656,True,False
