setting_id,model,dataset,precision,quantizer,direction_family,sparse_p,fit_coordinate,Delta_eff,Delta_method,G_hat,G_method,L_hat,L_method,K_u,K_u_method,h_star_theory,nearest_grid_h_star_theory,theory_needs_scalar_calibration,calibration_note,W_kappa_1.5_theory,W_kappa_2_theory,W_kappa_3_theory,W_tau_0.01_theory,W_tau_0.03_theory,W_tau_0.05_theory,W_tau_0.1_theory,W_tau_0.2_theory
historical_groupwise256_int8_probe,roberta-large,sst-5,int8,groupwise_int8_block256_historical,dense,,raw,0.00025137465860775786,2*sqrt(empirical_alpha),15.944577458908864,d_true_std_stable_h,767.1989125175758,sqrt(beta)*G_hat/2_from_normalized_fit,1.0,normalized_directional_mse_proxy,0.0011428343074989004,0.001,True,"The proxy uses fitted alpha/beta to instantiate the bound constants; use as supporting explanation, not independent selection.","[0.0007, 0.0015]","[0.0007, 0.002]","[0.0007, 0.0025]",none,"[0.001, 0.0015]","[0.0007, 0.002]","[0.0007, 0.003]","[0.0003, 0.004]"
historical_groupwise256_int8_probe,roberta-large,sst-5,int8,groupwise_int8_block256_historical,sparse,0.003,raw,3.331196810175747e-05,2*sqrt(empirical_alpha),11.961656001755095,d_true_std_stable_h,459.9152824608407,sqrt(beta)*G_hat/2_from_normalized_fit,1.0,normalized_directional_mse_proxy,0.0004654005414103988,0.000657267,True,"The proxy uses fitted alpha/beta to instantiate the bound constants; use as supporting explanation, not independent selection.","[0.0003286, 0.0006573]","[0.0001643, 0.001315]","[0.0001643, 0.001315]",none,"[0.0001643, 0.001315]","[0.0001643, 0.001315]","[8.216e-05, 0.001315]","[4.108e-05, 0.001315]"
historical_groupwise256_int8_probe,roberta-large,sst-5,int8,groupwise_int8_block256_historical,sparse,0.003,active,0.0006081905454741383,2*sqrt(empirical_alpha),11.961656001755095,d_true_std_stable_h,25.190597474515624,sqrt(beta)*G_hat/2_from_normalized_fit,1.0,normalized_directional_mse_proxy,0.008497012493519635,0.0119999987401249,True,"The proxy uses fitted alpha/beta to instantiate the bound constants; use as supporting explanation, not independent selection.","[0.006, 0.012]","[0.003, 0.024]","[0.003, 0.024]",none,"[0.003, 0.024]","[0.003, 0.024]","[0.0015, 0.024]","[0.00075, 0.024]"
historical_groupwise256_int8_probe,roberta-large,sst-5,int8,groupwise_int8_block256_historical,sparse,0.01,raw,6.828046232031574e-05,2*sqrt(empirical_alpha),9.949012189808052,d_true_std_stable_h,521.2723411465995,sqrt(beta)*G_hat/2_from_normalized_fit,1.0,normalized_directional_mse_proxy,0.0005707893633605936,0.0006,True,"The proxy uses fitted alpha/beta to instantiate the bound constants; use as supporting explanation, not independent selection.","[0.0003, 0.0012]","[0.0003, 0.0012]","[0.0003, 0.0012]",none,"[0.0003, 0.0006]","[0.0003, 0.0012]","[0.00015, 0.0024]","[0.00015, 0.0024]"
historical_groupwise256_int8_probe,roberta-large,sst-5,int8,groupwise_int8_block256_historical,sparse,0.01,active,0.0006828046232030638,2*sqrt(empirical_alpha),9.949012189808052,d_true_std_stable_h,52.1272341146588,sqrt(beta)*G_hat/2_from_normalized_fit,1.0,normalized_directional_mse_proxy,0.005707893633605608,0.0059999999999999,True,"The proxy uses fitted alpha/beta to instantiate the bound constants; use as supporting explanation, not independent selection.","[0.003, 0.012]","[0.003, 0.012]","[0.003, 0.012]",none,"[0.003, 0.006]","[0.003, 0.012]","[0.0015, 0.024]","[0.0015, 0.024]"
legacy_probe_window_h100_20260512,roberta-large,sst-5,bf16,bf16_forward_oracle,dense,,raw,7.180136533548784e-05,2*sqrt(empirical_alpha),14.648825745077437,d_true_std_stable_h,768.0233838341593,sqrt(beta)*G_hat/2_from_normalized_fit,1.0,normalized_directional_mse_proxy,0.0005851275415655754,0.001,True,"The proxy uses fitted alpha/beta to instantiate the bound constants; use as supporting explanation, not independent selection.","[0.0003, 0.001]","[0.0003, 0.001]","[0.0003, 0.0015]",none,"[0.0003, 0.0015]","[0.0003, 0.002]","[0.0003, 0.003]","[0.0001, 0.004]"
legacy_probe_window_h100_20260512,roberta-large,sst-5,fp32,identity,dense,,raw,,missing,14.64468881801487,d_true_std_stable_h,736.2348051120622,sqrt(beta)*G_hat/2_from_normalized_fit,1.0,normalized_directional_mse_proxy,,,True,"The proxy uses fitted alpha/beta to instantiate the bound constants; use as supporting explanation, not independent selection.","[1e-05, 1e-05]","[1e-05, 1e-05]","[1e-05, 1e-05]","[1e-05, 0.0003]","[1e-05, 0.0015]","[1e-05, 0.002]","[1e-05, 0.003]","[1e-05, 0.004]"
legacy_probe_window_h100_20260512,roberta-large,sst-5,int8,legacy_int8_fp16master_probe,dense,,raw,0.0001728917628069005,2*sqrt(empirical_alpha),14.18687525240539,d_true_std_stable_h,643.9364818974855,sqrt(beta)*G_hat/2_from_normalized_fit,1.0,normalized_directional_mse_proxy,0.0009758408970337066,0.001,True,"The proxy uses fitted alpha/beta to instantiate the bound constants; use as supporting explanation, not independent selection.","[0.0003, 0.003]","[0.0003, 0.004]","[0.0003, 0.005]",none,none,none,none,"[0.001, 0.0015]"
legacy_probe_window_h100_20260512,roberta-large,sst-5,int8,legacy_int8_fp16master_probe,sparse,0.003,raw,4.98363836036169e-05,2*sqrt(empirical_alpha),14.354079783763654,d_true_std_stable_h,214.43903747605336,sqrt(beta)*G_hat/2_from_normalized_fit,1.0,normalized_directional_mse_proxy,0.0009132275772958673,0.0006572670690061,True,"The proxy uses fitted alpha/beta to instantiate the bound constants; use as supporting explanation, not independent selection.","[0.0003286, 0.001315]","[0.0001643, 0.001315]","[0.0001643, 0.001315]",none,none,"[0.0003286, 0.001315]","[0.0001643, 0.001315]","[8.216e-05, 0.001315]"
legacy_probe_window_h100_20260512,roberta-large,sst-5,int8,legacy_int8_fp16master_probe,sparse,0.003,active,0.0009098837161392521,2*sqrt(empirical_alpha),14.354079783763654,d_true_std_stable_h,11.745309803493468,sqrt(beta)*G_hat/2_from_normalized_fit,1.0,normalized_directional_mse_proxy,0.01667317814071815,0.012,True,"The proxy uses fitted alpha/beta to instantiate the bound constants; use as supporting explanation, not independent selection.","[0.006, 0.024]","[0.003, 0.024]","[0.003, 0.024]",none,none,"[0.006, 0.024]","[0.003, 0.024]","[0.0015, 0.024]"
legacy_probe_window_h100_20260512,roberta-large,sst-5,int8,legacy_int8_fp16master_probe,sparse,0.01,raw,0.0001972179980991963,2*sqrt(empirical_alpha),9.292513865478742,d_true_std_stable_h,493.2446953633782,sqrt(beta)*G_hat/2_from_normalized_fit,1.0,normalized_directional_mse_proxy,0.0009637816974209378,0.0012,True,"The proxy uses fitted alpha/beta to instantiate the bound constants; use as supporting explanation, not independent selection.","[0.0006, 0.0024]","[0.0003, 0.0024]","[0.0003, 0.0024]",none,none,none,none,"[0.0003, 0.0024]"
legacy_probe_window_h100_20260512,roberta-large,sst-5,int8,legacy_int8_fp16master_probe,sparse,0.01,active,0.0019721799809916908,2*sqrt(empirical_alpha),9.292513865478742,d_true_std_stable_h,49.324469536325616,sqrt(beta)*G_hat/2_from_normalized_fit,1.0,normalized_directional_mse_proxy,0.009637816974209904,0.0119999999999999,True,"The proxy uses fitted alpha/beta to instantiate the bound constants; use as supporting explanation, not independent selection.","[0.006, 0.024]","[0.003, 0.024]","[0.003, 0.024]",none,none,none,none,"[0.003, 0.024]"
legacy_probe_window_h100_20260512,roberta-large,sst-5,int8,legacy_int8_fp16master_probe,sparse,0.03,raw,0.0002262321586290444,2*sqrt(empirical_alpha),12.15512721811302,d_true_std_stable_h,613.9661580570634,sqrt(beta)*G_hat/2_from_normalized_fit,1.0,normalized_directional_mse_proxy,0.001058168213769687,0.0010392304845413,True,"The proxy uses fitted alpha/beta to instantiate the bound constants; use as supporting explanation, not independent selection.","[0.001039, 0.001039]","[0.0005196, 0.002078]","[0.0005196, 0.002078]",none,none,"[0.001039, 0.001039]","[0.0005196, 0.002078]","[0.0005196, 0.004157]"
legacy_probe_window_h100_20260512,roberta-large,sst-5,int8,legacy_int8_fp16master_probe,sparse,0.03,active,0.0013061519768389279,2*sqrt(empirical_alpha),12.15512721811302,d_true_std_stable_h,106.34205798828519,sqrt(beta)*G_hat/2_from_normalized_fit,1.0,normalized_directional_mse_proxy,0.006109337030679393,0.006,True,"The proxy uses fitted alpha/beta to instantiate the bound constants; use as supporting explanation, not independent selection.","[0.006, 0.006]","[0.003, 0.012]","[0.003, 0.012]",none,none,"[0.006, 0.006]","[0.003, 0.012]","[0.003, 0.024]"
legacy_probe_window_h100_20260512,roberta-large,sst-5,int8,legacy_int8_fp16master_probe,sparse,0.1,raw,0.000333214767912836,2*sqrt(empirical_alpha),15.203006261834748,d_true_std_stable_h,946.1264743423028,sqrt(beta)*G_hat/2_from_normalized_fit,1.0,normalized_directional_mse_proxy,0.001156970443650429,0.0009486832980505,True,"The proxy uses fitted alpha/beta to instantiate the bound constants; use as supporting explanation, not independent selection.","[0.0009487, 0.001897]","[0.0009487, 0.001897]","[0.0004743, 0.001897]",none,none,"[0.0009487, 0.0009487]","[0.0009487, 0.001897]","[0.0004743, 0.001897]"
legacy_probe_window_h100_20260512,roberta-large,sst-5,int8,legacy_int8_fp16master_probe,sparse,0.1,active,0.0010537176166090757,2*sqrt(empirical_alpha),15.203006261834748,d_true_std_stable_h,299.1914613506528,sqrt(beta)*G_hat/2_from_normalized_fit,1.0,normalized_directional_mse_proxy,0.0036586617874310684,0.003,True,"The proxy uses fitted alpha/beta to instantiate the bound constants; use as supporting explanation, not independent selection.","[0.003, 0.006]","[0.003, 0.006]","[0.0015, 0.006]",none,none,"[0.003, 0.003]","[0.003, 0.006]","[0.0015, 0.006]"
roberta_sst5_current_dense_probe_ckpt1k,roberta-large,sst-5,fp16,fp16_forward_oracle,dense,,raw,8.001393258955513e-06,2*sqrt(empirical_alpha),19.98682844274842,d_true_std_stable_h,907.136901963878,sqrt(beta)*G_hat/2_from_normalized_fit,1.0,normalized_directional_mse_proxy,0.000209936686144545,0.0003,True,"The proxy uses fitted alpha/beta to instantiate the bound constants; use as supporting explanation, not independent selection.","[0.0003, 0.0003]","[0.0001, 0.0003]","[0.0001, 0.0003]","[0.0001, 0.001]","[3e-05, 0.0015]","[3e-05, 0.002]","[3e-05, 0.003]","[1e-05, 0.004]"
