configured_sparse_ratio,active_fraction,repeat,active_coordinates,int8_scale,code_step,h,delta_norm,loss_gap,abs_loss_gap,fd_projection,true_projection,projection_error,projection_error_sq,unit_fd_projection,unit_true_projection,unit_projection_error,unit_projection_error_sq,linear_gap,truncation_abs,truncation_rel,minibatch_gap_std,minibatch_signal_quality_snr,loss_noise_floor,loss_gap_floor_snr
0.005,0.0048828125,0,10,0.019134938247560514,8,0.15307950598048412,0.4840799570083618,0.00017361323989462107,0.00017361323989462107,0.0005670688534778613,0.0005670634564012289,5.397076632395609e-09,2.9128436175950726e-17,0.0001793228963326219,0.00017932117043528706,1.7258973348513364e-09,2.978721610446946e-18,0.00017361158753097182,1.6523636492545794e-09,9.517588501745613e-06,0.001372893457300961,0.12645791191687658,0.0001,1.7361323989462107
0.005,0.0048828125,1,10,0.019134938247560514,8,0.15307950598048412,0.4840799570083618,-0.0001924935495480895,0.0001924935495480895,-0.0006287371660731327,-0.0006287366850301623,-4.810429703227051e-10,2.314023392968909e-19,-0.00019882412684229812,-0.00019882398191839457,-1.4492390355272042e-10,2.100293782095821e-20,-0.00019249340227244898,1.4727564052194678e-10,7.650944852307071e-07,0.0014152971561998129,0.1360092816585248,0.0001,1.924935495480895
0.005,0.0048828125,2,10,0.019134938247560514,8,0.15307950598048412,0.4840799570083618,0.0004770359955728054,0.0004770359955728054,0.0015581314837585837,0.0015581196639686823,1.1819789901392277e-08,1.3970743331305487e-16,0.0004927243822703501,0.0004927206318825483,3.750387801747593e-09,1.406540866349714e-17,0.0004770323768376076,3.6187351977814974e-09,7.585932053021623e-06,0.0013600853271782398,0.35073975583760536,0.0001,4.770359955728054
0.005,0.0048828125,3,10,0.019134938247560514,8,0.15307950598048412,0.4840799570083618,4.930615887133172e-06,4.930615887133172e-06,1.610475502763175e-05,1.6097270417958498e-05,7.484609673250481e-09,5.601938196091468e-17,5.0927701258327474e-06,5.090434569865465e-06,2.335555967282273e-09,5.454821676307834e-18,4.928324406430696e-06,2.2914807024761584e-09,0.0004649614176140948,0.001355792279355228,0.003636704502756143,0.0001,0.04930615887133172
0.005,0.0048828125,4,10,0.019134938247560514,8,0.15307950598048412,0.4840799570083618,0.00017361323989462107,0.00017361323989462107,0.0005670688534778613,0.0005670634564012289,5.397076632395609e-09,2.9128436175950726e-17,0.0001793228963326219,0.00017932117043528706,1.7258973348513364e-09,2.978721610446946e-18,0.00017361158753097182,1.6523636492545794e-09,9.517588501745613e-06,0.001372893457300961,0.12645791191687658,0.0001,1.7361323989462107
0.005,0.0048828125,5,10,0.019134938247560514,8,0.15307950598048412,0.4840799570083618,0.0002195590641349554,0.0002195590641349554,0.0007171406215634987,0.0007171466713771224,-6.049813623698087e-09,3.6600244881482984e-17,0.00022677975090297202,0.00022678164532408118,-1.894421109159593e-09,3.588831338829463e-18,0.00021956091633991697,1.8522049615625827e-09,8.43595022483446e-06,0.001408373354934156,0.15589549700421604,0.0001,2.195590641349554
0.005,0.0048828125,6,10,0.019134938247560514,8,0.15307950598048412,0.4840799570083618,0.0005401053349487484,0.0005401053349487484,0.0017641333877103235,0.0017641494050621986,-1.601735187518015e-08,2.5655556109333704e-16,0.0005578678967485311,0.0005578729906119406,-5.093863409528186e-09,2.594744443493012e-17,0.0005401102388053726,4.903856624265991e-09,9.079362455917233e-06,0.0013282892759889364,0.4066172517628961,0.0001,5.4010533494874835
0.005,0.0048828125,7,10,0.019134938247560514,8,0.15307950598048412,0.4840799570083618,0.000547472620382905,0.000547472620382905,0.001788196979328838,0.001788198365829885,-1.3865010470032885e-09,1.922385153341215e-18,0.0005654774717035519,0.000565477879717946,-4.080143941893183e-10,1.664757458656764e-19,0.0005474730448726957,4.24489790648748e-10,7.753619920181731e-07,0.0013548858696594834,0.40407286889817406,0.0001,5.47472620382905
0.005,0.0048828125,8,10,0.019134938247560514,8,0.15307950598048412,0.4840799570083618,-0.00014438602374866605,0.00014438602374866605,-0.00047160468288640024,-0.0004716186667792499,1.3983892849667862e-08,1.9554925923099194e-16,-0.00014913447836280896,-0.00014913888298906386,4.404626254900972e-09,1.9400732445362963e-17,-0.00014439030504348425,4.281294818203564e-09,2.9650846827383728e-05,0.0013669570907950401,0.1056258639872077,0.0001,1.4438602374866605
0.005,0.0048828125,9,10,0.019134938247560514,8,0.15307950598048412,0.4840799570083618,0.00022210553288459778,0.00022210553288459778,0.0007254580927146241,0.0007254673982970417,-9.305582417584897e-09,8.659386413046517e-17,0.0002294099659250726,0.00022941292263567448,-2.9567106018851992e-09,8.742137583300337e-18,0.0002221083818725165,2.8489879187081676e-09,1.282701667847637e-05,0.0013499761698767543,0.16452552114669908,0.0001,2.221055328845978
0.005,0.0048828125,10,10,0.019134938247560514,8,0.15307950598048412,0.4840799570083618,0.00045005508582107723,0.00045005508582107723,0.0014700043710568745,0.001470012590289116,-8.21923224142776e-09,6.75557786385256e-17,0.00046485614546245624,0.00046485872007906437,-2.5746166081247815e-09,6.628650678831955e-18,0.00045005760221309934,2.51639202211067e-09,5.591266561739302e-06,0.0013610313180834055,0.3306721012524837,0.0001,4.500550858210772
0.005,0.0048828125,11,10,0.019134938247560514,8,0.15307950598048412,0.4840799570083618,-0.00023611595679540187,0.00023611595679540187,-0.0007712200117287547,-0.0007712198421359062,-1.6959284844519917e-10,2.876173424375629e-20,-0.0002438811536988747,-0.00024388112069573253,-3.3003142157084914e-11,1.0892073922407554e-21,-0.00023611590487302293,5.192237893976437e-11,2.1990208142770768e-07,0.0013773561222478747,0.1714269483262292,0.0001,2.3611595679540187
