precision_mode,h,probe_nMSE_fd_true,probe_corr_fd_true,best_eval_acc,last_eval_acc,best_eval_loss,last_eval_loss
fp32,1e-09,,,0.2962529274004684,0.27400468384074944,1.5518829822540283,1.5917367935180664
fp16,1e-09,,,0.24824355971896955,0.24824355971896955,1.7724609375,1.7724609375
fp32,1e-08,,,0.45081967213114754,0.45081967213114754,1.309429407119751,1.309429407119751
fp16,1e-08,,,,,,
fp32,1e-07,,,0.4812646370023419,0.477751756440281,1.2079410552978516,1.2079410552978516
fp16,1e-07,,,,,,
fp32,3e-07,,,0.48009367681498827,0.48009367681498827,1.2125359773635864,1.2125359773635864
fp16,3e-07,,,0.21428571428571427,0.20140515222482436,1.6201171875,1.822265625
fp32,1e-06,,,0.48243559718969553,0.48243559718969553,1.21710205078125,1.21710205078125
fp16,1e-06,,,0.30210772833723654,0.26229508196721313,1.552734375,1.5947265625
fp32,3e-06,,,0.48009367681498827,0.48009367681498827,1.2141931056976318,1.2141931056976318
fp16,3e-06,,,0.4566744730679157,0.4566744730679157,1.3701171875,1.3701171875
