precision_mode,h,best_eval_loss,last_eval_loss
fp32,1e-09,1.5518829822540283,1.5917367935180664
fp16,1e-09,1.7724609375,1.7724609375
fp32,1e-08,1.309429407119751,1.309429407119751
fp16,1e-08,,
fp32,1e-07,1.2079410552978516,1.2079410552978516
fp16,1e-07,,
fp32,3e-07,1.2125359773635864,1.2125359773635864
fp16,3e-07,1.6201171875,1.822265625
fp32,1e-06,1.21710205078125,1.21710205078125
fp16,1e-06,1.552734375,1.5947265625
fp32,3e-06,1.2141931056976318,1.2141931056976318
fp16,3e-06,1.3701171875,1.3701171875
