precision_mode,h,best_eval_acc,last_eval_acc,best_eval_step
fp32,1e-09,0.2962529274004684,0.27400468384074944,4990
fp16,1e-09,0.24824355971896955,0.24824355971896955,990
fp32,1e-08,0.45081967213114754,0.45081967213114754,19990
fp16,1e-08,,,
fp32,1e-07,0.4812646370023419,0.477751756440281,17990
fp16,1e-07,,,
fp32,3e-07,0.48009367681498827,0.48009367681498827,19990
fp16,3e-07,0.21428571428571427,0.20140515222482436,990
fp32,1e-06,0.48243559718969553,0.48243559718969553,19990
fp16,1e-06,0.30210772833723654,0.26229508196721313,5990
fp32,3e-06,0.48009367681498827,0.48009367681498827,19990
fp16,3e-06,0.4566744730679157,0.4566744730679157,19990
