precision_mode,h,best_eval_acc,last_eval_acc,best_eval_step
fp32,1e-05,0.48243559718969553,0.477751756440281,16990
fp16,1e-05,0.4637002341920375,0.4637002341920375,18990
fp32,0.002,0.4812646370023419,0.48009367681498827,18990
fp16,0.002,0.4379391100702576,0.4379391100702576,19990
fp32,3e-05,0.48711943793911006,0.48009367681498827,16990
fp16,3e-05,0.4566744730679157,0.4566744730679157,19990
fp32,0.003,0.48009367681498827,0.48009367681498827,19990
fp16,0.003,0.40866510538641687,0.40866510538641687,19990
fp32,0.0001,0.48360655737704916,0.477751756440281,16990
fp16,0.0001,0.4637002341920375,0.4637002341920375,19990
fp32,0.004,0.4613583138173302,0.4613583138173302,19990
fp16,0.004,0.32669789227166274,0.32669789227166274,13990
fp32,0.0003,0.48009367681498827,0.4718969555035129,17990
fp16,0.0003,0.43559718969555034,0.43559718969555034,19990
fp32,0.005,0.38875878220140514,0.38875878220140514,19990
fp16,0.005,0.3372365339578454,0.3372365339578454,19990
fp32,0.001,0.477751756440281,0.46955503512880564,15990
fp16,0.001,0.44730679156908665,0.44730679156908665,19990
fp32,0.0015,0.477751756440281,0.477751756440281,19990
fp16,0.0015,0.45784543325526933,0.45784543325526933,19990
fp32,0.01,0.2775175644028103,0.275175644028103,990
fp16,0.01,0.26229508196721313,0.2611241217798595,18990
fp32,1e-09,0.2962529274004684,0.27400468384074944,4990
fp16,1e-09,0.24824355971896955,0.24824355971896955,990
fp32,1e-08,0.45081967213114754,0.45081967213114754,19990
fp16,1e-08,,,
fp32,1e-07,0.4812646370023419,0.477751756440281,17990
fp16,1e-07,,,
fp32,3e-07,0.48009367681498827,0.48009367681498827,19990
fp16,3e-07,0.21428571428571427,0.20140515222482436,990
fp32,1e-06,0.48243559718969553,0.48243559718969553,19990
fp16,1e-06,0.30210772833723654,0.26229508196721313,5990
fp32,3e-06,0.48009367681498827,0.48009367681498827,19990
fp16,3e-06,0.4566744730679157,0.4566744730679157,19990
