precision,checkpoint_id,fit_method,A,B,C,h_ref,rho_min_dep,tau,h_low,h_high,default_h,default_in_window,rho_dep_at_default,fit_quality_r2_or_log_error,fit_stability_flag,notes
fp32,task_start_seed16_deterministic,dep_log_soft_l1,7.646493709026629e-17,9938.603472987537,0.0,9.365570620627088e-06,1.7435076017351848e-06,0.1,2.765229249572145e-08,0.0031720302344493134,0.001,True,0.009938603549452474,0.9792953392175414,stable,
fp32,task_start_seed16_deterministic,dep_log_soft_l1,7.646493709026629e-17,9938.603472987537,0.0,9.365570620627088e-06,1.7435076017351848e-06,0.5,1.2366537607822289e-08,0.007092875231171993,0.001,True,0.009938603549452474,0.9792953392175414,stable,
fp32,task_start_seed16_deterministic,dep_log_soft_l1,7.646493709026629e-17,9938.603472987537,0.0,9.365570620627088e-06,1.7435076017351848e-06,1.0,8.744382759860472e-09,0.010030840348155068,0.001,True,0.009938603549452474,0.9792953392175414,stable,
fp32,task_start_seed16_deterministic,dep_log_soft_l1,7.646493709026629e-17,9938.603472987537,0.0,9.365570620627088e-06,1.7435076017351848e-06,2.0,6.183663989339849e-09,0.014185750462364198,0.001,True,0.009938603549452474,0.9792953392175414,stable,
fp32,task_start_seed16_deterministic,log_soft_l1,7.479750265663614e-17,9724.352902086359,4.222569639964708e-07,9.364974445801998e-06,1.7057049123783068e-06,0.1,2.7349127425949916e-08,0.0032067835297292712,0.001,True,0.009724352976883862,0.9794692461249767,stable,
fp32,task_start_seed16_deterministic,log_soft_l1,7.479750265663614e-17,9724.352902086359,4.222569639964708e-07,9.364974445801998e-06,1.7057049123783068e-06,0.5,1.2230948282355015e-08,0.007170585961851716,0.001,True,0.009724352976883862,0.9794692461249767,stable,
fp32,task_start_seed16_deterministic,log_soft_l1,7.479750265663614e-17,9724.352902086359,4.222569639964708e-07,9.364974445801998e-06,1.7057049123783068e-06,1.0,8.648586470795187e-09,0.010140739917423884,0.001,True,0.009724352976883862,0.9794692461249767,stable,
fp32,task_start_seed16_deterministic,log_soft_l1,7.479750265663614e-17,9724.352902086359,4.222569639964708e-07,9.364974445801998e-06,1.7057049123783068e-06,2.0,6.1157074983271995e-09,0.01434117192372299,0.001,True,0.009724352976883862,0.9794692461249767,stable,
fp32,task_start_seed16_deterministic,linear_nnls,5.179217697788394e-17,11017.677333888916,0.004812650501622523,,,0.1,,,0.001,,,0.5165774549353014,poor_fit,"fit unstable: poor_fit; insufficient fit quality: log_R2=0.5166, log_RMSE=3.085"
fp32,task_start_seed16_deterministic,linear_nnls,5.179217697788394e-17,11017.677333888916,0.004812650501622523,,,0.5,,,0.001,,,0.5165774549353014,poor_fit,"fit unstable: poor_fit; insufficient fit quality: log_R2=0.5166, log_RMSE=3.085"
fp32,task_start_seed16_deterministic,linear_nnls,5.179217697788394e-17,11017.677333888916,0.004812650501622523,,,1.0,,,0.001,,,0.5165774549353014,poor_fit,"fit unstable: poor_fit; insufficient fit quality: log_R2=0.5166, log_RMSE=3.085"
fp32,task_start_seed16_deterministic,linear_nnls,5.179217697788394e-17,11017.677333888916,0.004812650501622523,,,2.0,,,0.001,,,0.5165774549353014,poor_fit,"fit unstable: poor_fit; insufficient fit quality: log_R2=0.5166, log_RMSE=3.085"
fp16,task_start_seed16_deterministic,dep_log_soft_l1,3.5484455729321685e-11,7835.639680662244,0.0,,,0.1,,,0.001,,,-0.26144450218565374,poor_fit,"fit unstable: poor_fit; insufficient fit quality: log_R2=-0.2614, log_RMSE=2.177"
fp16,task_start_seed16_deterministic,dep_log_soft_l1,3.5484455729321685e-11,7835.639680662244,0.0,,,0.5,,,0.001,,,-0.26144450218565374,poor_fit,"fit unstable: poor_fit; insufficient fit quality: log_R2=-0.2614, log_RMSE=2.177"
fp16,task_start_seed16_deterministic,dep_log_soft_l1,3.5484455729321685e-11,7835.639680662244,0.0,,,1.0,,,0.001,,,-0.26144450218565374,poor_fit,"fit unstable: poor_fit; insufficient fit quality: log_R2=-0.2614, log_RMSE=2.177"
fp16,task_start_seed16_deterministic,dep_log_soft_l1,3.5484455729321685e-11,7835.639680662244,0.0,,,2.0,,,0.001,,,-0.26144450218565374,poor_fit,"fit unstable: poor_fit; insufficient fit quality: log_R2=-0.2614, log_RMSE=2.177"
fp16,task_start_seed16_deterministic,log_soft_l1,1.5792728671958628e-12,4686.515458455189,0.01569849219555399,,,0.1,,,0.001,,,0.3353823548368985,poor_fit,"fit unstable: poor_fit; insufficient fit quality: log_R2=0.3354, log_RMSE=1.58"
fp16,task_start_seed16_deterministic,log_soft_l1,1.5792728671958628e-12,4686.515458455189,0.01569849219555399,,,0.5,,,0.001,,,0.3353823548368985,poor_fit,"fit unstable: poor_fit; insufficient fit quality: log_R2=0.3354, log_RMSE=1.58"
fp16,task_start_seed16_deterministic,log_soft_l1,1.5792728671958628e-12,4686.515458455189,0.01569849219555399,,,1.0,,,0.001,,,0.3353823548368985,poor_fit,"fit unstable: poor_fit; insufficient fit quality: log_R2=0.3354, log_RMSE=1.58"
fp16,task_start_seed16_deterministic,log_soft_l1,1.5792728671958628e-12,4686.515458455189,0.01569849219555399,,,2.0,,,0.001,,,0.3353823548368985,poor_fit,"fit unstable: poor_fit; insufficient fit quality: log_R2=0.3354, log_RMSE=1.58"
fp16,task_start_seed16_deterministic,linear_nnls,6.857098668986479e-14,5469.598318474277,0.30228964022049026,,,0.1,,,0.001,,,-0.2108784501396337,poor_fit,"fit unstable: poor_fit; insufficient fit quality: log_R2=-0.2109, log_RMSE=2.133"
fp16,task_start_seed16_deterministic,linear_nnls,6.857098668986479e-14,5469.598318474277,0.30228964022049026,,,0.5,,,0.001,,,-0.2108784501396337,poor_fit,"fit unstable: poor_fit; insufficient fit quality: log_R2=-0.2109, log_RMSE=2.133"
fp16,task_start_seed16_deterministic,linear_nnls,6.857098668986479e-14,5469.598318474277,0.30228964022049026,,,1.0,,,0.001,,,-0.2108784501396337,poor_fit,"fit unstable: poor_fit; insufficient fit quality: log_R2=-0.2109, log_RMSE=2.133"
fp16,task_start_seed16_deterministic,linear_nnls,6.857098668986479e-14,5469.598318474277,0.30228964022049026,,,2.0,,,0.001,,,-0.2108784501396337,poor_fit,"fit unstable: poor_fit; insufficient fit quality: log_R2=-0.2109, log_RMSE=2.133"
int8,task_start_seed16_deterministic,dep_log_soft_l1,1.4801532712577964e-08,4381.627049720918,0.0,0.0013557131858420257,0.016106495101139866,0.1,0.0003859895524657439,0.004761678730745057,0.001,True,0.019183159762298882,0.9233128169899631,stable,
int8,task_start_seed16_deterministic,dep_log_soft_l1,1.4801532712577964e-08,4381.627049720918,0.0,0.0013557131858420257,0.016106495101139866,0.5,0.0001720777411965454,0.010680976106994972,0.001,True,0.019183159762298882,0.9233128169899631,stable,
int8,task_start_seed16_deterministic,dep_log_soft_l1,1.4801532712577964e-08,4381.627049720918,0.0,0.0013557131858420257,0.016106495101139866,1.0,0.00012166549546810816,0.015106651521817732,0.001,True,0.019183159762298882,0.9233128169899631,stable,
int8,task_start_seed16_deterministic,dep_log_soft_l1,1.4801532712577964e-08,4381.627049720918,0.0,0.0013557131858420257,0.016106495101139866,2.0,8.602840434402575e-05,0.021364551118675464,0.001,True,0.019183159762298882,0.9233128169899631,stable,
int8,task_start_seed16_deterministic,log_soft_l1,9.445032237676912e-09,2.242419506529437e-62,0.03899225436206435,,,0.1,,,0.001,,,0.7740841395784636,poor_fit,"fit unstable: poor_fit; insufficient fit quality: log_R2=0.7741, log_RMSE=1.214"
int8,task_start_seed16_deterministic,log_soft_l1,9.445032237676912e-09,2.242419506529437e-62,0.03899225436206435,,,0.5,,,0.001,,,0.7740841395784636,poor_fit,"fit unstable: poor_fit; insufficient fit quality: log_R2=0.7741, log_RMSE=1.214"
int8,task_start_seed16_deterministic,log_soft_l1,9.445032237676912e-09,2.242419506529437e-62,0.03899225436206435,,,1.0,,,0.001,,,0.7740841395784636,poor_fit,"fit unstable: poor_fit; insufficient fit quality: log_R2=0.7741, log_RMSE=1.214"
int8,task_start_seed16_deterministic,log_soft_l1,9.445032237676912e-09,2.242419506529437e-62,0.03899225436206435,,,2.0,,,0.001,,,0.7740841395784636,poor_fit,"fit unstable: poor_fit; insufficient fit quality: log_R2=0.7741, log_RMSE=1.214"
int8,task_start_seed16_deterministic,linear_nnls,2.9652589993556336e-09,0.0,0.8781973074939167,,,0.1,,,0.001,,,0.084058141216651,missing_tail,A or B nonpositive
int8,task_start_seed16_deterministic,linear_nnls,2.9652589993556336e-09,0.0,0.8781973074939167,,,0.5,,,0.001,,,0.084058141216651,missing_tail,A or B nonpositive
