precision,checkpoint_id,h,n_directions,G,G2,d,V_dir_formula,V_dir_sample,scalar_nmse,directional_corr,sign_agreement,V_h_raw,rho_raw,rho_raw_std_or_bootstrap_ci,d_h_mean,d_h_std,d_star_mean,d_star_std,probe_active_frac,probe_alignment,probe_norm_ratio,saturation_frac
fp32,task_start_seed16_deterministic,1e-09,64,14.009288773901968,196.2601719505757,406883417,79855009580.51797,66924897993.82798,51.79487056382956,0.24414480910377845,0.484375,3466423828009.348,51.79572822552576,22148.788723365597,21.420419216156006,92.80646386265988,0.6736317579638347,12.891934722168866,1.0,1.0,1.0,0.0
fp32,task_start_seed16_deterministic,1e-08,64,14.009288773901968,196.2601719505757,406883417,79855009580.51797,66924897993.82798,0.6488729554024274,0.7814810980597205,0.765625,43426492729.24324,0.6488839584521767,13.380660717984163,-1.1175870895385742,16.41383930231959,0.6736317579638347,12.891934722168866,1.0,1.0,1.0,0.0
fp32,task_start_seed16_deterministic,1e-07,64,14.009288773901968,196.2601719505757,406883417,79855009580.51797,66924897993.82798,0.009601220182765418,0.9952644305947039,0.984375,642570245.9041588,0.009601363097533875,1.1783733023139042,0.7543712854385376,12.983037328066208,0.6736317579638347,12.891934722168866,1.0,1.0,1.0,0.0
fp32,task_start_seed16_deterministic,3e-07,64,14.009288773901968,196.2601719505757,406883417,79855009580.51797,66924897993.82798,0.0010591447561624574,0.9994715753265706,1.0,70884330.50205716,0.0010591623241412238,0.05259619104335628,0.7015963395436605,12.896155305720333,0.6736317579638347,12.891934722168866,1.0,1.0,1.0,0.0
fp32,task_start_seed16_deterministic,1e-06,64,14.009288773901968,196.2601719505757,406883417,79855009580.51797,66924897993.82798,8.100503593863126e-05,0.9999608911179871,1.0,5421270.163359164,8.10052809323539e-05,0.07955084837902576,0.651925802230835,12.88671681154569,0.6736317579638347,12.891934722168866,1.0,1.0,1.0,0.0
fp32,task_start_seed16_deterministic,3e-06,64,14.009288773901968,196.2601719505757,406883417,79855009580.51797,66924897993.82798,8.761062210541827e-06,0.9999956435069474,1.0,586338.3534003407,8.761139291604368e-06,0.0007321590845036994,0.6727253397305806,12.895224834141082,0.6736317579638347,12.891934722168866,1.0,1.0,1.0,0.0
fp32,task_start_seed16_deterministic,1e-05,64,14.009288773901968,196.2601719505757,406883417,79855009580.51797,66924897993.82798,1.771951349745671e-06,0.9999991128211227,1.0,118587.70826681002,1.7719520211707539e-06,0.0003871699544599124,0.6731599569320676,12.892360195458751,0.6736317579638347,12.891934722168866,1.0,1.0,1.0,0.0
fp32,task_start_seed16_deterministic,3e-05,64,14.009288773901968,196.2601719505757,406883417,79855009580.51797,66924897993.82798,2.5987572238252863e-05,0.999987781683326,1.0,1739219.1508882209,2.598762497999798e-05,0.010908380158995706,0.6574206054210663,12.890103637074459,0.6736317579638347,12.891934722168866,1.0,1.0,1.0,0.0
fp32,task_start_seed16_deterministic,0.0001,64,14.009288773901968,196.2601719505757,406883417,79855009580.51797,66924897993.82798,0.0005059845908844625,0.9997655576816947,1.0,33862752.082862526,0.0005059813776030776,0.20281783478115054,0.5959067493677139,12.872438014522727,0.6736317579638347,12.891934722168866,1.0,1.0,1.0,0.0
fp32,task_start_seed16_deterministic,0.0003,64,14.009288773901968,196.2601719505757,406883417,79855009580.51797,66924897993.82798,0.001218731286911047,0.999408690454979,1.0,81564422.20995751,0.0012187455589021538,0.458950618104605,0.5935256679852804,12.87416260689345,0.6736317579638347,12.891934722168866,1.0,1.0,1.0,0.0
fp32,task_start_seed16_deterministic,0.001,64,14.009288773901968,196.2601719505757,406883417,79855009580.51797,66924897993.82798,0.0028423090481333613,0.9986878437677091,1.0,190223378.18707034,0.0028423409506670196,0.11647508344366678,0.7317895069718361,12.689568047521801,0.6736317579638347,12.891934722168866,1.0,1.0,1.0,0.0
