precision_mode,quantization_algorithm,group_size,block_size,direction_type,sparse_rate,sparse_mode,sparse_rescale,h_raw,h_active,num_probe_rows,probe_active_frac_mean,probe_alignment_mean,probe_norm_ratio_mean,fd_zero_ratio,corr_fd_true,nMSE_fd_true,sign_agreement
int8,groupwise_int8_block256,256,256,sparse,0.003,bernoulli,inv_sqrt_p,4.10792e-05,0.0007500001494755406,50,0.00531797867530612,0.9079164208611455,1.1013981388683944,0.0,0.9264192853555194,0.16737116942554406,0.82
int8,groupwise_int8_block256,256,256,sparse,0.003,bernoulli,inv_sqrt_p,8.21584e-05,0.0015000002989510812,50,0.005857397026630572,0.9709501150450781,1.0299446038408693,0.0,0.9549738670181271,0.08079528021144705,0.9
int8,groupwise_int8_block256,256,256,sparse,0.003,bernoulli,inv_sqrt_p,0.000164317,0.0030000042493858793,50,0.00644720644925622,0.9915755323740467,1.008494601465709,0.0,0.9889081081093181,0.021175936433723085,0.96
int8,groupwise_int8_block256,256,256,sparse,0.003,bernoulli,inv_sqrt_p,0.000328634,0.0060000084987717585,50,0.007581149153736156,0.9975187893187369,1.0024860082986127,0.0,0.9943977997840506,0.011299733390281364,0.98
int8,groupwise_int8_block256,256,256,sparse,0.003,bernoulli,inv_sqrt_p,0.000657267,0.011999998740124933,50,0.0111775603468822,0.9991286971521655,1.0008675361071506,0.0,0.9974172867049537,0.004877494071442514,0.98
int8,groupwise_int8_block256,256,256,sparse,0.003,bernoulli,inv_sqrt_p,0.00131453,0.02399992445057553,50,0.028051945238305273,0.999559846689477,1.0004404410214043,0.0,0.988176969321585,0.02108433478257693,1.0
int8,groupwise_int8_block256,256,256,sparse,0.01,bernoulli,inv_sqrt_p,7.5e-05,0.0007499999999999999,50,0.01765364568434986,0.9089181935736492,1.1001690193617863,0.0,0.9100186578456588,0.20903847215527105,0.9
int8,groupwise_int8_block256,256,256,sparse,0.01,bernoulli,inv_sqrt_p,0.00015,0.0014999999999999998,50,0.01942958636115963,0.9714722818055037,1.0293639291541308,0.0,0.9561979138070166,0.09007809092897623,0.86
int8,groupwise_int8_block256,256,256,sparse,0.01,bernoulli,inv_sqrt_p,0.0003,0.0029999999999999996,50,0.021372701844585056,0.9917791766346729,1.00827689616027,0.0,0.985136525854088,0.032321517519574954,0.92
int8,groupwise_int8_block256,256,256,sparse,0.01,bernoulli,inv_sqrt_p,0.0006,0.005999999999999999,50,0.025080143694923236,0.9975950171505661,1.002414106755377,0.0,0.9929355239623544,0.015078112869051464,0.92
int8,groupwise_int8_block256,256,256,sparse,0.01,bernoulli,inv_sqrt_p,0.0012,0.011999999999999999,50,0.0366432450437547,0.9991670523765388,1.000833477975038,0.0,0.9939410776326584,0.012282053827084078,1.0
int8,groupwise_int8_block256,256,256,sparse,0.01,bernoulli,inv_sqrt_p,0.0024,0.023999999999999997,50,0.08770887435183738,0.9995869934844763,1.0004125862659503,0.0,0.9584203459408813,0.08255746399754417,0.88
int8,groupwise_int8_block256,256,256,sparse,0.03,bernoulli,inv_sqrt_p,0.000129904,0.0007500010936880914,50,0.05237857194535146,0.9109770048600534,1.0977199220565599,0.0,0.927636727613589,0.1795806495063559,0.88
int8,groupwise_int8_block256,256,256,sparse,0.03,bernoulli,inv_sqrt_p,0.000259808,0.0015000021873761828,50,0.05757019337505342,0.9724493409325887,1.0283183583287028,0.0,0.9833228004037468,0.03930026126183614,0.96
int8,groupwise_int8_block256,256,256,sparse,0.03,bernoulli,inv_sqrt_p,0.000519615,0.0029999986012496736,50,0.06316169503953861,0.9921458280931286,1.0079125589516076,0.0,0.9883852221265497,0.022804311877331018,0.92
int8,groupwise_int8_block256,256,256,sparse,0.03,bernoulli,inv_sqrt_p,0.00103923,0.005999997202499347,50,0.07357477923699521,0.997727641923787,1.0022752937355779,0.0,0.994960693527399,0.010061263583772745,0.98
int8,groupwise_int8_block256,256,256,sparse,0.03,bernoulli,inv_sqrt_p,0.00207846,0.011999994404998694,50,0.10476815855086186,0.999231930408308,1.0007679613836697,0.0,0.9896755026196954,0.021825127736766883,0.96
int8,groupwise_int8_block256,256,256,sparse,0.03,bernoulli,inv_sqrt_p,0.00415692,0.02399998880999739,50,0.22381344547085769,0.9996373035238024,1.000362719459448,0.0,0.903906526411653,0.1847274083749126,0.9
