task,precision,batch_id,h,n_pairs,n_batches,true_directional_nmse,rho_emp,V_dir,V_h_dep,V_total,V_cross,directional_corr,sign_agreement,dh_std,dh_zero_fraction,source_path,nmse_ci_low,nmse_ci_high,rho_ci_low,rho_ci_high,active_fraction,visible_cosine,visible_norm_ratio,p_clip
sst-2,fp32,pooled,1e-07,256,4,0.0355469020338303,0.035547033036763674,11641844509031.992,413833031371.426,12247866788522.959,192189248119.54153,0.9829133713769547,0.9453125,67.80454169745438,0.0,/scratch/jy03364/MeZO_/experiments/large_model_extension/opt27b_radius_plateau_20260921/probes/sst-2_multprecision_probe/raw_probe_metrics.jsonl,0.025631784260089482,0.0512896364355916,0.02563195359489101,0.05128948297167008,0.9948211305353033,0.9999861621295022,1.000013987495514,
sst-2,fp32,pooled,3e-07,256,4,0.00411687066249074,0.004116886653336187,11641844509031.992,47928154279.44899,11791046510308.287,101273846996.84494,0.9979683549754652,0.9765625,66.50552567457507,0.0,/scratch/jy03364/MeZO_/experiments/large_model_extension/opt27b_radius_plateau_20260921/probes/sst-2_multprecision_probe/raw_probe_metrics.jsonl,0.0029311150073672338,0.006101739822830048,0.002931126121993896,0.006101775587488723,0.9982652544677841,0.9999984568956947,1.0000007944716591,
sst-2,fp32,pooled,1e-06,256,4,0.0005103945423197134,0.0005103963184058122,11641844509031.992,5941954576.862849,11669377326329.893,21590862721.038662,0.9997445361586346,0.984375,66.17490331106694,0.0,/scratch/jy03364/MeZO_/experiments/large_model_extension/opt27b_radius_plateau_20260921/probes/sst-2_multprecision_probe/raw_probe_metrics.jsonl,0.0003905748864259717,0.0007180676585302276,0.00039057785810994895,0.0007180682573406703,0.9994646646858577,0.9999998612009973,1.0000000533905014,
sst-2,fp32,pooled,3e-06,256,4,0.000573654555482287,0.0005736545794852093,11641844509031.992,6678397416.260941,11581435145862.174,-67087760586.07972,0.9997149858851303,0.9921875,65.92993481089452,0.0,/scratch/jy03364/MeZO_/experiments/large_model_extension/opt27b_radius_plateau_20260921/probes/sst-2_multprecision_probe/raw_probe_metrics.jsonl,0.00043881255787094205,0.0007687970921645644,0.00043881420712231435,0.0007687960913450826,0.9998167577799469,0.999999984560516,1.0000001504092328,
sst-2,fp32,pooled,1e-05,256,4,0.001565049762365042,0.0015650497241589565,11641844509031.992,18220065537.56198,11537642253674.744,-122422320894.81003,0.9992212903314551,0.9921875,65.80680580832498,0.0,/scratch/jy03364/MeZO_/experiments/large_model_extension/opt27b_radius_plateau_20260921/probes/sst-2_multprecision_probe/raw_probe_metrics.jsonl,0.001137401144251278,0.002187367786844666,0.001137403860508122,0.0021873650839865097,0.9999508458450395,0.9999999986141969,0.9999999367288629,
sst-2,fp32,pooled,3e-05,256,4,0.0042486800420528945,0.004248690565370445,11641844509031.992,49462594929.03395,11475067845577.086,-216239258383.9397,0.9978757732829746,0.984375,65.62045851181652,0.0,/scratch/jy03364/MeZO_/experiments/large_model_extension/opt27b_radius_plateau_20260921/probes/sst-2_multprecision_probe/raw_probe_metrics.jsonl,0.002982973452006912,0.0060123718139489316,0.002982981058498239,0.006012405321987793,0.9999813866874481,0.9999999998462368,0.9999999673734306,
sst-2,fp32,pooled,0.0001,256,4,0.013995478879914189,0.013995483905490567,11641844509031.992,162933247456.38098,11230413947597.617,-574363808890.7546,0.9930162797363645,0.96484375,64.93951144018149,0.0,/scratch/jy03364/MeZO_/experiments/large_model_extension/opt27b_radius_plateau_20260921/probes/sst-2_multprecision_probe/raw_probe_metrics.jsonl,0.009972804949671567,0.019590344631849988,0.009972796166722163,0.019590235110756724,0.9999953049988596,0.9999999999862299,0.9999999772603074,
sst-2,fp32,pooled,0.0003,256,4,0.04815968715436752,0.048159724886114905,11641844509031.992,560668028721.9082,10912911113627.168,-1289601424126.731,0.9756314468915112,0.91015625,64.04622644514161,0.0,/scratch/jy03364/MeZO_/experiments/large_model_extension/opt27b_radius_plateau_20260921/probes/sst-2_multprecision_probe/raw_probe_metrics.jsonl,0.035497512311640694,0.06700489641932271,0.03549754427791124,0.06700475551194938,0.9999995398055994,0.9999999999984861,1.0000000476820956,
sst-2,fp32,pooled,0.001,256,4,0.1449097853793872,0.14491016163667625,11641844509031.992,1687021569552.878,9976721490624.402,-3352144587960.4683,0.9243814559171399,0.8671875,61.210935811276066,0.0,/scratch/jy03364/MeZO_/experiments/large_model_extension/opt27b_radius_plateau_20260921/probes/sst-2_multprecision_probe/raw_probe_metrics.jsonl,0.10961086705800721,0.20264130565681587,0.10961128390647,0.20264100959363607,0.999999695183672,0.9999999999998708,1.0000000478453037,
sst-2,fp32,pooled,0.0015,256,4,0.2349132350365837,0.2349140059935001,11641844509031.992,2734832330770.1377,9282235745945.39,-5094441093856.74,0.8743260985670719,0.859375,59.043827798118016,0.0,/scratch/jy03364/MeZO_/experiments/large_model_extension/opt27b_radius_plateau_20260921/probes/sst-2_multprecision_probe/raw_probe_metrics.jsonl,0.17453104224010596,0.3237427717080714,0.17453130569392392,0.32374324554887357,0.9999998468847149,0.9999999999999447,1.0000000084368665,
