precision,eps,eps_float,seed,train_loss_final,train_loss_last100_mean,train_max_global_step,train_log_file,dev_loss,dev_acc,test_loss,test_acc,probe_rows,probe_mae_mean,probe_rmse_mean,probe_sign_acc_mean,probe_corr_mean
fp16,1e-8,1e-08,seed13,nan,1.6226654052734375,20000,/Users/jichaoyu/Documents/GitHub/MeZO/medium_models/sh_file/sst5/bs32/h_precision_sweep/jobs/sst5_bs32_h_precision_sweep_43905592_13.out,nan,0.2,nan,0.133,0,nan,nan,nan,nan
fp16,3e-8,3e-08,seed13,nan,1.8812637329101562,20000,/Users/jichaoyu/Documents/GitHub/MeZO/medium_models/sh_file/sst5/bs32/h_precision_sweep/jobs/sst5_bs32_h_precision_sweep_43905592_14.out,nan,0.2,nan,0.133,0,nan,nan,nan,nan
fp16,1e-7,1e-07,seed13,nan,28.645861890580917,20000,/Users/jichaoyu/Documents/GitHub/MeZO/medium_models/sh_file/sst5/bs32/h_precision_sweep/jobs/sst5_bs32_h_precision_sweep_43905592_15.out,39.40272903442383,0.2,36.026695251464844,0.276,1,43934.58242893219,54657.41043465531,0.375,-0.04466937752396632
fp16,3e-7,3e-07,seed13,nan,35.35343546882272,20000,/Users/jichaoyu/Documents/GitHub/MeZO/medium_models/sh_file/sst5/bs32/h_precision_sweep/jobs/sst5_bs32_h_precision_sweep_43905592_16.out,1.941027045249939,0.225,1.8722010850906372,0.236,15,6932.982743602354,8638.173421370915,0.5083333333333333,0.011222160519626009
fp16,1e-6,1e-06,seed13,24.9326171875,15.408705511093139,20000,/Users/jichaoyu/Documents/GitHub/MeZO/medium_models/sh_file/sst5/bs32/h_precision_sweep/jobs/sst5_bs32_h_precision_sweep_43905592_17.out,1.6929889917373657,0.3,1.7155849933624268,0.164,100,3031.558737373352,3910.2072252005537,0.544375,0.1189396234403413
fp16,3e-6,3e-06,seed13,1.3392333984375,1.6451065063476562,20000,/Users/jichaoyu/Documents/GitHub/MeZO/medium_models/sh_file/sst5/bs32/h_precision_sweep/jobs/sst5_bs32_h_precision_sweep_43905592_18.out,1.555985927581787,0.3375,1.6149404048919678,0.217,100,67.45804408598691,83.50968065188255,0.73875,0.6679034403218173
fp16,1e-5,1e-05,seed13,0.63433837890625,0.9631813049316407,20000,/Users/jichaoyu/Documents/GitHub/MeZO/medium_models/sh_file/sst5/bs32/h_precision_sweep/jobs/sst5_bs32_h_precision_sweep_43905592_19.out,1.3930479288101196,0.475,1.4521723985671997,0.35,100,11.824791001006961,14.700629146456267,0.880625,0.9447950216330386
fp16,3e-5,3e-05,seed13,0.5962066650390625,0.8983710479736328,20000,/Users/jichaoyu/Documents/GitHub/MeZO/medium_models/sh_file/sst5/bs32/h_precision_sweep/jobs/sst5_bs32_h_precision_sweep_43905592_20.out,1.4016326665878296,0.5125,1.4693076610565186,0.334,100,4.543417527899146,5.49272096218196,0.96125,0.9911170796862454
fp16,1e-4,0.0001,seed13,0.6450653076171875,0.9291282653808594,20000,/Users/jichaoyu/Documents/GitHub/MeZO/medium_models/sh_file/sst5/bs32/h_precision_sweep/jobs/sst5_bs32_h_precision_sweep_43905592_21.out,1.403756856918335,0.5125,1.4655503034591675,0.332,100,1.4430017440766096,1.8417654191689479,0.983125,0.9972657728589531
fp16,3e-4,0.0003,seed13,0.6607818603515625,0.9333388519287109,20000,/Users/jichaoyu/Documents/GitHub/MeZO/medium_models/sh_file/sst5/bs32/h_precision_sweep/jobs/sst5_bs32_h_precision_sweep_43905592_22.out,1.4049875736236572,0.5125,1.4696359634399414,0.325,100,0.7435704380879179,0.9576444719933456,0.995625,0.9990579498315284
