setting,precision,quantizer,direction_family,sparse_p,h_vis_min,h_loc_max,valid_window,default_h_valid,geometry_rows,locality_rows,valid_rows,policy,selected_h,selected_h_active,selection_status,alignment,norm_ratio,code_change_frac,richardson_relerr,corr_fd_true,nMSE_fd_true,score,failure_mode,notes,training_best_h,training_best_h_active,training_best_acc,factor_to_training_best,training_notes
historical_groupwise256_int8_probe,int8,groupwise_int8_block256_historical,dense,,0.0003,0.004,"[0.001, 0.004]",True,10,6,6,geometry_lower_bound,0.0003,0.0003,selected,0.7688788746387581,1.300603896466307,0.9942540035886128,0.686588509982769,0.8570012376791825,0.33120044831994405,0.686588509982769,too_large_locality,Estimator 1/2 lower-bound only; ignores locality.,0.0003,0.0003,0.3501170960187353,1.0,training oracle retrospective only
historical_groupwise256_int8_probe,int8,groupwise_int8_block256_historical,dense,,0.0003,0.004,"[0.001, 0.004]",True,10,6,6,richardson_upper_bound,0.004,0.004,selected,0.9978745004365177,1.0021301368625706,0.9994041580451184,0.2434461618616009,0.9440130978744669,0.1158748945280424,0.2434461618616009,ok,Estimator 3 upper-bound only; ignores quantization visibility.,0.0003,0.0003,0.3501170960187353,13.333333333333334,training oracle retrospective only
historical_groupwise256_int8_probe,int8,groupwise_int8_block256_historical,dense,,0.0003,0.004,"[0.001, 0.004]",True,10,6,6,smallest_valid,0.001,0.001,selected,0.9678022147207801,1.0332674106496176,0.9977289927942065,0.2275786626190201,0.9827797999348695,0.033538760318110816,0.2275786626190201,ok,,0.0003,0.0003,0.3501170960187353,3.3333333333333335,training oracle retrospective only
historical_groupwise256_int8_probe,int8,groupwise_int8_block256_historical,dense,,0.0003,0.004,"[0.001, 0.004]",True,10,6,6,log_midpoint_valid,0.002,0.002,selected,0.9916267628463679,1.0084438082566185,0.9988230904870866,0.16575110719089978,0.9893764702577807,0.02212406685155296,0.16575110719089978,ok,,0.0003,0.0003,0.3501170960187353,6.666666666666667,training oracle retrospective only
historical_groupwise256_int8_probe,int8,groupwise_int8_block256_historical,dense,,0.0003,0.004,"[0.001, 0.004]",True,10,6,6,score_min_valid,0.002,0.002,selected,0.9916267628463679,1.0084438082566185,0.9988230904870866,0.16575110719089978,0.9893764702577807,0.02212406685155296,0.16575110719089978,ok,,0.0003,0.0003,0.3501170960187353,6.666666666666667,training oracle retrospective only
historical_groupwise256_int8_probe,int8,groupwise_int8_block256_historical,dense,,0.0003,0.004,"[0.001, 0.004]",True,10,6,6,probe_best_corr_fd_true,0.0015,0.0015,retrospective_only,0.9852735947264206,1.0149449685842828,0.9984462273204158,0.19988173758358707,0.9903729237876536,0.02027371317704554,0.19988173758358707,ok,Calibration/evaluation only; not deployable.,0.0003,0.0003,0.3501170960187353,5.000000000000001,training oracle retrospective only
historical_groupwise256_int8_probe,int8,groupwise_int8_block256_historical,dense,,0.0003,0.004,"[0.001, 0.004]",True,10,6,6,probe_best_nMSE_fd_true,0.0015,0.0015,retrospective_only,0.9852735947264206,1.0149449685842828,0.9984462273204158,0.19988173758358707,0.9903729237876536,0.02027371317704554,0.19988173758358707,ok,Calibration/evaluation only; not deployable.,0.0003,0.0003,0.3501170960187353,5.000000000000001,training oracle retrospective only
historical_groupwise256_int8_probe,int8,groupwise_int8_block256_historical,sparse,0.003,0.011999998740124933,0.02399992445057553,"[0.012, 0.024]",False,2,5,2,geometry_lower_bound,0.000657267,0.011999998740124933,selected,0.9991286971521655,1.0008675361071504,0.011177560346882198,0.10570836802881328,0.9974172867049537,0.0048774940714424835,0.10570836802881328,ok,Estimator 1/2 lower-bound only; ignores locality.,0.000328633534503,0.006,0.3243559718969555,1.9999997900208222,training oracle retrospective only
historical_groupwise256_int8_probe,int8,groupwise_int8_block256_historical,sparse,0.003,0.011999998740124933,0.02399992445057553,"[0.012, 0.024]",False,2,5,2,richardson_upper_bound,0.00131453,0.02399992445057553,selected,0.999559846689477,1.0004404410214043,0.028051945238305273,0.1411484219101286,0.988176969321585,0.021084334782576798,0.1411484219101286,ok,Estimator 3 upper-bound only; ignores quantization visibility.,0.000328633534503,0.006,0.3243559718969555,3.999987408429255,training oracle retrospective only
historical_groupwise256_int8_probe,int8,groupwise_int8_block256_historical,sparse,0.003,0.011999998740124933,0.02399992445057553,"[0.012, 0.024]",False,2,5,2,smallest_valid,0.000657267,0.011999998740124933,selected,0.9991286971521655,1.0008675361071504,0.011177560346882198,0.10570836802881328,0.9974172867049537,0.0048774940714424835,0.10570836802881328,ok,,0.000328633534503,0.006,0.3243559718969555,1.9999997900208222,training oracle retrospective only
historical_groupwise256_int8_probe,int8,groupwise_int8_block256_historical,sparse,0.003,0.011999998740124933,0.02399992445057553,"[0.012, 0.024]",False,2,5,2,log_midpoint_valid,0.00131453,0.02399992445057553,selected,0.999559846689477,1.0004404410214043,0.028051945238305273,0.1411484219101286,0.988176969321585,0.021084334782576798,0.1411484219101286,ok,,0.000328633534503,0.006,0.3243559718969555,3.999987408429255,training oracle retrospective only
historical_groupwise256_int8_probe,int8,groupwise_int8_block256_historical,sparse,0.003,0.011999998740124933,0.02399992445057553,"[0.012, 0.024]",False,2,5,2,score_min_valid,0.000657267,0.011999998740124933,selected,0.9991286971521655,1.0008675361071504,0.011177560346882198,0.10570836802881328,0.9974172867049537,0.0048774940714424835,0.10570836802881328,ok,,0.000328633534503,0.006,0.3243559718969555,1.9999997900208222,training oracle retrospective only
historical_groupwise256_int8_probe,int8,groupwise_int8_block256_historical,sparse,0.003,0.011999998740124933,0.02399992445057553,"[0.012, 0.024]",False,2,5,2,probe_best_corr_fd_true,0.000657267,0.011999998740124933,retrospective_only,0.9991286971521655,1.0008675361071504,0.011177560346882198,0.10570836802881328,0.9974172867049537,0.0048774940714424835,0.10570836802881328,ok,Calibration/evaluation only; not deployable.,0.000328633534503,0.006,0.3243559718969555,1.9999997900208222,training oracle retrospective only
historical_groupwise256_int8_probe,int8,groupwise_int8_block256_historical,sparse,0.003,0.011999998740124933,0.02399992445057553,"[0.012, 0.024]",False,2,5,2,probe_best_nMSE_fd_true,0.000657267,0.011999998740124933,retrospective_only,0.9991286971521655,1.0008675361071504,0.011177560346882198,0.10570836802881328,0.9974172867049537,0.0048774940714424835,0.10570836802881328,ok,Calibration/evaluation only; not deployable.,0.000328633534503,0.006,0.3243559718969555,1.9999997900208222,training oracle retrospective only
