model,task,h_min_bound_proxy,bound_proxy_min,h_min_visibility_mse,visibility_mse_min,h_min_fd_nmse,fd_nmse_min,active_at_bound_h,align_at_bound_h,norm_ratio_at_bound_h,G,L,d
OPT-1.3B,mnli,0.0001,114793577.10961458,0.01,0.04325896581875188,0.001,0.9249629400481156,0.019570469791587032,0.16341127980336048,5.0818645695955835,70.66338710602987,0.0015243859175549399,1315758080
OPT-1.3B,rte,0.0003,19584782.502543475,0.01,0.04325896581875188,0.003,0.8970140518761225,0.060612252357208914,0.2891199841816621,2.9742170927535736,80.35290883820537,0.0006009046122668158,1315758080
OPT-1.3B,sst-2,0.0003,6684929.344032525,0.01,0.04325842409081204,0.003,0.9194875267748481,0.060611972145529255,0.28912587217415264,2.9742038631106533,88.56828458316666,0.00033408344862993354,1315758080
OPT-1.3B,sst-5,0.0003,18448326.157941356,0.01,0.04325842409081204,0.1,1.0398885580929578,0.060611972145529255,0.28912587217415264,2.9742038631106533,130.61730282386577,0.0005617312705735774,1315758080
OPT-1.3B,trec,0.0003,442153513.47196186,0.01,0.04325896581875188,0.003,0.6867451273294122,0.060612252357208914,0.2891199841816621,2.9742170927535736,513.735892365805,0.002801316374034775,1315758080
RoBERTa-large,mnli,0.002,37858.69557342344,0.01,0.10025219062831035,0.005,0.9797315734488607,0.2421265028118682,0.5883056652260601,1.5827329328145237,17.59413156631867,4.2078903117565655e-05,407986357
RoBERTa-large,rte,0.003,15008.971623854983,0.01,0.10025549042537615,0.005,0.708465125016981,0.3539056515082352,0.7140126938755895,1.335546342002364,23.203854674420274,2.3083018130487348e-05,407985332
RoBERTa-large,sst-2,0.003,18342.27884387323,0.01,0.10025084882476748,0.005,1.0023377498551693,0.3539333240180865,0.7140241497077924,1.3355514571440075,26.773678470484928,2.5277084722664352e-05,407985332
RoBERTa-large,sst-5,0.003,67481.66423710833,0.01,0.10025089589619762,,,0.3539319387995709,0.7140307335529359,1.3355694610441684,59.412067463076085,4.6754019099807734e-05,407988407
RoBERTa-large,trec,0.003,147664.17806242043,0.01,0.10025424035966843,0.005,0.3882230407672971,0.35390298997303843,0.7140110632310643,1.3355492524265284,114.74433630207825,6.340415255508683e-05,407989432
