d,effective_dim,active_p,Delta,qbits,function_family,group_size,scale_sigma,n_dirs,metric,window_type,h_min,h_max,window_width_log10,threshold,synthetic_source
1000,1000,1.0,1e-05,8,lin,128,0.0,64,A_true,kappa_1.05,0.0003,0.0003,0.0,1.05,main
1000,1000,1.0,1e-05,8,lin,128,0.0,64,A_true,kappa_1.1,0.0003,0.0003,0.0,1.1,main
1000,1000,1.0,1e-05,8,lin,128,0.0,64,A_true,kappa_1.25,0.0003,0.0003,0.0,1.25,main
1000,1000,1.0,1e-05,8,lin,128,0.0,64,A_true,kappa_1.5,0.0001,0.0003,0.4771212547196624,1.5,main
1000,1000,1.0,1e-05,8,lin,128,0.0,64,A_true,rho_0.01,3e-05,0.0003,1.0,0.01,main
1000,1000,1.0,1e-05,8,lin,128,0.0,64,A_true,rho_0.05,1e-05,0.0003,1.4771212547196624,0.05,main
1000,1000,1.0,1e-05,8,lin,128,0.0,64,A_true,rho_0.1,1e-05,0.0003,1.4771212547196624,0.1,main
1000,1000,1.0,1e-05,8,lin,128,0.0,64,A_true,rho_0.5,3e-06,0.001,2.5228787452803374,0.5,main
1000,1000,1.0,1e-05,8,lin,128,0.0,64,A_true,rho_1,3e-06,0.1,4.522878745280337,1.0,main
1000,1000,1.0,1e-05,8,nl,128,0.0,64,A_true,kappa_1.05,0.0001,0.0001,0.0,1.05,main
1000,1000,1.0,1e-05,8,nl,128,0.0,64,A_true,kappa_1.1,0.0001,0.0001,0.0,1.1,main
1000,1000,1.0,1e-05,8,nl,128,0.0,64,A_true,kappa_1.25,0.0001,0.0001,0.0,1.25,main
1000,1000,1.0,1e-05,8,nl,128,0.0,64,A_true,kappa_1.5,0.0001,0.0003,0.4771212547196624,1.5,main
1000,1000,1.0,1e-05,8,nl,128,0.0,64,A_true,rho_0.5,3e-05,0.0003,1.0,0.5,main
1000,1000,1.0,1e-05,8,nl,128,0.0,64,A_true,rho_1,3e-05,0.03,3.0,1.0,main
1000,1000,1.0,1e-05,8,lin,128,1.0,64,A_true,kappa_1.05,0.0001,0.0001,0.0,1.05,main
1000,1000,1.0,1e-05,8,lin,128,1.0,64,A_true,kappa_1.1,0.0001,0.0001,0.0,1.1,main
1000,1000,1.0,1e-05,8,lin,128,1.0,64,A_true,kappa_1.25,3e-05,0.0001,0.5228787452803376,1.25,main
1000,1000,1.0,1e-05,8,lin,128,1.0,64,A_true,kappa_1.5,3e-05,0.0001,0.5228787452803376,1.5,main
1000,1000,1.0,1e-05,8,lin,128,1.0,64,A_true,rho_0.01,3e-05,0.0001,0.5228787452803376,0.01,main
1000,1000,1.0,1e-05,8,lin,128,1.0,64,A_true,rho_0.05,3e-05,0.0001,0.5228787452803376,0.05,main
