d,effective_dim,active_p,Delta,qbits,function_family,group_size,scale_sigma,n_dirs,h,A_true,A_interval_uniform,A_interval_grad,p_active,jump_mean,jump_median,jump_zero_frac,jump_one_frac,jump_ge2_frac,V_norm,V_align,p_clip,p_clip_base,disp_rms,relative_disp,locality_proxy,M_loc_true,V_dir_theory,V_dir_empirical,rho_theory,rho_empirical,synthetic_source
1000,1000,1.0,1e-05,8,lin,128,0.0,64,1e-08,196.9189481567729,424.2536953125,202.02574787502928,0.001703125,0.001703125,,0.998296875,0.001703125,0.0,18.87106025218964,0.0552040594629943,0.0,0.0,2.8959689027611865e-06,0.0079950705558858,0.1758391615003347,4.822197722249263e-07,973448.2448120116,1012364.662109375,205.23218940043648,197.3428370509409,main
1000,1000,1.0,1e-05,8,lin,128,0.0,64,3e-08,50.87798126102134,164.481009765625,60.92987460085308,0.00596875,0.00596875,,0.99403125,0.00596875,0.0,12.753140926361084,0.0891616679728031,0.0,0.0,2.896112461092304e-06,0.0079954670471622,0.0195415583439171,1.3320494723815917e-07,973448.2448120116,1008181.1015625,52.50644353231348,50.69754354513951,main
1000,1000,1.0,1e-05,8,lin,128,0.0,64,1e-07,29.993066523204472,38.70480493164062,21.990348108644408,0.015859375,0.015859375,,0.984140625,0.015859375,0.0,6.335752367973328,0.1534776361659169,0.0,0.0,2.8974860596618298e-06,0.007999259023509,0.0017620793514652,1.943190289083564e-08,973448.2448120116,901622.1953125,28.33080768205904,30.58772860249782,main
1000,1000,1.0,1e-05,8,lin,128,0.0,64,3e-07,10.908147540493855,12.293745361328124,11.06890064879634,0.048046875,0.048046875,,0.951953125,0.048046875,0.0,3.674124300479889,0.2802261095494032,0.0,0.0,2.912715812627947e-06,0.0080413011528708,0.000199936221179,2.8514904864372412e-09,973448.2448120116,973760.82421875,10.794362756320057,10.790897741685486,main
1000,1000,1.0,1e-05,8,lin,128,0.0,64,1e-06,3.3414946585964542,3.0588342742919923,3.0754086648733705,0.1646875,0.1646875,,0.8353125,0.1646875,0.0,2.0256239473819733,0.5068833082914352,0.0,0.0,3.066355423537552e-06,0.0084653852366315,2.2103617766333628e-05,2.4603251397732043e-10,973448.2448120116,989951.4921875,3.3767725968613145,3.320479218916472,main
1000,1000,1.0,1e-05,8,lin,128,0.0,64,3e-06,0.380664325282646,0.4609215774536133,0.4594643385133649,0.457859375,0.481828125,,0.542140625,0.434015625,0.02384375,1.212477907538414,0.828655332326889,0.0,0.0,4.171540075230593e-06,0.011515306344086,8.419404707638023e-06,4.1316166666813216e-11,973448.2448120116,1110863.25390625,0.4324615327281296,0.3789655643955958,main
1000,1000,1.0,1e-05,8,lin,128,0.0,64,1e-05,0.0285541383453793,0.0420325984954834,0.0419078354178796,0.805484375,1.59846875,,0.194515625,0.34540625,0.460078125,1.020708255469799,0.979622721672058,0.0,0.0,1.0415296338560035e-05,0.02874713839617,2.947598920854944e-05,4.0750159160169145e-12,973448.2448120116,978673.578125,0.0291288747524227,0.0289733498838497,main
1000,1000,1.0,1e-05,8,lin,128,0.0,64,3e-05,0.0053803204691467,0.0046410672664642,0.0045636034399549,0.933390625,4.80190625,,0.066609375,0.13165625,0.801734375,1.002169631421566,0.9977000579237938,0.0,0.0,3.021972254606918e-05,0.0834139003183539,0.0002320076246178,6.34982548910326e-13,973448.2448120116,861308.685546875,0.0046710533787098,0.0052792091723087,main
1000,1000,1.0,1e-05,8,lin,128,0.0,64,0.0001,0.0004731111220658,0.0004194952640682,0.0004178439660839,0.980984375,15.9296875,,0.019015625,0.039890625,0.94109375,1.000163622200489,0.9997891820967196,0.0,0.0,9.98096407905244e-05,0.2754854476733034,0.0024856601376086,4.466064156354372e-14,973448.2448120116,1063695.23828125,0.0005199667051401,0.0004758512196568,main
1000,1000,1.0,1e-05,8,lin,128,0.0,64,0.0003,0.0003682255635113,0.0003218917800113,0.0003472090558606,0.9933125,48.053421875,,0.0066875,0.013546875,0.979765625,0.997566282749176,0.999846026301384,0.005484375,0.0,0.0003008424258299,0.8303492640527351,0.0227982501965016,2.0069689013444893e-14,973448.2448120116,968312.68359375,0.0003580666008677,0.0003599656495739,main
1000,1000,1.0,1e-05,8,lin,128,0.0,64,0.001,0.0914876543275157,0.0859239244461059,0.0866857062983825,0.9980625,135.7070625,,0.0019375,0.004140625,0.993921875,0.7901465222239494,0.9736721739172935,0.34759375,0.0,0.0008033296467084,2.2175248822124187,0.1042185490950942,7.938800717881595e-15,973448.2448120116,1169195.921875,0.1098375433590994,0.0914484576938249,main
1000,1000,1.0,1e-05,8,lin,128,0.0,64,0.003,0.4599816327591643,0.4769317169189453,0.4719140240505219,0.999296875,209.165046875,,0.000703125,0.001296875,0.998,0.3712974488735199,0.8847736865282059,0.75059375,0.0,0.0011451217848703,3.161316238567102,0.0477750743739306,2.4678147266834746e-15,973448.2448120116,1222399.583984375,0.5832145081710435,0.4644382628775991,main
1000,1000,1.0,1e-05,8,lin,128,0.0,64,0.01,0.7930494837965555,0.8060527648925782,0.813549552335985,0.99975,240.87990625,,0.00025,0.000421875,0.999328125,0.1231500077992677,0.8262844160199165,0.92271875,0.0,0.0012725366411292,3.5131375016291915,0.0065561615338083,2.542292929810705e-16,973448.2448120116,1011391.34765625,0.8241481789841322,0.7932296436550017,main
1000,1000,1.0,1e-05,8,lin,128,0.0,64,0.03,0.935805221498692,0.9366051216125488,0.9427338911342924,0.999921875,250.194515625,,7.8125e-05,7.8125e-05,0.99984375,0.041928733466193,0.8072803020477295,0.97403125,0.0,0.0013075012133967,3.609685591899925,0.0008118484038277,4.70958386024699e-17,973448.2448120116,710751.388671875,0.6721444943297793,0.9205720716044123,main
1000,1000,1.0,1e-05,8,lin,128,0.0,64,0.1,0.9808577914338832,0.9801831207275392,0.9750278242517766,0.999984375,253.576578125,,1.5625e-05,4.6875e-05,0.9999375,0.0127057692152448,0.8029294237494469,0.99203125,0.0,0.0013200202994084,3.644254062936746,7.59041258788784e-05,1.7310218774062973e-18,973448.2448120116,889703.33984375,0.9019737610405288,0.9868736411685164,main
