model,task,precision,mode,h_policy,selected_h,selected_acc,delta_vs_default,run_type,seed
facebook/opt-1.3b,mnli,int4,dense,nan,0.005,0.3578196637799287,-0.07968033622007131,medium,16
facebook/opt-1.3b,mnli,int4,dense,nan,0.001,0.3904228222109017,-0.04707717778909831,full,16
facebook/opt-1.3b,mnli,int4,dense,nan,0.0001731491820902,0.378604177279674,-0.05889582272032601,full,16
roberta-large,sst-5,int8,dense,nan,0.0001,,,pilot,16
roberta-large,sst-5,int8,dense,nan,0.0003,,,pilot,16
roberta-large,sst-5,int8,dense,nan,0.0007,,,pilot,16
roberta-large,sst-5,int8,dense,nan,0.001,,,pilot,16
roberta-large,sst-5,int8,dense,nan,0.0015,,,pilot,16
roberta-large,sst-5,int8,dense,nan,0.002,,,pilot,16
roberta-large,sst-5,int8,dense,nan,0.0025,,,pilot,16
roberta-large,sst-5,int8,dense,nan,0.003,,,pilot,16
roberta-large,sst-5,int8,dense,nan,0.004,,,pilot,16
roberta-large,sst-5,int8,dense,nan,0.005,,,pilot,16
roberta-large,sst-5,int8,dense,nan,0.01,,,pilot,16
roberta-large,sst-5,int8,dense,nan,0.002,0.4742388758782201,-0.012880562060889889,medium,16
roberta-large,sst-5,int8,dense,nan,0.003,0.2868852459016393,-0.20023419203747073,pilot,16
roberta-large,sst-5,int8,dense,nan,0.0006,0.2798594847775175,-0.20725995316159251,pilot,16
roberta-large,sst-5,int8,dense,nan,0.003,0.284543325526932,-0.202576112412178,pilot,16
roberta-large,sst-5,int8,dense,nan,0.003,0.2786885245901639,-0.2084309133489461,pilot,16
roberta-large,sst-5,int8,dense,nan,0.003,0.4601873536299766,-0.02693208430913341,medium,16
roberta-large,sst-5,int8,dense,nan,0.003,0.2822014051522248,-0.2049180327868852,pilot,16
roberta-large,sst-5,int8,dense,nan,0.001,0.48711943793911,0.0,medium,16
roberta-large,sst-5,int8,dense,nan,0.0015,0.4859484777517564,-0.0011709601873535758,medium,16
roberta-large,sst-5,int8,dense,nan,0.002,0.4742388758782201,-0.012880562060889889,medium,16
roberta-large,sst-5,int8,dense,nan,0.0001,,,pilot,16
roberta-large,sst-5,int8,dense,nan,0.0003,,,pilot,16
roberta-large,sst-5,int8,dense,nan,0.0007,,,pilot,16
roberta-large,sst-5,int8,dense,nan,0.001,,,pilot,16
roberta-large,sst-5,int8,dense,nan,0.0015,,,pilot,16
roberta-large,sst-5,int8,dense,nan,0.002,,,pilot,16
roberta-large,sst-5,int8,dense,nan,0.0025,,,pilot,16
roberta-large,sst-5,int8,dense,nan,0.003,,,pilot,16
roberta-large,sst-5,int8,dense,nan,0.004,,,pilot,16
roberta-large,sst-5,int8,dense,nan,0.005,,,pilot,16
roberta-large,sst-5,int8,dense,nan,0.01,,,pilot,16
roberta-large,sst-5,int8,dense,nan,4.10792e-05,,,pilot,16
roberta-large,sst-5,int8,dense,nan,8.21584e-05,,,pilot,16
roberta-large,sst-5,int8,dense,nan,0.000164317,,,pilot,16
roberta-large,sst-5,int8,dense,nan,0.000328634,,,pilot,16
roberta-large,sst-5,int8,dense,nan,0.000657267,,,pilot,16
roberta-large,sst-5,int8,dense,nan,0.00131453,,,pilot,16
roberta-large,sst-5,int8,dense,nan,7.5e-05,,,pilot,16
roberta-large,sst-5,int8,dense,nan,0.00015,,,pilot,16
roberta-large,sst-5,int8,dense,nan,0.0006,,,pilot,16
roberta-large,sst-5,int8,dense,nan,0.0012,,,pilot,16
roberta-large,sst-5,int8,dense,nan,0.0024,,,pilot,16
roberta-large,sst-5,int8,dense,nan,0.000129904,,,pilot,16
roberta-large,sst-5,int8,dense,nan,0.000259808,,,pilot,16
roberta-large,sst-5,int8,dense,nan,0.000519615,,,pilot,16
roberta-large,sst-5,int8,dense,nan,0.00103923,,,pilot,16
roberta-large,sst-5,int8,dense,nan,0.00207846,,,pilot,16
roberta-large,sst-5,int8,dense,nan,0.00415692,,,pilot,16
