model,task,precision,mode,rows,h_min,h_max,p_active_default,V_align_default,A_uniform_default,relative_disp_default,V_norm_default,default_h,default_in_window
facebook/opt-1.3b,sst-5,int8,dense,1783,1e-07,0.1,0.9022592583331248,0.9930916859812146,0.0138548101111259,0.0487086087864729,1.0023665829673811,0.001,True
facebook/opt-1.3b,sst-5,int8,sparse_p0p1,1735,1e-07,0.1,0.0900140031507089,0.9930429360089102,0.0139424152021678,0.0154029883550674,1.001814893203129,0.001,True
facebook/opt-1.3b,trec,int8,dense,9,1e-07,0.1,0.9022592583331248,0.9930916859812146,0.0138548101111259,0.0487086087864729,1.0023665829673811,0.001,True
facebook/opt-1.3b,trec,int8,sparse_p0p1,9,1e-07,0.1,0.0900140031507089,0.9930429360089102,0.0139424152021678,0.0154029883550674,1.001814893203129,0.001,True
roberta-large,sst-5,int4,dense,1618,1e-08,0.1,,0.5808326718661048,1.6853983786267572,,1.5921511038517204,0.001,False
roberta-large,sst-5,int4,sparse_p0p1,1448,1e-08,0.1,,0.3911416897882049,4.4291791174081725,0.0238151411759559,2.2836323410685524,0.001,False
roberta-large,sst-5,int8,dense,2027,1e-08,0.1,0.8127107577773998,0.978200611328648,0.0447104134335378,0.0251345876163359,1.0180452717729045,0.001,True
roberta-large,sst-5,int8,sparse_p0p1,1892,1e-08,0.1,0.0810691985951149,0.9781965311317636,0.0447526344748727,0.0079585360280573,1.0183976051572086,0.001,True
roberta-large,trec,int8,dense,9,1e-07,0.1,0.8127107577773998,0.978200611328648,0.0447104134335378,0.0251345876163359,1.0180452717729045,0.001,True
roberta-large,trec,int8,sparse_p0p1,9,1e-07,0.1,0.0810691985951149,0.9781965311317636,0.0447526344748727,0.0079585360280573,1.0183976051572086,0.001,True
