model,task,precision,perturbation_mode,h_policy,h_value,seed,run_type,steps,best_dev_acc,final_dev_acc,loss,status,source_path,default_acc_reference,delta_vs_default
facebook/opt-1.3b,mnli,int4,dense,nan,0.005,16,medium,2000,0.3578196637799287,0.3514009169638308,1.1604974106779316,complete,analysis/opt13b_int4_mnli_largeh_5e3_2k_20260623/summary.csv,0.4375,-0.07968033622007131
facebook/opt-1.3b,mnli,int4,dense,nan,0.001,16,full,20000,0.3904228222109017,0.3904228222109017,1.086005095938518,complete,analysis/opt13b_int4_mnli_largeh_5e3_2k_20260623/summary.csv,0.4375,-0.04707717778909831
facebook/opt-1.3b,mnli,int4,dense,nan,0.0001731491820902,16,full,20000,0.378604177279674,0.346001018848701,1.1030957349348534,complete,analysis/opt13b_int4_mnli_largeh_5e3_2k_20260623/summary.csv,0.4375,-0.05889582272032601
roberta-large,sst-5,int8,dense,nan,0.0001,16,pilot,0,,,,probe_only,experiments/main_latest/roberta-large/sst5/gptq256_int8_rerun_seed16_20260517/07_summaries/gptq256_all_runs_summary.csv,0.48711943793911,
roberta-large,sst-5,int8,dense,nan,0.0003,16,pilot,0,,,,probe_only,experiments/main_latest/roberta-large/sst5/gptq256_int8_rerun_seed16_20260517/07_summaries/gptq256_all_runs_summary.csv,0.48711943793911,
roberta-large,sst-5,int8,dense,nan,0.0007,16,pilot,0,,,,probe_only,experiments/main_latest/roberta-large/sst5/gptq256_int8_rerun_seed16_20260517/07_summaries/gptq256_all_runs_summary.csv,0.48711943793911,
roberta-large,sst-5,int8,dense,nan,0.001,16,pilot,0,,,,probe_only,experiments/main_latest/roberta-large/sst5/gptq256_int8_rerun_seed16_20260517/07_summaries/gptq256_all_runs_summary.csv,0.48711943793911,
roberta-large,sst-5,int8,dense,nan,0.0015,16,pilot,0,,,,probe_only,experiments/main_latest/roberta-large/sst5/gptq256_int8_rerun_seed16_20260517/07_summaries/gptq256_all_runs_summary.csv,0.48711943793911,
roberta-large,sst-5,int8,dense,nan,0.002,16,pilot,0,,,,probe_only,experiments/main_latest/roberta-large/sst5/gptq256_int8_rerun_seed16_20260517/07_summaries/gptq256_all_runs_summary.csv,0.48711943793911,
roberta-large,sst-5,int8,dense,nan,0.0025,16,pilot,0,,,,probe_only,experiments/main_latest/roberta-large/sst5/gptq256_int8_rerun_seed16_20260517/07_summaries/gptq256_all_runs_summary.csv,0.48711943793911,
roberta-large,sst-5,int8,dense,nan,0.003,16,pilot,0,,,,probe_only,experiments/main_latest/roberta-large/sst5/gptq256_int8_rerun_seed16_20260517/07_summaries/gptq256_all_runs_summary.csv,0.48711943793911,
roberta-large,sst-5,int8,dense,nan,0.004,16,pilot,0,,,,probe_only,experiments/main_latest/roberta-large/sst5/gptq256_int8_rerun_seed16_20260517/07_summaries/gptq256_all_runs_summary.csv,0.48711943793911,
roberta-large,sst-5,int8,dense,nan,0.005,16,pilot,0,,,,probe_only,experiments/main_latest/roberta-large/sst5/gptq256_int8_rerun_seed16_20260517/07_summaries/gptq256_all_runs_summary.csv,0.48711943793911,
roberta-large,sst-5,int8,dense,nan,0.01,16,pilot,0,,,,probe_only,experiments/main_latest/roberta-large/sst5/gptq256_int8_rerun_seed16_20260517/07_summaries/gptq256_all_runs_summary.csv,0.48711943793911,
roberta-large,sst-5,int8,dense,nan,0.002,16,medium,5000,0.4742388758782201,0.360655737704918,1.2063788175582886,completed,experiments/main_latest/roberta-large/sst5/gptq256_int8_rerun_seed16_20260517/07_summaries/gptq256_all_runs_summary.csv,0.48711943793911,-0.012880562060889889
roberta-large,sst-5,int8,dense,nan,0.003,16,pilot,20,0.2868852459016393,0.2857142857142857,1.6037452220916748,completed,experiments/main_latest/roberta-large/sst5/gptq256_int8_rerun_seed16_20260517/07_summaries/gptq256_all_runs_summary.csv,0.48711943793911,-0.20023419203747073
roberta-large,sst-5,int8,dense,nan,0.0006,16,pilot,20,0.2798594847775175,0.2798594847775175,1.620218276977539,completed,experiments/main_latest/roberta-large/sst5/gptq256_int8_rerun_seed16_20260517/07_summaries/gptq256_all_runs_summary.csv,0.48711943793911,-0.20725995316159251
roberta-large,sst-5,int8,dense,nan,0.003,16,pilot,100,0.284543325526932,0.284543325526932,1.570970892906189,completed,experiments/main_latest/roberta-large/sst5/gptq256_int8_rerun_seed16_20260517/07_summaries/gptq256_all_runs_summary.csv,0.48711943793911,-0.202576112412178
roberta-large,sst-5,int8,dense,nan,0.003,16,pilot,10,0.2786885245901639,0.2786885245901639,1.6190215349197388,completed,experiments/main_latest/roberta-large/sst5/gptq256_int8_rerun_seed16_20260517/07_summaries/gptq256_all_runs_summary.csv,0.48711943793911,-0.2084309133489461
roberta-large,sst-5,int8,dense,nan,0.003,16,medium,2000,0.4601873536299766,0.4473067915690866,1.3286744356155396,completed,experiments/main_latest/roberta-large/sst5/gptq256_int8_rerun_seed16_20260517/07_summaries/gptq256_all_runs_summary.csv,0.48711943793911,-0.02693208430913341
roberta-large,sst-5,int8,dense,nan,0.003,16,pilot,20,0.2822014051522248,0.2822014051522248,1.6091246604919434,completed,experiments/main_latest/roberta-large/sst5/gptq256_int8_rerun_seed16_20260517/07_summaries/gptq256_all_runs_summary.csv,0.48711943793911,-0.2049180327868852
roberta-large,sst-5,int8,dense,nan,0.001,16,medium,5000,0.48711943793911,0.2564402810304449,1.2060647010803225,completed,experiments/main_latest/roberta-large/sst5/groupwise_int8_block256_window_continuation_seed16_20260517/03_dense_fp16master_training/dense_training_summary.csv,0.48711943793911,0.0
