model,task,precision,perturbation_mode,h_policy,h_value,seed,run_type,steps,accuracy,last_accuracy,loss,status,source_path
nan,sst-5,int4,dense,1e-5,1e-05,16,medium,5485,0.2599531615925058,0.2599531615925058,3.076780225409836,failed,analysis/int4_sst5_calibrated_hstar_20260521_195940/int4_sweep_reference.csv
nan,sst-5,int4,dense,1e-3,0.001,16,full,20000,0.4789227166276346,0.4789227166276346,1.355313231850117,complete,analysis/int4_sst5_calibrated_hstar_20260521_195940/int4_sweep_reference.csv
nan,sst-5,int4,dense,3e-5,3e-05,16,full,20000,0.2833723653395784,0.2599531615925058,1.5931073441159251,complete,analysis/int4_sst5_calibrated_hstar_20260521_195940/int4_sweep_reference.csv
nan,sst-5,int4,dense,1p5e-3,0.0015,16,full,20000,0.4168618266978923,0.3747072599531616,1.5062070038056206,complete,analysis/int4_sst5_calibrated_hstar_20260521_195940/int4_sweep_reference.csv
nan,sst-5,int4,dense,1e-4,0.0001,16,full,20000,0.3231850117096019,0.2014051522248243,1.5468292593676816,complete,analysis/int4_sst5_calibrated_hstar_20260521_195940/int4_sweep_reference.csv
nan,sst-5,int4,dense,2e-3,0.002,16,full,20000,0.455503512880562,0.4519906323185012,1.4521896040690867,complete,analysis/int4_sst5_calibrated_hstar_20260521_195940/int4_sweep_reference.csv
nan,sst-5,int4,dense,3e-4,0.0003,16,full,20000,0.4578454332552693,0.3653395784543325,1.363192055766979,complete,analysis/int4_sst5_calibrated_hstar_20260521_195940/int4_sweep_reference.csv
nan,sst-5,int4,dense,3e-3,0.003,16,full,20000,0.3430913348946136,0.3278688524590163,1.5639591261709602,complete,analysis/int4_sst5_calibrated_hstar_20260521_195940/int4_sweep_reference.csv
nan,sst-5,int4,dense,4e-3,0.004,16,full,20000,0.3149882903981265,0.275175644028103,1.5574159287177989,complete,analysis/int4_sst5_calibrated_hstar_20260521_195940/int4_sweep_reference.csv
nan,sst-5,int4,dense,5e-3,0.005,16,full,20000,0.2704918032786885,0.2599531615925058,1.6029507281908666,complete,analysis/int4_sst5_calibrated_hstar_20260521_195940/int4_sweep_reference.csv
nan,sst-5,int4,dense,1e-2,0.01,16,full,20000,0.2576112412177986,0.2400468384074941,1.610170887002342,complete,analysis/int4_sst5_calibrated_hstar_20260521_195940/int4_sweep_reference.csv
nan,sst-5,int4,dense,1e-5,1e-05,16,medium,5485,0.2599531615925058,0.2599531615925058,3.076780225409836,failed,analysis/int4_sst5_calibrated_hstar_20260521_202127/int4_sweep_reference.csv
nan,sst-5,int4,dense,1e-3,0.001,16,full,20000,0.4789227166276346,0.4789227166276346,1.355313231850117,complete,analysis/int4_sst5_calibrated_hstar_20260521_202127/int4_sweep_reference.csv
nan,sst-5,int4,dense,3e-5,3e-05,16,full,20000,0.2833723653395784,0.2599531615925058,1.5931073441159251,complete,analysis/int4_sst5_calibrated_hstar_20260521_202127/int4_sweep_reference.csv
nan,sst-5,int4,dense,1p5e-3,0.0015,16,full,20000,0.4168618266978923,0.3747072599531616,1.5062070038056206,complete,analysis/int4_sst5_calibrated_hstar_20260521_202127/int4_sweep_reference.csv
nan,sst-5,int4,dense,1e-4,0.0001,16,full,20000,0.3231850117096019,0.2014051522248243,1.5468292593676816,complete,analysis/int4_sst5_calibrated_hstar_20260521_202127/int4_sweep_reference.csv
nan,sst-5,int4,dense,2e-3,0.002,16,full,20000,0.455503512880562,0.4519906323185012,1.4521896040690867,complete,analysis/int4_sst5_calibrated_hstar_20260521_202127/int4_sweep_reference.csv
nan,sst-5,int4,dense,3e-4,0.0003,16,full,20000,0.4578454332552693,0.3653395784543325,1.363192055766979,complete,analysis/int4_sst5_calibrated_hstar_20260521_202127/int4_sweep_reference.csv
nan,sst-5,int4,dense,3e-3,0.003,16,full,20000,0.3430913348946136,0.3278688524590163,1.5639591261709602,complete,analysis/int4_sst5_calibrated_hstar_20260521_202127/int4_sweep_reference.csv
nan,sst-5,int4,dense,4e-3,0.004,16,full,20000,0.3149882903981265,0.275175644028103,1.5574159287177989,complete,analysis/int4_sst5_calibrated_hstar_20260521_202127/int4_sweep_reference.csv
nan,sst-5,int4,dense,5e-3,0.005,16,full,20000,0.2704918032786885,0.2599531615925058,1.6029507281908666,complete,analysis/int4_sst5_calibrated_hstar_20260521_202127/int4_sweep_reference.csv
nan,sst-5,int4,dense,1e-2,0.01,16,full,20000,0.2576112412177986,0.2400468384074941,1.610170887002342,complete,analysis/int4_sst5_calibrated_hstar_20260521_202127/int4_sweep_reference.csv
nan,sst-5,int4,dense,1e-5,1e-05,16,medium,5485,0.2599531615925058,0.2599531615925058,3.076780225409836,failed,analysis/int4_sst5_calibrated_hstar_20260521_202225/int4_sweep_reference.csv
nan,sst-5,int4,dense,1e-3,0.001,16,full,20000,0.4789227166276346,0.4789227166276346,1.355313231850117,complete,analysis/int4_sst5_calibrated_hstar_20260521_202225/int4_sweep_reference.csv
nan,sst-5,int4,dense,3e-5,3e-05,16,full,20000,0.2833723653395784,0.2599531615925058,1.5931073441159251,complete,analysis/int4_sst5_calibrated_hstar_20260521_202225/int4_sweep_reference.csv
nan,sst-5,int4,dense,1p5e-3,0.0015,16,full,20000,0.4168618266978923,0.3747072599531616,1.5062070038056206,complete,analysis/int4_sst5_calibrated_hstar_20260521_202225/int4_sweep_reference.csv
nan,sst-5,int4,dense,1e-4,0.0001,16,full,20000,0.3231850117096019,0.2014051522248243,1.5468292593676816,complete,analysis/int4_sst5_calibrated_hstar_20260521_202225/int4_sweep_reference.csv
nan,sst-5,int4,dense,2e-3,0.002,16,full,20000,0.455503512880562,0.4519906323185012,1.4521896040690867,complete,analysis/int4_sst5_calibrated_hstar_20260521_202225/int4_sweep_reference.csv
nan,sst-5,int4,dense,3e-4,0.0003,16,full,20000,0.4578454332552693,0.3653395784543325,1.363192055766979,complete,analysis/int4_sst5_calibrated_hstar_20260521_202225/int4_sweep_reference.csv
nan,sst-5,int4,dense,3e-3,0.003,16,full,20000,0.3430913348946136,0.3278688524590163,1.5639591261709602,complete,analysis/int4_sst5_calibrated_hstar_20260521_202225/int4_sweep_reference.csv
nan,sst-5,int4,dense,4e-3,0.004,16,full,20000,0.3149882903981265,0.275175644028103,1.5574159287177989,complete,analysis/int4_sst5_calibrated_hstar_20260521_202225/int4_sweep_reference.csv
nan,sst-5,int4,dense,5e-3,0.005,16,full,20000,0.2704918032786885,0.2599531615925058,1.6029507281908666,complete,analysis/int4_sst5_calibrated_hstar_20260521_202225/int4_sweep_reference.csv
nan,sst-5,int4,dense,1e-2,0.01,16,full,20000,0.2576112412177986,0.2400468384074941,1.610170887002342,complete,analysis/int4_sst5_calibrated_hstar_20260521_202225/int4_sweep_reference.csv
nan,sst-5,int8,dense,1e-2,0.01,16,full,20000,0.2716627634660422,0.2704918032786885,1.5978689439402811,complete,analysis/int8_sst5_calibrated_hstar_20260521_newmethod/int4_sweep_reference.csv
nan,sst-5,int8,dense,1e-3,0.001,16,full,20000,0.4765807962529274,0.4765807962529274,1.2940505159543323,complete,analysis/int8_sst5_calibrated_hstar_20260521_newmethod/int4_sweep_reference.csv
nan,sst-5,int8,dense,1e-4,0.0001,16,full,20000,0.4578454332552693,0.4578454332552693,1.2812751573477752,complete,analysis/int8_sst5_calibrated_hstar_20260521_newmethod/int4_sweep_reference.csv
nan,sst-5,int8,dense,1e-5,1e-05,16,full,20000,0.3395784543325527,0.2482435597189695,1.550593713407494,complete,analysis/int8_sst5_calibrated_hstar_20260521_newmethod/int4_sweep_reference.csv
nan,sst-5,int8,dense,1p5e-3,0.0015,16,full,20000,0.4578454332552693,0.4578454332552693,1.3665013905152226,complete,analysis/int8_sst5_calibrated_hstar_20260521_newmethod/int4_sweep_reference.csv
nan,sst-5,int8,dense,2e-3,0.002,16,full,20000,0.4613583138173302,0.4613583138173302,1.4025816012880563,complete,analysis/int8_sst5_calibrated_hstar_20260521_newmethod/int4_sweep_reference.csv
nan,sst-5,int8,dense,3e-3,0.003,16,full,20000,0.3653395784543325,0.3594847775175644,1.4986163458723654,complete,analysis/int8_sst5_calibrated_hstar_20260521_newmethod/int4_sweep_reference.csv
nan,sst-5,int8,dense,3e-4,0.0003,16,full,20000,0.4648711943793911,0.4648711943793911,1.3259820513758782,complete,analysis/int8_sst5_calibrated_hstar_20260521_newmethod/int4_sweep_reference.csv
nan,sst-5,int8,dense,3e-5,3e-05,16,full,20000,0.4672131147540984,0.4613583138173302,1.347736296106557,complete,analysis/int8_sst5_calibrated_hstar_20260521_newmethod/int4_sweep_reference.csv
nan,sst-5,int8,dense,4e-3,0.004,16,full,20000,0.3489461358313817,0.3489461358313817,1.525665068793911,complete,analysis/int8_sst5_calibrated_hstar_20260521_newmethod/int4_sweep_reference.csv
nan,sst-5,int8,dense,5e-3,0.005,16,full,20000,0.2763466042154566,0.275175644028103,1.5791884697014051,complete,analysis/int8_sst5_calibrated_hstar_20260521_newmethod/int4_sweep_reference.csv
facebook/opt-1.3b,mnli,int4,dense,nan,0.005,16,medium,2000,0.3578196637799287,0.3514009169638308,1.1604974106779316,complete,analysis/opt13b_int4_mnli_largeh_5e3_2k_20260623/summary.csv
facebook/opt-1.3b,mnli,int4,dense,nan,0.001,16,full,20000,0.3904228222109017,0.3904228222109017,1.086005095938518,complete,analysis/opt13b_int4_mnli_largeh_5e3_2k_20260623/summary.csv
facebook/opt-1.3b,mnli,int4,dense,nan,0.0001731491820902,16,full,20000,0.378604177279674,0.346001018848701,1.1030957349348534,complete,analysis/opt13b_int4_mnli_largeh_5e3_2k_20260623/summary.csv
nan,nan,int8,dense,1e-2,0.01,16,full,20000,0.2716627634660422,0.2704918032786885,1.5978689439402811,complete,analysis/smoke_simple2pt_corrected_int8/int4_sweep_reference.csv
nan,nan,int8,dense,1e-3,0.001,16,full,20000,0.4765807962529274,0.4765807962529274,1.2940505159543323,complete,analysis/smoke_simple2pt_corrected_int8/int4_sweep_reference.csv
nan,nan,int8,dense,1e-4,0.0001,16,full,20000,0.4578454332552693,0.4578454332552693,1.2812751573477752,complete,analysis/smoke_simple2pt_corrected_int8/int4_sweep_reference.csv
nan,nan,int8,dense,1e-5,1e-05,16,full,20000,0.3395784543325527,0.2482435597189695,1.550593713407494,complete,analysis/smoke_simple2pt_corrected_int8/int4_sweep_reference.csv
nan,nan,int8,dense,1p5e-3,0.0015,16,full,20000,0.4578454332552693,0.4578454332552693,1.3665013905152226,complete,analysis/smoke_simple2pt_corrected_int8/int4_sweep_reference.csv
nan,nan,int8,dense,2e-3,0.002,16,full,20000,0.4613583138173302,0.4613583138173302,1.4025816012880563,complete,analysis/smoke_simple2pt_corrected_int8/int4_sweep_reference.csv
nan,nan,int8,dense,3e-3,0.003,16,full,20000,0.3653395784543325,0.3594847775175644,1.4986163458723654,complete,analysis/smoke_simple2pt_corrected_int8/int4_sweep_reference.csv
nan,nan,int8,dense,3e-4,0.0003,16,full,20000,0.4648711943793911,0.4648711943793911,1.3259820513758782,complete,analysis/smoke_simple2pt_corrected_int8/int4_sweep_reference.csv
nan,nan,int8,dense,3e-5,3e-05,16,full,20000,0.4672131147540984,0.4613583138173302,1.347736296106557,complete,analysis/smoke_simple2pt_corrected_int8/int4_sweep_reference.csv
nan,nan,int8,dense,4e-3,0.004,16,full,20000,0.3489461358313817,0.3489461358313817,1.525665068793911,complete,analysis/smoke_simple2pt_corrected_int8/int4_sweep_reference.csv
nan,nan,int8,dense,5e-3,0.005,16,full,20000,0.2763466042154566,0.275175644028103,1.5791884697014051,complete,analysis/smoke_simple2pt_corrected_int8/int4_sweep_reference.csv
nan,nan,int4,dense,1e-5,1e-05,16,medium,5485,0.2599531615925058,0.2599531615925058,3.076780225409836,failed,analysis/smoke_simple2pt_single_method_int4/lowbit_sweep_reference.csv
nan,nan,int4,dense,1e-3,0.001,16,full,20000,0.4789227166276346,0.4789227166276346,1.355313231850117,complete,analysis/smoke_simple2pt_single_method_int4/lowbit_sweep_reference.csv
nan,nan,int4,dense,3e-5,3e-05,16,full,20000,0.2833723653395784,0.2599531615925058,1.5931073441159251,complete,analysis/smoke_simple2pt_single_method_int4/lowbit_sweep_reference.csv
nan,nan,int4,dense,1p5e-3,0.0015,16,full,20000,0.4168618266978923,0.3747072599531616,1.5062070038056206,complete,analysis/smoke_simple2pt_single_method_int4/lowbit_sweep_reference.csv
nan,nan,int4,dense,1e-4,0.0001,16,full,20000,0.3231850117096019,0.2014051522248243,1.5468292593676816,complete,analysis/smoke_simple2pt_single_method_int4/lowbit_sweep_reference.csv
nan,nan,int4,dense,2e-3,0.002,16,full,20000,0.455503512880562,0.4519906323185012,1.4521896040690867,complete,analysis/smoke_simple2pt_single_method_int4/lowbit_sweep_reference.csv
nan,nan,int4,dense,3e-4,0.0003,16,full,20000,0.4578454332552693,0.3653395784543325,1.363192055766979,complete,analysis/smoke_simple2pt_single_method_int4/lowbit_sweep_reference.csv
