model,task,precision,perturbation_mode,h,nMSE_loss,corr_loss,normalized_curve,source_path,metric_type,A_uniform,p_active,V_align,V_norm,relative_disp,locality_proxy
roberta-large,sst-5,int4,dense,1e-08,,,,interval_aware_h_probe/loss_mse_probe.csv,,,,,,,
roberta-large,sst-5,int4,dense,3e-08,,,,interval_aware_h_probe/loss_mse_probe.csv,,,,,,,
roberta-large,sst-5,int4,dense,1e-07,,,,interval_aware_h_probe/loss_mse_probe.csv,,,,,,,
roberta-large,sst-5,int4,dense,3e-07,,,,interval_aware_h_probe/loss_mse_probe.csv,,,,,,,
roberta-large,sst-5,int4,dense,1e-06,,,,interval_aware_h_probe/loss_mse_probe.csv,,,,,,,
roberta-large,sst-5,int4,dense,3e-06,,,,interval_aware_h_probe/loss_mse_probe.csv,,,,,,,
roberta-large,sst-5,int4,dense,1e-05,,,,interval_aware_h_probe/loss_mse_probe.csv,,,,,,,
roberta-large,sst-5,int4,dense,3e-05,,,,interval_aware_h_probe/loss_mse_probe.csv,,,,,,,
roberta-large,sst-5,int4,dense,0.0001,,,,interval_aware_h_probe/loss_mse_probe.csv,,,,,,,
roberta-large,sst-5,int4,dense,0.0003,,,,interval_aware_h_probe/loss_mse_probe.csv,,,,,,,
roberta-large,sst-5,int4,dense,0.001,,,,interval_aware_h_probe/loss_mse_probe.csv,,,,,,,
roberta-large,sst-5,int4,dense,0.003,,,,interval_aware_h_probe/loss_mse_probe.csv,,,,,,,
roberta-large,sst-5,int4,dense,0.01,,,,interval_aware_h_probe/loss_mse_probe.csv,,,,,,,
roberta-large,sst-5,int4,dense,0.03,,,,interval_aware_h_probe/loss_mse_probe.csv,,,,,,,
roberta-large,sst-5,int4,dense,0.1,,,,interval_aware_h_probe/loss_mse_probe.csv,,,,,,,
roberta-large,sst-5,int4,sparse_p0p1,1e-08,,,,interval_aware_h_probe/loss_mse_probe.csv,,,,,,,
roberta-large,sst-5,int4,sparse_p0p1,3e-08,,,,interval_aware_h_probe/loss_mse_probe.csv,,,,,,,
