d,effective_dim,active_p,Delta,qbits,function_family,group_size,scale_sigma,synthetic_source,k_dirs,tau,h_min,h_max,rho_window_width_log10,rows_in_window
1000,1,0.001,3e-05,4,nl,128,0.5,hwindow_12h_highdim_extra_midp,1,0.01,1e-08,0.1,7.0,15
1000,1,0.001,3e-05,4,nl,128,0.5,hwindow_12h_highdim_extra_midp,1,0.05,1e-08,0.1,7.0,15
1000,1,0.001,3e-05,4,nl,128,0.5,hwindow_12h_highdim_extra_midp,1,0.1,1e-08,0.1,7.0,15
1000,1,0.001,3e-05,4,nl,128,0.5,hwindow_12h_highdim_extra_midp,1,0.5,1e-08,0.1,7.0,15
1000,1,0.001,3e-05,4,nl,128,0.5,hwindow_12h_highdim_extra_midp,1,1.0,1e-08,0.1,7.0,15
1000,1,0.001,3e-05,4,nl,128,0.5,hwindow_12h_highdim_extra_midp,2,0.01,1e-08,0.1,7.0,15
1000,1,0.001,3e-05,4,nl,128,0.5,hwindow_12h_highdim_extra_midp,2,0.05,1e-08,0.1,7.0,15
1000,1,0.001,3e-05,4,nl,128,0.5,hwindow_12h_highdim_extra_midp,2,0.1,1e-08,0.1,7.0,15
1000,1,0.001,3e-05,4,nl,128,0.5,hwindow_12h_highdim_extra_midp,2,0.5,1e-08,0.1,7.0,15
1000,1,0.001,3e-05,4,nl,128,0.5,hwindow_12h_highdim_extra_midp,2,1.0,1e-08,0.1,7.0,15
1000,1,0.001,3e-05,4,nl,128,0.5,hwindow_12h_highdim_extra_midp,4,0.01,1e-08,0.1,7.0,15
1000,1,0.001,3e-05,4,nl,128,0.5,hwindow_12h_highdim_extra_midp,4,0.05,1e-08,0.1,7.0,15
1000,1,0.001,3e-05,4,nl,128,0.5,hwindow_12h_highdim_extra_midp,4,0.1,1e-08,0.1,7.0,15
1000,1,0.001,3e-05,4,nl,128,0.5,hwindow_12h_highdim_extra_midp,4,0.5,1e-08,0.1,7.0,15
1000,1,0.001,3e-05,4,nl,128,0.5,hwindow_12h_highdim_extra_midp,4,1.0,1e-08,0.1,7.0,15
1000,1,0.001,3e-05,4,nl,128,0.5,hwindow_12h_highdim_extra_midp,8,0.01,1e-08,0.1,7.0,15
1000,1,0.001,3e-05,4,nl,128,0.5,hwindow_12h_highdim_extra_midp,8,0.05,1e-08,0.1,7.0,15
1000,1,0.001,3e-05,4,nl,128,0.5,hwindow_12h_highdim_extra_midp,8,0.1,1e-08,0.1,7.0,15
1000,1,0.001,3e-05,4,nl,128,0.5,hwindow_12h_highdim_extra_midp,8,0.5,1e-08,0.1,7.0,15
1000,1,0.001,3e-05,4,nl,128,0.5,hwindow_12h_highdim_extra_midp,8,1.0,1e-08,0.1,7.0,15
1000,1,0.001,3e-05,4,nl,128,0.5,hwindow_12h_highdim_extra_midp,16,0.01,1e-08,0.1,7.0,15
1000,1,0.001,3e-05,4,nl,128,0.5,hwindow_12h_highdim_extra_midp,16,0.05,1e-08,0.1,7.0,15
1000,1,0.001,3e-05,4,nl,128,0.5,hwindow_12h_highdim_extra_midp,16,0.1,1e-08,0.1,7.0,15
1000,1,0.001,3e-05,4,nl,128,0.5,hwindow_12h_highdim_extra_midp,16,0.5,1e-08,0.1,7.0,15
1000,1,0.001,3e-05,4,nl,128,0.5,hwindow_12h_highdim_extra_midp,16,1.0,1e-08,0.1,7.0,15
1000,1,0.001,3e-05,8,nl,128,0.5,hwindow_12h_highdim_extra_midp,1,0.01,1e-08,0.1,7.0,15
1000,1,0.001,3e-05,8,nl,128,0.5,hwindow_12h_highdim_extra_midp,1,0.05,1e-08,0.1,7.0,15
1000,1,0.001,3e-05,8,nl,128,0.5,hwindow_12h_highdim_extra_midp,1,0.1,1e-08,0.1,7.0,15
1000,1,0.001,3e-05,8,nl,128,0.5,hwindow_12h_highdim_extra_midp,1,0.5,1e-08,0.1,7.0,15
1000,1,0.001,3e-05,8,nl,128,0.5,hwindow_12h_highdim_extra_midp,1,1.0,1e-08,0.1,7.0,15
1000,1,0.001,3e-05,8,nl,128,0.5,hwindow_12h_highdim_extra_midp,2,0.01,1e-08,0.1,7.0,15
1000,1,0.001,3e-05,8,nl,128,0.5,hwindow_12h_highdim_extra_midp,2,0.05,1e-08,0.1,7.0,15
1000,1,0.001,3e-05,8,nl,128,0.5,hwindow_12h_highdim_extra_midp,2,0.1,1e-08,0.1,7.0,15
1000,1,0.001,3e-05,8,nl,128,0.5,hwindow_12h_highdim_extra_midp,2,0.5,1e-08,0.1,7.0,15
1000,1,0.001,3e-05,8,nl,128,0.5,hwindow_12h_highdim_extra_midp,2,1.0,1e-08,0.1,7.0,15
1000,1,0.001,3e-05,8,nl,128,0.5,hwindow_12h_highdim_extra_midp,4,0.01,1e-08,0.1,7.0,15
1000,1,0.001,3e-05,8,nl,128,0.5,hwindow_12h_highdim_extra_midp,4,0.05,1e-08,0.1,7.0,15
1000,1,0.001,3e-05,8,nl,128,0.5,hwindow_12h_highdim_extra_midp,4,0.1,1e-08,0.1,7.0,15
1000,1,0.001,3e-05,8,nl,128,0.5,hwindow_12h_highdim_extra_midp,4,0.5,1e-08,0.1,7.0,15
1000,1,0.001,3e-05,8,nl,128,0.5,hwindow_12h_highdim_extra_midp,4,1.0,1e-08,0.1,7.0,15
1000,1,0.001,3e-05,8,nl,128,0.5,hwindow_12h_highdim_extra_midp,8,0.01,1e-08,0.1,7.0,15
1000,1,0.001,3e-05,8,nl,128,0.5,hwindow_12h_highdim_extra_midp,8,0.05,1e-08,0.1,7.0,15
1000,1,0.001,3e-05,8,nl,128,0.5,hwindow_12h_highdim_extra_midp,8,0.1,1e-08,0.1,7.0,15
1000,1,0.001,3e-05,8,nl,128,0.5,hwindow_12h_highdim_extra_midp,8,0.5,1e-08,0.1,7.0,15
1000,1,0.001,3e-05,8,nl,128,0.5,hwindow_12h_highdim_extra_midp,8,1.0,1e-08,0.1,7.0,15
1000,1,0.001,3e-05,8,nl,128,0.5,hwindow_12h_highdim_extra_midp,16,0.01,1e-08,0.1,7.0,15
1000,1,0.001,3e-05,8,nl,128,0.5,hwindow_12h_highdim_extra_midp,16,0.05,1e-08,0.1,7.0,15
1000,1,0.001,3e-05,8,nl,128,0.5,hwindow_12h_highdim_extra_midp,16,0.1,1e-08,0.1,7.0,15
1000,1,0.001,3e-05,8,nl,128,0.5,hwindow_12h_highdim_extra_midp,16,0.5,1e-08,0.1,7.0,15
1000,1,0.001,3e-05,8,nl,128,0.5,hwindow_12h_highdim_extra_midp,16,1.0,1e-08,0.1,7.0,15
1000,1,0.001,0.0003,4,nl,128,0.5,hwindow_12h_highdim_extra_midp,1,0.01,1e-08,0.1,7.0,15
1000,1,0.001,0.0003,4,nl,128,0.5,hwindow_12h_highdim_extra_midp,1,0.05,1e-08,0.1,7.0,15
1000,1,0.001,0.0003,4,nl,128,0.5,hwindow_12h_highdim_extra_midp,1,0.1,1e-08,0.1,7.0,15
1000,1,0.001,0.0003,4,nl,128,0.5,hwindow_12h_highdim_extra_midp,1,0.5,1e-08,0.1,7.0,15
1000,1,0.001,0.0003,4,nl,128,0.5,hwindow_12h_highdim_extra_midp,1,1.0,1e-08,0.1,7.0,15
1000,1,0.001,0.0003,4,nl,128,0.5,hwindow_12h_highdim_extra_midp,2,0.01,1e-08,0.1,7.0,15
1000,1,0.001,0.0003,4,nl,128,0.5,hwindow_12h_highdim_extra_midp,2,0.05,1e-08,0.1,7.0,15
1000,1,0.001,0.0003,4,nl,128,0.5,hwindow_12h_highdim_extra_midp,2,0.1,1e-08,0.1,7.0,15
1000,1,0.001,0.0003,4,nl,128,0.5,hwindow_12h_highdim_extra_midp,2,0.5,1e-08,0.1,7.0,15
