model,task,precision,perturbation_mode,h,metric_type,A_uniform,p_active,V_align,V_norm,relative_disp,locality_proxy,nMSE_loss,corr_loss,source_path
roberta-large,sst-5,int4,dense,1e-08,interval,1.0,0.0,,0.0,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,1e-08,interval,553978975.8701757,0.0012563961988304,0.0386677448795027,21792.257474624257,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,1e-08,interval,633929033.5834556,0.0012563961988304,0.0346296243097683,23388.695072522634,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,1e-08,interval,917444705.123672,0.0013249269005847,0.0340510245739087,28915.06448344268,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,1e-08,interval,1030075655.3522424,0.0012335526315789,0.0361292992654522,29532.072968540488,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,1e-08,interval,522542823.8923124,0.0012335526315789,0.0328301760107629,20954.976874326298,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,3e-08,interval,1.0,0.0,,0.0,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,3e-08,interval,66888326.7527067,0.0013477704678362,0.0351938089396561,7852.541884598436,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,3e-08,interval,79026030.30312216,0.0013934576023391,0.0354259015085584,8685.719455393972,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,3e-08,interval,109022437.90651864,0.0014163011695906,0.0326280674613051,10281.718536397331,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,3e-08,interval,126997376.69092236,0.0013706140350877,0.0339367977212995,10914.951901553426,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,3e-08,interval,64656727.95139544,0.0013706140350877,0.0320106487623378,7795.059207096308,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,1e-07,interval,1.0,0.0,,0.0,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,1e-07,interval,6377913.752121324,0.0014391447368421,0.0290680373460316,2507.658842896914,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,1e-07,interval,7181103.779506608,0.0014391447368421,0.0294267052429403,2662.5915566782164,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,1e-07,interval,9845101.304385137,0.0014163011695906,0.0333044378808926,3092.759736746244,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,1e-07,interval,12229910.856845256,0.0014619883040935,0.0283433591150591,3500.320837946855,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,1e-07,interval,6186475.473591553,0.0014391447368421,0.0291828269868494,2471.1891963196927,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,3e-07,interval,1.0,0.0,,0.0,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,3e-07,interval,88898.3672782828,0.0003426535087719,0.0797183859412943,145.23663264134595,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,3e-07,interval,712562.6283547077,0.0014619883040935,0.0276322195533605,845.0466186434737,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,3e-07,interval,803253.5055510539,0.0014391447368421,0.0266510299646213,889.2877107682478,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,3e-07,interval,20802.497761967985,2.2843567251461987e-05,0.1129910239576875,17.61439088878893,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,3e-07,interval,1132794.3888312012,0.0014619883040935,0.0366496086547379,1065.408526141944,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,3e-07,interval,1341001.9484822543,0.0014391447368421,0.0302531630685669,1149.7918678643612,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,3e-07,interval,170073.3462774718,0.0001827485380116,0.08024481147769,146.60758632142188,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,3e-07,interval,61820.6748283678,4.568713450292397e-05,0.0840115735830494,43.19282879900791,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,3e-07,interval,14032.92583521052,4.568713450292397e-05,0.0987550480677565,20.514638859333417,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,3e-07,interval,695401.3274266601,0.0014619883040935,0.0284770835911929,834.8216096669231,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,3e-07,interval,152889.3143244949,0.0004568713450292,0.0661092714097555,219.82433755874737,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,3e-07,interval,80537.43442845652,0.0001827485380116,0.0672048642792978,99.6748125691267,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,1e-06,interval,1.0,0.0,,0.0,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,1e-06,interval,12301.540526240446,0.0004111842105263,0.0656048079433285,59.11495521059493,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,1e-06,interval,42939.18728371597,0.0018960160818713,0.057349927175028,190.35416091182256,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,1e-06,interval,2385.162560785359,0.0001370614035087,0.1065962794546929,14.530591660177404,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,1e-06,interval,12478.266888415335,0.0009594298245614,0.0591967802871901,85.0257675425664,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,1e-06,interval,574.2112370061958,4.568713450292397e-05,0.1048943958246752,4.344499258387482,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,1e-06,interval,6968.616877161737,0.0002055921052631,0.0742039074129255,31.22058865336856,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,1e-06,interval,5555.267240989662,6.853070175438596e-05,0.0748107500510782,16.058827675649848,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,1e-06,interval,68047.95343935567,0.0015533625730994,0.035972233039575,259.9435707275633,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,1e-06,interval,73011.41562664662,0.0014619883040935,0.0302196135927295,270.5429565347895,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,1e-06,interval,27060.637159847403,0.0001370614035087,0.0949815398030769,45.71612035486024,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,1e-06,interval,62401.46501962012,0.0007538377192982,0.0501820189783109,178.57517426892608,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,1e-06,interval,1085.7270935291467,2.2843567251461987e-05,0.1087084921801783,4.104067436658854,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,1e-06,interval,19444.621964570302,0.000548245614035,0.0605595476622713,85.67931859934359,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,1e-06,interval,100882.29423177383,0.0014619883040935,0.0339576174087432,318.0230485280779,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,1e-06,interval,3591.782162096035,0.0001599049707602,0.0814333536889561,19.72981461825841,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,1e-06,interval,858.7261344041735,2.2843567251461987e-05,0.0879029312393333,3.618600777157801,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,1e-06,interval,1926.9982476108617,2.2843567251461987e-05,0.1135650460779746,5.281849874166372,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,1e-06,interval,10822.946798203004,0.0004340277777777,0.0622099641611067,56.63243903573367,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,1e-06,interval,8060.3694474235535,0.0003654970760233,0.0632279893243124,44.89879308053381,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,1e-06,interval,121033.85254487814,0.0014619883040935,0.0283058145646897,348.4721323956711,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,1e-06,interval,75290.32649993543,0.0009137426900584,0.0428079168645046,217.81967095740623,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,1e-06,interval,1510.1206043654374,4.568713450292397e-05,0.0942173606328338,6.729671519876257,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,1e-06,interval,123427.25620527184,0.0012107090643274,0.0552811242119946,288.73662397146114,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,1e-06,interval,29697.7930398538,0.0003198099415204,0.0642877548084642,80.81903857595739,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,1e-06,interval,16522.426700070384,0.000593932748538,0.0500328054955244,81.92826764396959,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,1e-06,interval,62439.62649231592,0.0014619883040935,0.0267484298301103,250.2202908288292,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,1e-06,interval,5178.94941646629,0.0002055921052631,0.0730902735303792,26.865375783971277,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,1e-06,interval,31943.817884879158,0.0010736476608187,0.0367159247289902,152.91312081696535,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,1e-06,interval,1081.3861203379995,2.2843567251461987e-05,0.0880236604803872,4.125319275507748,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,1e-06,interval,38049.66029473738,0.0009594298245614,0.0433653856079708,158.66933133433005,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,1e-06,interval,4580.259233644901,0.0001599049707602,0.0924538597439123,22.467112784150103,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,1e-06,interval,1310.6556100623804,2.2843567251461987e-05,0.0973157079185065,4.548560249370272,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,3e-06,interval,1.0,0.0,,0.0,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,3e-06,interval,294.57055665744315,4.568713450292397e-05,0.1342853407262993,3.021115035082521,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,3e-06,interval,3342.5264764301764,0.0010051169590643,0.0382239827741014,47.545762667802265,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,3e-06,interval,3510.667924834593,0.0004111842105263,0.0661595419295295,31.55874931881989,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,3e-06,interval,192.8827565449197,2.2843567251461987e-05,0.1151822858650622,1.7717608047431654,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,3e-06,interval,4919.980970471402,0.0005025584795321,0.0531343244588344,41.076661358512666,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,3e-06,interval,7808.413223322213,0.0032209429824561,0.0596530181984572,86.83609179060919,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,3e-06,interval,3423.305415276164,0.0004568713450292,0.0534407148470147,32.829420348307806,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,3e-06,interval,3345.222750695485,0.0004111842105263,0.0624124061143009,30.76761155948963,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,3e-06,interval,3074.371466488839,0.0003883406432748,0.0582497524966591,28.325472370074664,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,3e-06,interval,2225.352883771837,0.0012107090643274,0.0610781008913815,38.70104607141383,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,3e-06,interval,3957.273483146708,0.0022615131578947,0.0529799845309127,61.24725849797029,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,3e-06,interval,2755.949785408432,0.0003654970760233,0.0871141218531637,25.392833626185624,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,3e-06,interval,268.55280890454617,9.137426900584796e-05,0.0898862183809976,4.16665251759954,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,3e-06,interval,1869.0983185617376,0.0009822733918128,0.0629162353044283,29.476325870541636,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,3e-06,interval,3807.0291263499166,0.000890899122807,0.0440415909574558,47.38538640007981,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,3e-06,interval,8212.841501806328,0.0009137426900584,0.047540035883677,71.66542961342493,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,3e-06,interval,10411.629971365794,0.0021701388888888,0.0421612423597284,100.64863291211084,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,3e-06,interval,311.0313201723317,0.0001370614035087,0.0841321605809269,5.427872904590265,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,3e-06,interval,506.0484681209105,6.853070175438596e-05,0.1069949327735431,4.78832113295244,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,3e-06,interval,3459.565010749785,0.0003883406432748,0.0645587542869841,30.014606443093797,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,3e-06,interval,3558.688998424138,0.0004111842105263,0.0604612738484062,31.392219214576244,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,3e-06,interval,8178.574277717443,0.0014619883040935,0.0356938260749786,90.54180005297673,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,3e-06,interval,211.5840782464836,9.137426900584796e-05,0.088712020793109,3.691329782349166,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,3e-06,interval,207.8350329378381,2.2843567251461987e-05,0.0840169350315137,1.7849246630311124,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,3e-06,interval,21477.07825194228,0.0012335526315789,0.0537291130590355,115.87308559582254,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,3e-06,interval,268.65699382993614,4.568713450292397e-05,0.0917430292907535,2.9378848675538016,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,3e-06,interval,11007.1125381099,0.0012107090643274,0.0337291154457569,95.40940704309553,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,3e-06,interval,3745.367548419016,0.0007081505847953,0.0442676420174197,42.53961741751937,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,3e-06,interval,4480.750638492204,0.0011193347953216,0.0396359916652443,57.77523566048508,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,3e-06,interval,880.9880207768742,0.0001827485380116,0.0682154155871364,10.48047322667929,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,3e-06,interval,2285.001462298392,0.0004340277777777,0.0543295009639778,25.960597623344803,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
roberta-large,sst-5,int4,dense,3e-06,interval,12383.500957216203,0.0015990497076023,0.0371197934705781,110.4272492519376,,,,,interval_aware_h_probe/interval_geometry_metrics.csv
