model,task,precision,perturbation_mode,h,A_uniform,p_active,V_norm,V_align,p_clip,jump_mean,jump_median,jump_zero_frac,jump_one_frac,jump_ge2_frac,disp_rms,relative_disp,locality_proxy,source_path,p_clip_base,p_clip_delta,p_active_norm,locality_rel_disp_limit,locality_relaxed_for_int4,score_geom,nMSE_loss,corr_loss,normalized_curve,metric_type,merge_source
roberta-large,sst-5,int4,dense,1e-08,25030821.85161253,4.318372987262677e-05,4974.345331153496,0.0059627023636772,0.0265360890811503,4.318372987262677e-05,0.0,0.9999568162701272,4.318372987262677e-05,0.0,7.077064623047472e-05,0.0016493552829145,649090652.6131921,interval_aware_h_probe/interval_geometry_summary.csv,,,,,,,,,,,hwindow_12h_highdim_bundle/realmodel_interval_metrics.csv
roberta-large,sst-5,int4,dense,3e-08,3045518.8036009865,4.7251762396859727e-05,1742.160935679442,0.0059893711475097,0.0265360890811503,4.7251762396859727e-05,0.0,0.9999527482376032,4.7251762396859727e-05,0.0,7.403441541164908e-05,0.0017254195161512,84221009.66418132,interval_aware_h_probe/interval_geometry_summary.csv,,,,,,,,,,,hwindow_12h_highdim_bundle/realmodel_interval_metrics.csv
roberta-large,sst-5,int4,dense,1e-07,285556.1187799449,4.9285778658976205e-05,534.1773236344532,0.0054412263737005,0.0265360890811503,4.9285778658976205e-05,0.0,0.9999507142213412,4.9285778658976205e-05,0.0,7.557634988542961e-05,0.0017613552876285,8156968.730505287,interval_aware_h_probe/interval_geometry_summary.csv,,,,,,,,,,,hwindow_12h_highdim_bundle/realmodel_interval_metrics.csv
roberta-large,sst-5,int4,dense,3e-07,35997.04279199124,5.8517083233197145e-05,189.4080490439761,0.0070227246667109,0.0265360890811503,5.8517083233197145e-05,0.0,0.9999414829167668,5.8517083233197145e-05,0.0,8.050238214156779e-05,0.0018761596275381,1180351.134315141,interval_aware_h_probe/interval_geometry_summary.csv,,,,,,,,,,,hwindow_12h_highdim_bundle/realmodel_interval_metrics.csv
roberta-large,sst-5,int4,dense,1e-06,6684.054573230617,0.0001309593547224,81.40625138859419,0.0126877779215135,0.0265360890811503,0.0001309593547224,0.0,0.9998690406452776,0.0001309593547224,0.0,0.0001156645869688,0.0026956373542485,462020.6192005639,interval_aware_h_probe/interval_geometry_summary.csv,,,,,,,,,,,hwindow_12h_highdim_bundle/realmodel_interval_metrics.csv
roberta-large,sst-5,int4,dense,3e-06,1950.104694004116,0.0003528235900825,44.04529255330767,0.0218995969196876,0.0265360890811503,0.0003528235900825,0.0,0.9996471764099176,0.0003528235900825,0.0,0.0001874470214041,0.0043685730099556,349843.27536922664,interval_aware_h_probe/interval_geometry_summary.csv,,,,,,,,,,,hwindow_12h_highdim_bundle/realmodel_interval_metrics.csv
roberta-large,sst-5,int4,dense,1e-05,535.4693382052942,0.0010515864075142,23.141081068810543,0.0373611259979534,0.0265396877253064,0.0010515864075142,0.0,0.9989484135924858,0.0010515864075142,0.0,0.0003274243852388,0.0076308352164834,288032.00993059366,interval_aware_h_probe/interval_geometry_summary.csv,,,,,,,,,,,hwindow_12h_highdim_bundle/realmodel_interval_metrics.csv
roberta-large,sst-5,int4,dense,3e-05,161.19795318265952,0.003003459705199,12.718531923511694,0.0648043287340717,0.026558619722823,0.003003459705199,0.0,0.9969965402948008,0.003003459705199,0.0,0.0005396851591897,0.0125777086381456,235527.96371339017,interval_aware_h_probe/interval_geometry_summary.csv,,,,,,,,,,,hwindow_12h_highdim_bundle/realmodel_interval_metrics.csv
roberta-large,sst-5,int4,dense,0.0001,46.90416557518289,0.0097507610350076,6.894617863037552,0.1188036573179673,0.0266462388848834,0.0097507610350076,0.0,0.9902492389649924,0.0097507610350076,0.0,0.0009742975541324,0.0227066291412092,224805.97562190105,interval_aware_h_probe/interval_geometry_summary.csv,,,,,,,,,,,hwindow_12h_highdim_bundle/realmodel_interval_metrics.csv
roberta-large,sst-5,int4,dense,0.0003,15.861075873864394,0.0299754541175999,4.069104288310538,0.2085275340844617,0.0268591847412481,0.0299754541175999,0.0,0.9700245458824,0.0299754541175999,0.0,0.001726566807417,0.0402387463842596,246220.76554310907,interval_aware_h_probe/interval_geometry_summary.csv,,,,,,,,,,,hwindow_12h_highdim_bundle/realmodel_interval_metrics.csv
