d,effective_dim,active_p,Delta,qbits,function_family,group_size,scale_sigma,n_dirs,metric,alpha,beta,gamma,h_star,fit_R2,synthetic_source,window_width_kappa_1p1,rho_min
1000,1000,1.0,1e-05,8,lin,128,0.0,64,A_true,2.0039020483246092e-14,0.0,0.0,,0.9523589193611736,main,0.0,0.0003580666008677
1000,1000,1.0,1e-05,8,lin,128,0.0,64,A_interval_grad,2.0645847599098422e-14,0.0,0.0,,0.9490204482697372,main,,0.0003580666008677
1000,1000,1.0,1e-05,8,nl,128,0.0,64,A_true,7.0348036261065386e-12,0.0,0.0,,0.9998582018377608,main,0.0,0.1777404654256574
1000,1000,1.0,1e-05,8,nl,128,0.0,64,A_interval_grad,9.457124652516005e-14,0.0,0.0,,0.9650967683415048,main,,0.1777404654256574
1000,1000,1.0,1e-05,8,lin,128,1.0,64,A_true,6.239898648117884e-15,0.0,0.0,,0.4118854668225552,main,0.0,0.0069241918572529
1000,1000,1.0,1e-05,8,lin,128,1.0,64,A_interval_grad,6.3390237066392186e-15,0.0,0.0,,0.3887992228769111,main,,0.0069241918572529
1000,1000,1.0,1e-05,8,nl,128,1.0,64,A_true,2.8479643938977497e-12,0.0,0.0,,0.9992201908913302,main,0.4771212547196624,0.210041876224065
1000,1000,1.0,1e-05,8,nl,128,1.0,64,A_interval_grad,2.907327957494841e-12,0.0,0.0,,0.9952998049298954,main,,0.210041876224065
1000,1000,1.0,1e-05,4,lin,128,0.0,64,A_true,3.3713700581893085e-14,0.0,0.0,,0.9021930644243864,main,0.0,0.0137102811613477
1000,1000,1.0,1e-05,4,lin,128,0.0,64,A_interval_grad,3.148961901639501e-14,0.0,0.0,,0.885078068928344,main,,0.0137102811613477
1000,1000,1.0,1e-05,4,nl,128,0.0,64,A_true,1.108536585365853e-16,0.0,0.0,,,main,7.0,0.7940682387060631
1000,1000,1.0,1e-05,4,nl,128,0.0,64,A_interval_grad,6.9668741025158e-14,0.0,0.0,,0.9895588492592154,main,,0.7940682387060631
1000,1000,1.0,1e-05,4,lin,128,1.0,64,A_true,1.1146820005440027e-14,0.0,0.0,,0.8318386180474601,main,0.0,0.0728173317706186
1000,1000,1.0,1e-05,4,lin,128,1.0,64,A_interval_grad,7.872623512429206e-15,0.0,0.0,,0.8189716012247057,main,,0.0728173317706186
1000,1000,1.0,1e-05,4,nl,128,1.0,64,A_true,1.1086261537180767e-16,0.0,0.0,,-0.5908197975056539,main,0.4771212547196624,0.369045934132585
1000,1000,1.0,1e-05,4,nl,128,1.0,64,A_interval_grad,1.0609446585078576e-15,0.0,0.0,,-0.0925072983173858,main,,0.369045934132585
1000,1000,1.0,0.0001,8,lin,128,0.0,64,A_true,1.447180186743613e-16,0.0,0.0,,-0.3109517602479867,main,0.0,0.0002323099023668
1000,1000,1.0,0.0001,8,lin,128,0.0,64,A_interval_grad,1.441545030282005e-16,0.0,0.0,,-0.2817982789818263,main,,0.0002323099023668
1000,1000,1.0,0.0001,8,nl,128,0.0,64,A_true,7.228795586503207e-16,0.0,0.0,,-0.3012227842550314,main,1.0,0.165876146768803
1000,1000,1.0,0.0001,8,nl,128,0.0,64,A_interval_grad,1.4241952015789201e-15,0.0,0.0,,-0.274457592237403,main,,0.165876146768803
1000,1000,1.0,0.0001,8,lin,128,1.0,64,A_true,6.196509420519298e-12,0.0,0.0,,0.9905660186162244,main,0.0,0.0020685785496754
1000,1000,1.0,0.0001,8,lin,128,1.0,64,A_interval_grad,6.000920060141158e-12,0.0,0.0,,0.9911062184078892,main,,0.0020685785496754
1000,1000,1.0,0.0001,8,nl,128,1.0,64,A_true,3.693298046936676e-14,0.0,0.0,,0.8277451767749717,main,0.4771212547196624,0.2006777151891499
1000,1000,1.0,0.0001,8,nl,128,1.0,64,A_interval_grad,4.459919360680152e-14,0.0,0.0,,0.7890840603633233,main,,0.2006777151891499
1000,1000,1.0,0.0001,4,lin,128,0.0,64,A_true,1.826037626145241e-15,0.0,0.0,,-0.2235284167478808,main,0.0,0.010895193911299
1000,1000,1.0,0.0001,4,lin,128,0.0,64,A_interval_grad,1.5365684975175284e-15,0.0,0.0,,-0.2007304815036386,main,,0.010895193911299
