h,status,eval_loss,test_loss,mae,rmse,mse_from_rmse2,corr,sign_acc
1e-9,partial_or_invalid,,,,,,,
3e-9,partial_or_invalid,,,,,,,
1e-8,partial_or_invalid,,,,,,,
3e-8,partial_or_invalid,,,,,,,
1e-7,partial_or_invalid,,,20129.186169862747,28798.48075094911,829352493.5627865,-0.2639271193364925,0.4375
3e-7,partial_or_invalid,,,5755.096163511276,6845.564812405872,46861757.600849435,0.579680307184015,0.75
1e-6,completed,1.5671578645706177,1.5940825939178467,2723.6751866340637,3296.494928281636,10866878.812186548,-0.286233215665249,0.3125
3e-6,completed,1.2135010957717896,1.2025309801101685,70.03624188899994,89.30684169877298,7975.7119742096975,0.44043174771571164,0.75
1e-5,completed,1.0748587846755981,1.0533088445663452,28.491494342684746,34.09997888883479,1162.8085602189783,0.6723379298506403,0.75
3e-5,completed,1.0531409978866577,1.0537736415863037,8.906723631545901,10.853286020930682,117.79381745212935,0.9436677561327137,0.8125
1e-4,completed,1.0580774545669556,1.0397146940231323,1.880305752158165,2.296343213976505,5.273192156375946,0.9957440870522719,0.9375
3e-4,completed,1.0521399974822998,1.0414745807647705,0.8295026160776615,1.1676663248696422,1.3634446462345766,0.9987998466040832,1.0
1e-3,completed,1.0471101999282837,1.0293712615966797,2.489144057035446,3.15616753484578,9.961393508014488,0.9914627392434392,1.0
3e-3,completed,1.0473164319992065,1.0313005447387695,9.71129984781146,11.741867716188338,137.87145746446595,0.8309955284528118,0.875
1e-2,completed,1.6764545440673828,1.7086775302886963,11.890844725072384,15.407302336394848,237.38496528507812,-0.10857135106310702,0.5625
