precision,checkpoint_id,fit_method,A,B,C,h_ref,rho_min_dep,tau,h_low,h_high,default_h,default_in_window,rho_dep_at_default,fit_quality_r2_or_log_error,fit_stability_flag,notes
fp32,task_start_seed16_deterministic,dep_log_soft_l1,4.30795562659073e-17,2624.7294936208373,0.0,1.1318703083030408e-05,6.725241464905933e-07,0.1,2.0755603259805674e-08,0.006172452042385946,0.001,True,0.0026247295367003935,0.9894169634813117,stable,
fp32,task_start_seed16_deterministic,dep_log_soft_l1,4.30795562659073e-17,2624.7294936208373,0.0,1.1318703083030408e-05,6.725241464905933e-07,0.5,9.282358845056091e-09,0.013802022354707295,0.001,True,0.0026247295367003935,0.9894169634813117,stable,
fp32,task_start_seed16_deterministic,dep_log_soft_l1,4.30795562659073e-17,2624.7294936208373,0.0,1.1318703083030408e-05,6.725241464905933e-07,1.0,6.5636188847460916e-09,0.01951900720220701,0.001,True,0.0026247295367003935,0.9894169634813117,stable,
fp32,task_start_seed16_deterministic,dep_log_soft_l1,4.30795562659073e-17,2624.7294936208373,0.0,1.1318703083030408e-05,6.725241464905933e-07,2.0,4.640040063379289e-09,0.027604044709420444,0.001,True,0.0026247295367003935,0.9894169634813117,stable,
fp32,task_start_seed16_deterministic,log_soft_l1,4.307921147033596e-17,2624.819653023794,1.0000000000000024e-30,1.1318583238082314e-05,6.725330055963227e-07,0.1,2.0755501527651902e-08,0.00617234603331801,0.001,True,0.0026248196961030056,0.9894170397581352,stable,
fp32,task_start_seed16_deterministic,log_soft_l1,4.307921147033596e-17,2624.819653023794,1.0000000000000024e-30,1.1318583238082314e-05,6.725330055963227e-07,0.5,9.282199424747496e-09,0.013801785311225164,0.001,True,0.0026248196961030056,0.9894170397581352,stable,
fp32,task_start_seed16_deterministic,log_soft_l1,4.307921147033596e-17,2624.819653023794,1.0000000000000024e-30,1.1318583238082314e-05,6.725330055963227e-07,1.0,6.5635061575648254e-09,0.019518671972099708,0.001,True,0.0026248196961030056,0.9894170397581352,stable,
fp32,task_start_seed16_deterministic,log_soft_l1,4.307921147033596e-17,2624.819653023794,1.0000000000000024e-30,1.1318583238082314e-05,6.725330055963227e-07,2.0,4.639960372792968e-09,0.02760357062245618,0.001,True,0.0026248196961030056,0.9894170397581352,stable,
fp32,task_start_seed16_deterministic,linear_nnls,3.648422650599644e-17,9147.534954792074,0.0,,,0.1,,,0.001,,,0.9602161995013863,poor_fit,"fit unstable: poor_fit; insufficient fit quality: log_R2=0.9602, log_RMSE=1.01"
fp32,task_start_seed16_deterministic,linear_nnls,3.648422650599644e-17,9147.534954792074,0.0,,,0.5,,,0.001,,,0.9602161995013863,poor_fit,"fit unstable: poor_fit; insufficient fit quality: log_R2=0.9602, log_RMSE=1.01"
fp32,task_start_seed16_deterministic,linear_nnls,3.648422650599644e-17,9147.534954792074,0.0,,,1.0,,,0.001,,,0.9602161995013863,poor_fit,"fit unstable: poor_fit; insufficient fit quality: log_R2=0.9602, log_RMSE=1.01"
fp32,task_start_seed16_deterministic,linear_nnls,3.648422650599644e-17,9147.534954792074,0.0,,,2.0,,,0.001,,,0.9602161995013863,poor_fit,"fit unstable: poor_fit; insufficient fit quality: log_R2=0.9602, log_RMSE=1.01"
fp16,task_start_seed16_deterministic,dep_log_soft_l1,8.726101886414855e-11,2533.313830723689,0.0,,,0.1,,,0.001,,,0.6427549317514156,poor_fit,"fit unstable: poor_fit; insufficient fit quality: log_R2=0.6428, log_RMSE=1.395"
fp16,task_start_seed16_deterministic,dep_log_soft_l1,8.726101886414855e-11,2533.313830723689,0.0,,,0.5,,,0.001,,,0.6427549317514156,poor_fit,"fit unstable: poor_fit; insufficient fit quality: log_R2=0.6428, log_RMSE=1.395"
fp16,task_start_seed16_deterministic,dep_log_soft_l1,8.726101886414855e-11,2533.313830723689,0.0,,,1.0,,,0.001,,,0.6427549317514156,poor_fit,"fit unstable: poor_fit; insufficient fit quality: log_R2=0.6428, log_RMSE=1.395"
fp16,task_start_seed16_deterministic,dep_log_soft_l1,8.726101886414855e-11,2533.313830723689,0.0,,,2.0,,,0.001,,,0.6427549317514156,poor_fit,"fit unstable: poor_fit; insufficient fit quality: log_R2=0.6428, log_RMSE=1.395"
fp16,task_start_seed16_deterministic,log_soft_l1,5.6746403733550684e-11,1.0000000000000024e-30,0.008026512059928442,,,0.1,,,0.001,,,0.5182909703358504,poor_fit,"fit unstable: poor_fit; insufficient fit quality: log_R2=0.5183, log_RMSE=1.62"
fp16,task_start_seed16_deterministic,log_soft_l1,5.6746403733550684e-11,1.0000000000000024e-30,0.008026512059928442,,,0.5,,,0.001,,,0.5182909703358504,poor_fit,"fit unstable: poor_fit; insufficient fit quality: log_R2=0.5183, log_RMSE=1.62"
fp16,task_start_seed16_deterministic,log_soft_l1,5.6746403733550684e-11,1.0000000000000024e-30,0.008026512059928442,,,1.0,,,0.001,,,0.5182909703358504,poor_fit,"fit unstable: poor_fit; insufficient fit quality: log_R2=0.5183, log_RMSE=1.62"
fp16,task_start_seed16_deterministic,log_soft_l1,5.6746403733550684e-11,1.0000000000000024e-30,0.008026512059928442,,,2.0,,,0.001,,,0.5182909703358504,poor_fit,"fit unstable: poor_fit; insufficient fit quality: log_R2=0.5183, log_RMSE=1.62"
fp16,task_start_seed16_deterministic,linear_nnls,7.906814963920949e-13,0.0,0.32827676385911886,,,0.1,,,0.001,,,-0.3537755575359891,missing_tail,A or B nonpositive
fp16,task_start_seed16_deterministic,linear_nnls,7.906814963920949e-13,0.0,0.32827676385911886,,,0.5,,,0.001,,,-0.3537755575359891,missing_tail,A or B nonpositive
