precision,h,n_directions,G2,d,V_dir_sample,V_dir_formula,V_h_dep,rho_sample,rho_formula,scalar_nmse,directional_corr,sign_agreement,d_h_std,d_h_zero_fraction,default_marker,tiny_marker,probe_active_frac,probe_norm_ratio,probe_alignment,saturation_frac
fp32,1e-09,64,246.7469362513004,406883417,123203315579.24551,100397236802.9572,4508234937843.163,36.591831288366784,44.90397426665405,36.5919359918176,0.2166828674242558,0.453125,107.3840782265371,0.234375,False,False,1.0,1.0,1.0,0.0
fp32,3e-09,64,246.7469362513004,406883417,123203315579.24551,100397236802.9572,379081941820.8597,3.076881007938708,3.7758204696893993,3.076784371847721,0.4558264974690112,0.578125,34.29877011988694,0.1875,False,False,1.0,1.0,1.0,0.0
fp32,1e-08,64,246.7469362513004,406883417,123203315579.24551,100397236802.9572,56317201572.93972,0.4571078408739412,0.5609437407472643,0.4570996800725514,0.8045258981762596,0.703125,19.023602730619025,0.109375,False,False,1.0,1.0,1.0,0.0
fp32,3e-08,64,246.7469362513004,406883417,123203315579.24551,100397236802.9572,7138776238.653679,0.0579430529534893,0.07110530594247795,0.0579426467725098,0.97606075019194,0.875,18.52694977352027,0.046875,False,False,1.0,1.0,1.0,0.0
fp32,1e-07,64,246.7469362513004,406883417,123203315579.24551,100397236802.9572,577682787.8902045,0.004688857480614,0.005753970988504226,0.0046886691359882,0.997715527265226,0.953125,17.605362928270694,0.015625,False,False,1.0,1.0,1.0,0.0
fp32,3e-07,64,246.7469362513004,406883417,123203315579.24551,100397236802.9572,58818408.491126455,0.0004774092987237,0.000585856845906679,0.0004774055363831,0.9997616230532042,1.0,17.41060554604346,0.0,False,False,1.0,1.0,1.0,0.0
fp32,1e-06,64,246.7469362513004,406883417,123203315579.24551,100397236802.9572,7040084.684304841,5.71420067001086e-05,7.012229527912142e-05,5.714207598983958e-05,0.9999712530712336,1.0,17.42854026496111,0.0,False,False,1.0,1.0,1.0,0.0
fp32,3e-06,64,246.7469362513004,406883417,123203315579.24551,100397236802.9572,696020.987587037,5.649368966368035e-06,6.932670756198897e-06,5.649256054444717e-06,0.999997163728666,1.0,17.43383962372049,0.0,False,False,1.0,1.0,1.0,0.0
fp32,1e-05,64,246.7469362513004,406883417,123203315579.24551,100397236802.9572,63183.20877486944,5.128369190213019e-07,6.29332148840658e-07,5.128333225386179e-07,0.9999997481252,1.0,17.43175243712028,0.0,False,True,1.0,1.0,1.0,0.0
fp32,3e-05,64,246.7469362513004,406883417,123203315579.24551,100397236802.9572,114813.94617852948,9.319063016991624e-07,1.143596674915137e-06,9.31909164125782e-07,0.9999995722308664,1.0,17.42867119785367,0.0,False,False,1.0,1.0,1.0,0.0
